,지역,시군구,기관,주소
0,서울특별시,영등포구,국회 생명사다리 상담센터,서울특별시 영등포구 여의도동  국회 의원회관 220호
1,서울특별시,영등포구,국회사무처,서울특별시 영등포구  의사당대로 1 국회 국회사무처 홍보담당관실
2,서울특별시,영등포구,국회사무처 의정연수원,서울특별시 영등포구 의사당대로 1 국회 의정관 의정연수과
3,서울특별시,영등포구,양평1동주민센터,서울특별시 영등포구  영등포로11길 12 양평1동주민센터 양평동1가 211-1
4,서울특별시,영등포구,영등포구 기획담당관,서울특별시 영등포구  당산로 123 기획예산과
5,서울특별시,영등포구,영등포구 도시안전과,서울특별시 영등포구  당산로 123 영등포구청 도시안전과
6,서울특별시,영등포구,영등포구보건소 의약과,서울특별시 영등포구  당산로 123 영등포구청 영등포구보건소
7,서울특별시,영등포구,영등포구청 감사담당관,서울특별시 영등포구 당산로 123 감사담당관 4층
8,서울특별시,영등포구,영등포구청 자치행정과,서울특별시 영등포구 당산로 123 영등포구청 자치행정과
9,서울특별시,영등포구,영등포구청청소과,서울특별시 영등포구 당산동 385-1
0,서울특별시,영등포구,구립문래힐스테이트어린이집,서울특별시 영등포구 문래로 84 관리사무소 2층 힐스테이트 어린이집
1,서울특별시,영등포구,대림2동주민센터,서울 영등포구 대림2동 705번지(대림로23길25)
2,서울특별시,영등포구,신길3동주민센터,서울특별시 영등포구 신길로41라길 13-8
3,서울특별시,영등포구,신길4동주민센터,서울 영등포구 신길4동 209-102호 / (프로그램 담당 및 상담)
4,서울특별시,영등포구,신길5동주민센터,서울 영등포구 신길5동
5,서울특별시,영등포구,신길6동주민센터,서울 영등포구 신길6동 3741-11
6,서울특별시,영등포구,신길7동주민센터,서울 영등포구 신길7동
7,서울특별시,영등포구,영등포구청 사회적경제과,서울특별시 영등포구  당산로 123 영등포구청 사회적경제과
8,서울특별시,영등포구,영등포구청가로경관과,서울 영등포구 당산동3가 385-1
9,서울특별시,영등포구,영등포구청복지정책과,서울 영등포구 당산동3가 영등포구청 385-1영등포구청 복지정책과 복지연계팀
0,서울특별시,영등포구,당산2동주민센터,서울특별시 영등포구 당산로41가길 7 당산2동주민센터
1,서울특별시,영등포구,대림1동주민센터,서울특별시 영등포구 디지털로 441
2,서울특별시,영등포구,대림3동주민센터,서울 영등포구 대림3동 740-4
3,서울특별시,영등포구,도림동주민센터,서울 영등포구 도림동 222-7(영등포구 도영로7길 10)
4,서울특별시,영등포구,신길1동주민센터,서울 영등포구 신길1동 465-2
5,서울특별시,영등포구,양평2동주민센터,서울 영등포구 양평동4가 172-1
6,서울특별시,영등포구,영등포구보건소,서울특별시 영등포구 당산동3가 385-1
7,서울특별시,영등포구,영등포구청 미래교육과,서울특별시 영등포구 당산로 123 4층 교육지원과
8,서울특별시,영등포구,영등포구치매안심센터,서울특별시 영등포구 당산동3가 408번지
9,서울특별시,영등포구,영등포동주민센터,서울 영등포구 영등포동2가 222-2
0,서울특별시,영등포구,강서세무서,서울특별시 영등포구  선유로 243 강서세무서
1,서울특별시,영등포구,구립대림2동지역아동센터,서울특별시 영등포구 대림로23길 27 3층 대림2동지역아동센터
2,서울특별시,영등포구,구립하정어린이집,서울특별시 영등포구 여의대방로43길 1 구립하정어린이집
3,서울특별시,영등포구,꿈더하기학교,서울특별시 영등포구 영등포로64길 6 유스스퀘어 울림관 2층
4,서울특별시,영등포구,샛강안내센터,서울특별시 영등포구  여의동로 48
5,서울특별시,영등포구,서울영등포경찰서 보안과,서울특별시 영등포구 국회대로 608 보안과 외사계
6,서울특별시,영등포구,선유도공원,서울특별시 영등포구 선유로 343 서부공원녹지사업소 선유도공원
7,서울특별시,영등포구,여의도공원,서울특별시 영등포구 여의공원로 68 여의도공원관리사무소
8,서울특별시,영등포구,여의디지털도서관,서울특별시 영등포구 여의대로 24 전경련회관 후생복지동 여의디지털도서관
9,서울특별시,영등포구,영등포구청소년상담복지센터,서울특별시 영등포구 도영로22길 36 해광빌딩 2층
0,서울특별시,영등포구,구립엘림데이케어센터,서울특별시 영등포구 도영로 41 5층
1,서울특별시,영등포구,구립하나푸르니 신길어린이집,서울특별시 영등포구  신길로40길 5 하나푸르니 신길어린이집
2,서울특별시,영등포구,시청자미디어재단,서울특별시 영등포구  국회대로70길 23 시청자미디어재단(용산빌딩 4층)
3,서울특별시,영등포구,영등포교육복지센터,서울특별시 영등포구 영등포로 358 (대윤메디컬센터)7층 영등포교육복지센터
4,서울특별시,영등포구,영등포구육아종합지원센터,서울특별시 영등포구  신길로40길 5 신길4동 공원지하주차장 영등포구육아종합지원센터
5,서울특별시,영등포구,영등포문화재단,서울특별시 영등포구  국회대로 596 영등포구민회관 영등포문화재단
6,서울특별시,영등포구,영등포문화재단 대림정보문화도서관,서울특별시 영등포구  도신로 27 대림정보문화도서관
7,서울특별시,영등포구,영등포진로직업체험지원센터,서울특별시 영등포구  선유동1로 26 선유동 1로 80 영등포구청 별관청사 J동 1층 진로직업체험지원센터
8,서울특별시,영등포구,한국도박문제관리센터 서울남부센터,"서울특별시 영등포구  경인로 725 조양빌딩 5층, 한국도박문제관리센터 서울남부센터"
9,서울특별시,영등포구,한국철도공사 수도권서부본부,서울특별시 영등포구  도영로 115 한국철도공사 수도권서부본부 안전처
0,서울특별시,영등포구,구립영이어린이집,서울특별시 영등포구  영중로4길 31 구립영등포제2동복지회관 구립영이어린이집
1,서울특별시,영등포구,국가보훈처,서울특별시 영등포구 여의도동 17-23 국가보훈처
2,서울특별시,영등포구,두날개지역아동센터,서울특별시 영등포구 대림3동 779-13번지 유현빌딩 3층
3,서울특별시,영등포구,양평1동 어린이집,서울특별시 영등포구 선유서로24길 21 양평1동 어린이집
4,서울특별시,영등포구,영등포50플러스센터,서울특별시 영등포구여의대방로 372 여의도 복지관
5,서울특별시,영등포구,영등포구보건소 보건지원과,서울특별시 영등포구 당산동3가  영등포구보건소
6,서울특별시,영등포구,영등포구청 환경과,서울특별시 영등포구 선유동1로 80 국립농산물품질관리원시험연구소 영등포구청 별관 3층 환경과
7,서울특별시,영등포구,영등포구청안전치수과,서울특별시 영등포구  당산로 123 영등포구청
8,서울특별시,영등포구,영등포평생학습관,서울특별시 영등포구  버드나루로15길 10 영등포평생학습관
9,서울특별시,영등포구,한국지체장애인협회,서울특별시 영등포구  의사당대로 22 이룸센터 3층 301호
0,서울특별시,영등포구,당산1동주민센터,서울 영등포구 당산동3가
1,서울특별시,영등포구,문래동주민센터,서울특별시 영등포구 문래로28길 15
2,서울특별시,영등포구,서남권글로벌센터,서울특별시 영등포구  도신로 40 서남권글로벌센터 4층
3,서울특별시,영등포구,서울영등포경찰서 교통과,서울특별시 영등포구 국회대로 608
4,서울특별시,영등포구,아하!서울시립청소년성문화센터,서울특별시 영등포구 영신로 200 아하!서울시립청소년성문화센터
5,서울특별시,영등포구,여의동주민센터,서울특별시 영등포구 국제금융로 124
6,서울특별시,영등포구,영등포구 아동청소년복지과,서울특별시 영등포구 선유동1로 80 영등포구청 별관 3층 아동청소년복지과 다누리정책팀
7,서울특별시,영등포구,영등포구청 사회복지과,서울특별시 영등포구 선유동1로 80 4층 사회복지과
8,서울특별시,영등포구,영등포본동주민센터,서울 영등포구 영등포동 신길로61길 17
9,서울특별시,영등포구,영등포청소년문화의집,서울특별시 영등포구  영등포로64길 15 소통관 2층사무실
0,서울특별시,영등포구,구민회관어린이집,서울특별시 영등포구  국회대로 596 당산동3가
1,서울특별시,영등포구,다드림문화복합센터,서울특별시 영등포구 대림로21길 11 다드림문화복합센터
2,서울특별시,영등포구,서울대동초등학교,서울특별시 영등포구 대림로21길 6 서울대동초등학교
3,서울특별시,영등포구,서울시립청소년직업체험센터,서울특별시 영등포구 영신로 200 하자센터
4,서울특별시,영등포구,서울특별시립문래청소년수련관,서울특별시 영등포구  문래로  110 0 서울특별시립문래청소년수련관
5,서울특별시,영등포구,영등포구보건소 건강증진과,서울특별시 영등포구 당산동3가  영등포구보건소 건강증진과
6,서울특별시,영등포구,영등포구정신건강복지센터,서울특별시 영등포구 당산동3가 영등포구보건소 지하1층 영등포구정신건강증진센터
7,서울특별시,영등포구,영등포구청 홍보전산과,서울특별시 영등포구 당산로 123 영등포구청 홍보전산과
8,서울특별시,영등포구,한강사업본부양화안내센터,서울특별시 영등포구 노들로 221 한강사업본부 양화안내센터
9,서울특별시,영등포구,한강사업본부여의도안내센터,서울특별시 영등포구  여의동로  330 0 한강사업본부 여의도안내센터
0,서울특별시,영등포구,구립푸르름지역아동센터,서울특별시 영등포구  영등포로64길 15 유스스퀘어 소통관 1층
1,서울특별시,영등포구,꿈나무어린이집,서울특별시 영등포구  대방천로 199 꿈나무어린이집
2,서울특별시,영등포구,다사랑영등포지역아동센터,서울특별시 영등포구 신길로42길 35 111동 903호
3,서울특별시,영등포구,대한노인회영등포지회,서울특별시 영등포구 영등포동3가 19-3
4,서울특별시,영등포구,사)함께가는영등포장애인부모회,서울 영등포구 신길5동 355~429 426-3 영등포구민체육센타 1층
5,서울특별시,영등포구,서울시립영등포장애인복지관,서울특별시 영등포구 버드나루로 22 서울시립영등포장애인복지관
6,서울특별시,영등포구,여성환경연대,서울 영등포구 영등포동7가 94-59 여성미래센터 201호
7,서울특별시,영등포구,영등포구건강가정지원센터,서울특별시 영등포구 영등포로84길 24-5 4층 영등포구건강가정지원센터
8,서울특별시,영등포구,영등포구보건소 건강도시팀,서울특별시 영등포구 당산동3가  영등포구보건소 5층 보건지원과
9,서울특별시,영등포구,자원순환센터,서울특별시 영등포구  노들로 59 자원순환센터 영등포구 양화동 1-43번지
0,서울특별시,영등포구,(재)문화유산회복재단,서울특별시 영등포구 국회대로66길 17 성우빌딩 1001호
1,서울특별시,영등포구,구립 대림1동데이케어센터,서울특별시 영등포구 디지털로 441 2층
2,서울특별시,영등포구,문래정보문화도서관,서울 영등포구 문래동3가 98-1 문래정보문화도서관
3,서울특별시,영등포구,사)한국장애인부모회영등포주간보호센터,서울특별시 영등포구 신길로 55 장애인사랑나눔의집3층 영등포주간보호센터
4,서울특별시,영등포구,안전한 예방접종을 위한 모임,서울특별시 영등포구 영신로20가길 6 2층
5,서울특별시,영등포구,어깨동무 어린이집,서울특별시 영등포구 영신로13길 8 어깨동무 어린이집
6,서울특별시,영등포구,영등포구 푸른도시과,서울특별시 영등포구  당산로 123 영등포구청 푸른도시과
7,서울특별시,영등포구,영등포구사회복지협의회,서울특별시 영등포구 선유동1로 80 영등포구사회복지협의회
8,서울특별시,영등포구,영등포구청가정복지과,서울 영등포구 당산동3가 영등포구청 가정복지과
9,서울특별시,영등포구,한국항공소년단,서울특별시 영등포구 국제금융로8길 34 803호
0,서울특별시,영등포구,1%나눔,서울특별시 영등포구 가마산로 332 은혜교회 3층
1,서울특별시,영등포구,구국실천국민연합,서울특별시 영등포구 영등포로 387 중앙빌딩 3층
2,서울특별시,영등포구,사단법인 한국소아당뇨인협회,서울특별시 영등포구 국회대로 780 LG여의도에클라트 501호
3,서울특별시,영등포구,사회복지법인 한국노인복지회,서울특별시 영등포구 양산로 43 506호
4,서울특별시,영등포구,장애인먼저실천운동본부,서울특별시 영등포구 여의서로 43 한서리버파크 405호
5,서울특별시,영등포구,초록나무요양병원,서울특별시 영등포구 가마산로 368 초록나무요양병원
6,서울특별시,영등포구,한국임상미술치료협회,서울특별시 영등포구 국회대로 800 1107호
7,서울특별시,영등포구,한국접근가능한관광네트워크,서울특별시 영등포구 의사당대로 22 이룸센터 2층 인큐베이팅룸
8,서울특별시,영등포구,홀리원코리아 교육지원센터,서울특별시 영등포구 버드나루로 50 616호
9,서울특별시,영등포구,환경교육재단 한국사무소,서울특별시 영등포구 선유로49길 23 1505호
0,서울특별시,영등포구,(사)독립운동가 최재형기념사업회,서울특별시 영등포구 국제금융로6길 30 백상빌딩 806호
1,서울특별시,영등포구,(사)산림보호통신원협회,서울특별시 영등포구 경인로 775 에이스하이테크시티 1동 401호 (사)산림보호통신원협회
2,서울특별시,영등포구,사단법인 길커뮤니티,서울특별시 영등포구  선유동1로 3 지하 사단법인 길커뮤니티 사무실
3,서울특별시,영등포구,사단법인 대한사랑,서울특별시 영등포구 당산로41길 11 SK V1센터 E동 1005호
4,서울특별시,영등포구,사단법인 영등포구스포츠클럽,서울특별시 영등포구 도신로15길 11 클라이밍장 3층
5,서울특별시,영등포구,사단법인한국트레킹연맹,서울특별시 영등포구 국회대로62길 9 산림비전센터 404호
6,서울특별시,영등포구,서울온드림교육센터,서울특별시 영등포구 도신로 40 3층
7,서울특별시,영등포구,인구보건복지협회,서울특별시 영등포구 버드나루로14가길 20 인구보건복지협회
8,서울특별시,영등포구,한국장애인부모회,서울특별시 영등포구 의사당대로 22 603호
9,서울특별시,영등포구,희망이야기,서울특별시 영등포구 도림로 331 403호
0,서울특별시,영등포구,(사)굿피플,서울특별시 영등포구  국회대로74길 10 굿피플빌딩 4층
1,서울특별시,영등포구,(사)한국매니페스토실천본부,서울특별시 영등포구  국회대로70길 12 1105호
2,서울특별시,영등포구,광야홈리스센터,서울특별시 영등포구  경인로100길 3 광야홈리스복지센터 2층 사무실
3,서울특별시,영등포구,사)한국지적발달장애인복지협회,서울특별시 영등포구  의사당대로 22 403호
4,서울특별시,영등포구,사단법인 수단어린이장학회,서울특별시 영등포구  여의대방로 65 돈보스코청소년센터 살레시오회 관구관 3층 수단어린이장학회
5,서울특별시,영등포구,사단법인 시민,서울특별시 영등포구  영등포로62길 1 삼성빌딩 자연드림 카페 1층 사무실
6,서울특별시,영등포구,사단법인 한중문화우호협회,서울특별시 영등포구  당산로41길 11 당산 SK V1 센터 E동 1012호  사단법인 한중문화우호협회
7,서울특별시,영등포구,사회적협동조합 지파운데이션,서울특별시 영등포구  국회대로74길 9 삼보빌딩 801호
8,서울특별시,영등포구,학교환경개선지원센터,서울특별시 영등포구  선유동1로 80 사회적경제지원센터 302호
9,서울특별시,영등포구,한국스카우트 서울남부연맹,서울특별시 영등포구  국회대로62길 14 스카우트회관 6층
0,서울특별시,영등포구,(사)한국청소년육성회영등포지구회,서울특별시 영등포구  국회대로 608 영등포경찰서 411호 청소년육성회
1,서울특별시,영등포구,건양의료재단 김안과병원,서울특별시 영등포구  영신로 136 김안과병원
2,서울특별시,영등포구,기업책임시민센터,서울특별시 영등포구  여의대방로65길 17 서린빌딩 811호
3,서울특별시,영등포구,도전한국인운동본부,서울특별시 영등포구 국회대로72길 11 프린스텔 404호
4,서울특별시,영등포구,사단법인 국제문화협력지원센터,서울특별시 영등포구  국회대로74길 20 맨하탄21리빙텔 610호
5,서울특별시,영등포구,영등포노인종합복지관,서울특별시 영등포구  도림로 482 영등포노인케어센터 영등포노인종합복지관
6,서울특별시,영등포구,재단법인 피플,"서울특별시 영등포구  선유로28길 6 노무빌딩 104, 501호 재단법인 피플"
7,서울특별시,영등포구,청년과미래,서울특별시 영등포구 국회대로66길 23 602호
8,서울특별시,영등포구,한국가정법률상담소,서울특별시 영등포구  국회대로76가길 14 한국가정법률상담소 6층
9,서울특별시,영등포구,한림대학교강남성심병원,서울특별시 영등포구  신길로 1 대림1동 948-1
0,서울특별시,영등포구,(사)한국저시력인협회,서울특별시 영등포구  영신로 156 김안과병원 망막병원 지하1층
1,서울특별시,영등포구,녹색재단,서울특별시 영등포구 국회대로70길 19 대하빌딩 1109호
2,서울특별시,영등포구,서울여성회,서울특별시 영등포구 가마산로 337 미루빌딩 402호
3,서울특별시,영등포구,서울의료복지사회적협동조합,서울특별시 영등포구 대림로 76 동화빌딩 동화빌딩
4,서울특별시,영등포구,월드비전 서울서지부,서울특별시 영등포구  여의나루로 77-1 월드비전 402호
5,서울특별시,영등포구,토마스의집,서울특별시 영등포구  경인로 828-1 토마스의집
6,서울특별시,영등포구,프렌딩,서울특별시 영등포구  의사당대로1길 11 메종리브르오피스텔 1301호
7,서울특별시,영등포구,한국스카우트연맹,서울특별시 영등포구  국회대로62길 14 한국보이스카우트연맹회관 10층
8,서울특별시,영등포구,한국시각장애인아카데미,서울특별시 영등포구 신길6동 3741-41번지 한국시각장애인아카데미
