,지역,시군구,기관,주소
0,서울특별시,용산구,안전치수과,서울특별시 용산구 이태원1동  용산구청 7층 안전재난과
1,서울특별시,용산구,용산구드림스타트,서울특별시 용산구 백범로 329 舊원효로청사 제3별관 1층
2,서울특별시,용산구,용산구보건소 건강증진과,서울특별시 용산구  녹사평대로 150 용산구보건소 4층 건강증진과
3,서울특별시,용산구,용산구청 감사담당관,서울특별시 용산구  녹사평대로 150 용산구종합행정타운 9층 감사담당관
4,서울특별시,용산구,용산구청 교통행정과,서울특별시 용산구 녹사평대로 150 6층 교통행정과
5,서울특별시,용산구,용산구청 복지정책과,서울특별시 용산구  녹사평대로 150 용산구종합행정타운 용산구청 5층 복지정책과
6,서울특별시,용산구,용산구청 인재양성과,서울특별시 용산구  녹사평대로 150 용산구청 8층 인재양성과
7,서울특별시,용산구,이촌1동 주민센터,서울특별시 용산구  이촌로 71 24 이촌1동 주민센터
8,서울특별시,용산구,이태원1동주민센터,서울특별시 용산구 이태원1동 보광로 104-6
9,서울특별시,용산구,청파동주민센터,서울특별시 용산구  청파로49길 6 청파동 주민센터 .
0,서울특별시,용산구,보광동주민센터,서울특별시 용산구 보광동 217-32
1,서울특별시,용산구,서빙고동주민센터,서울특별시 용산구 서빙고동 134
2,서울특별시,용산구,용문동주민센터,서울특별시 용산구 새창로12길 13
3,서울특별시,용산구,용산구보건소 보건위생과,서울특별시 용산구  녹사평대로 150 용산구보건소 보건위생과
4,서울특별시,용산구,용산구청 도시계획과,서울특별시 용산구  녹사평대로 150 7층
5,서울특별시,용산구,원효로1동주민센터,서울특별시 용산구 백범로 350 2층 원효로1동주민센터
6,서울특별시,용산구,이촌제2동주민센터,서울특별시 용산구 이촌로18길 20 이촌2동주민센터
7,서울특별시,용산구,한강로동 주민센터,서울특별시 용산구 한강대로38길 26 한강로동 주민센터 용산구 한강대로 38길 28 (한강로2가)
8,서울특별시,용산구,한남동주민센터,서울특별시 용산구 한남동 685-43  한남동주민센터
9,서울특별시,용산구,효창동주민센터,서울특별시 용산구 효창동 효청원로 161 효창동주민센터
0,서울특별시,용산구,남영동주민센터,서울특별시 용산구  두텁바위로 25 남영동 주민센터
1,서울특별시,용산구,용산구청가정복지과,서울특별시 용산구 녹사평대로 150 용산구종합행정타운 5층
2,서울특별시,용산구,용산구청공원녹지과,서울특별시 용산구 녹사평대로 150 용산구청 공원녹지과(2199-7595)
3,서울특별시,용산구,용산구청문화체육과,서울특별시 용산구 녹사평대로 150 용산구종합행정타운 5층
4,서울특별시,용산구,용산구청사회복지과,서울특별시 용산구 원효로1가 용산구청 25 .
5,서울특별시,용산구,용산구청의약과,서울특별시 용산구 녹사평대로 150 용산구보건소 의약과
6,서울특별시,용산구,용산구청자치행정과,서울특별시 용산구 녹사평대로 150 용산구종합행정타운 자치행정과
