,지역,시군구,기관,주소
0,서울특별시,종로구,서울특별시종로구의회,서울특별시 종로구 삼봉로 43 구의회사무국
1,서울특별시,종로구,종로구청 감사담당관,서울특별시 종로구 삼봉로 43 4층
2,서울특별시,종로구,종로구청 도로과,서울특별시 종로구  삼봉로 43 종로구청 도로과
3,서울특별시,종로구,종로구청 일자리경제과,서울특별시 종로구  삼봉로 43 종로구청
4,서울특별시,종로구,종로구청 자치행정과,서울특별시 종로구 삼봉로 43 자치행정과 마을공동체 담당
5,서울특별시,종로구,종로구청 청소행정과,서울특별시 종로구  삼봉로 43 수송동
6,서울특별시,종로구,종로구청 총무과,서울특별시 종로구 삼봉로 43 종로구청 총무과
7,서울특별시,종로구,종로구청 환경과,서울특별시 종로구  삼봉로 43 본관 5층 환경과
8,서울특별시,종로구,통일부,서울특별시 종로구  세종대로 209 통일부 통일문화과
9,서울특별시,종로구,행정안전부 이북5도위원회,서울특별시 종로구 비봉길 64 1층 이북5도위원회 총무과
0,서울특별시,종로구,서울지방경찰청,서울특별시 종로구 사직로8길 31 경무과
1,서울특별시,종로구,서울지방경찰청 사이버안전과,서울특별시 종로구  사직로8길 31 서울지방경찰청 사이버안전과
2,서울특별시,종로구,서울지방경찰청(교통정보센터),서울특별시 종로구  사직로8길 31 서울지방경찰청 교통정보센터
3,서울특별시,종로구,서울특별시교육청 진로직업교육과,서울특별시 종로구  송월길 48 서울시교육청
4,서울특별시,종로구,종로1234가동주민센터,"서울특별시 종로구  종로17길 8 종로1-4가동주민센터, 종로2가우체국 종로1-4가동"
5,서울특별시,종로구,종로구청 공원녹지과,서울특별시 종로구  삼봉로 43 종로구청 별관4층 공원녹지과
6,서울특별시,종로구,종로구청 관광과,서울특별시 종로구  종로1길 42 이마빌딩 406호 관광과
7,서울특별시,종로구,종로구청 복지지원과,서울특별시 종로구 삼봉로 43 복지지원과
8,서울특별시,종로구,종로구청 사회복지과,서울특별시 종로구  삼봉로 43 종로구청 사회복지과
9,서울특별시,종로구,종로구청 여성가족과 드림스타트팀,서울특별시 종로구 삼봉로 43 종로구청 본관 4층 여성가족과
0,서울특별시,종로구,가회동주민센터,서울 종로구 가회동 156
1,서울특별시,종로구,국민안전처 홍보담당관실,서울특별시 종로구  세종대로 209 정부서울청사 1308호 국민안전처 홍보담당관실
2,서울특별시,종로구,부암동주민센터,서울특별시 종로구  창의문로  145 부암동주민센터
3,서울특별시,종로구,종로구진로직업체험지원센터,서울특별시 종로구 율곡로 89 웰니스센터 B-102
4,서울특별시,종로구,종로구청 기획예산과,서울특별시 종로구 삼봉로 43 기획예산과
5,서울특별시,종로구,종로구청 문화과,서울특별시 종로구  종로1길 42 이마빌딩 403호
6,서울특별시,종로구,종로구청 안전치수과,서울특별시 종로구  삼봉로 43 종로구청 안전치수과
7,서울특별시,종로구,종로구청 여성가족과,서울특별시 종로구  삼봉로 43 종로구청 여성가족과
8,서울특별시,종로구,종로구청 홍보전산과,서울특별시 종로구  삼봉로 43 종로구청 제1별관 5층 전산실
9,서울특별시,종로구,청운효자동주민센터,서울특별시 종로구 자하문로 92
0,서울특별시,종로구,3.1운동 및 대한민국임시정부 수립 100주년 기념사업추진위원회,서울특별시 종로구 세종대로 209
1,서울특별시,종로구,교남동주민센터,서울특별시 종로구 송월길 154
