,지역,시군구,기관,주소
0,울산광역시,남구,개운초등학교,울산광역시 남구  두왕로106번길 28-6 개운초등학교
1,울산광역시,남구,무거동 주민자치위원회,울산광역시 남구 대학로147번길 38 무거동주민자치센터
2,울산광역시,남구,야음장생포동주민자치센터,울산광역시 남구 수암로 322
3,울산광역시,남구,울산구치소,울산광역시 울주군 청량면 청량천변로 103-9
4,울산광역시,남구,울산남부경찰서 신정지구대,울산광역시 남구  돋질로 118 신정지구대
5,울산광역시,남구,울산남부경찰서 야음지구대,울산광역시 남구  수암로 277 야음지구대 야음지구대
6,울산광역시,남구,울산대학교 산학협력단(사회공헌센터),울산광역시 남구 대학로 93 (무거동)
7,울산광역시,남구,울산대학교 산학협력단(울산금연지원센터),울산광역시 남구 대학로 93 울산대학교 공학5호관 4층 403호
8,울산광역시,남구,울산지방법원,울산광역시 남구 법대로 55 울산지방법원
9,울산광역시,남구,울산해양경찰서,울산광역시 남구  신선로 20 울산해양경비안전서 해양오염방제과
0,울산광역시,남구,남구청,울산광역시 남구 돋질로 233
1,울산광역시,남구,무거동주민센터,울산광역시 남구 대학로147번길 38
2,울산광역시,남구,선암동주민센터,울산광역시 남구 산업로325번길 34
3,울산광역시,남구,수암동주민센터,울산광역시 남구 중앙로 32
4,울산광역시,남구,신정5동주민센터,울산광역시 남구 월평로 147
5,울산광역시,남구,신정새마을금고(중앙지점),울산광역시 남구 삼산로 31
6,울산광역시,남구,용연초등학교,울산광역시 남구 야음로26번길 7
7,울산광역시,남구,울산광역시청,울산광역시 남구 중앙로 201
8,울산광역시,남구,울산남구새마을,울산광역시 남구 돋질로 233
9,울산광역시,남구,울산남부경찰서무거지구대,울산광역시 남구 대학로 152-1
0,울산광역시,남구,문수청소년문화의집,울산광역시 남구 북부순환도로 56 문수청소년문화의집
1,울산광역시,남구,삼산고등학교,울산광역시 남구 돋질로339번길 13 삼산고등학교
2,울산광역시,남구,삼호중학교,울산광역시 남구 삼호로38번길 6 삼호중학교
3,울산광역시,남구,야음초등학교,울산광역시 남구 산업로355번길 111 야음초등학교
4,울산광역시,남구,옥동주민센터,울산광역시 남구 문수로369번길 5
5,울산광역시,남구,옥현초등학교 도서관,울산광역시 남구 눌재로 21
6,울산광역시,남구,울산남구종합사회복지관,울산광역시 남구 번영로107번길 13 남구종합사회복지관 2층
7,울산광역시,남구,울산도서관,울산광역시 남구 꽃대나리로 140 2층 자료정책과
8,울산광역시,남구,울산도서관,울산광역시 남구 꽃대나리로 140 울산도서관
9,울산광역시,남구,해양환경공단울산지사,울산광역시 남구 장생포고래로276번길 27 해양환경공단 울산지사
0,울산광역시,남구,격동초등학교,울산광역시 남구 문수로344번길 4 격동초등학교
1,울산광역시,남구,농협중앙회,울산광역시 남구 중앙로 206 농협중앙회 울산지역본부
2,울산광역시,남구,대현중학교,울산광역시 남구 왕생로86번길 33 교무실
3,울산광역시,남구,옥현어린이도서관,울산광역시 남구  옥현로58번길 40 옥현어린이도서관
4,울산광역시,남구,울산강남중학교,울산광역시 남구  돋질로 325 울산강남중학교
5,울산광역시,남구,울산스마트쉼센터,울산광역시 남구 중앙로 153 2층 울산스마트쉼센터
6,울산광역시,남구,월봉초등학교,울산광역시 남구  팔등로115번길 10 월봉초등학교
7,울산광역시,남구,월평중학교,울산광역시 남구 중앙로204번길 31
8,울산광역시,남구,태화중학교,울산광역시 남구  화합로71번길 24 태화중학교
9,울산광역시,남구,학성중학교,울산광역시 남구  문수로 426 학성중학교
0,울산광역시,남구,남구육아종합지원센터장난감대여관,울산광역시 남구 옥현로58번길 40 옥현어린이도서관 별관 내 장난감대여관
1,울산광역시,남구,남산초등학교,울산광역시 남구  거마로17번길 17 남산초등학교
2,울산광역시,남구,동평중학교,울산광역시 남구  도산로77번길 13-34 동평중학교
3,울산광역시,남구,백합초등학교,울산광역시 남구  돋질로 339 16(삼산동)
4,울산광역시,남구,본동파출소,울산광역시 남구  화합로 194
5,울산광역시,남구,신정초등학교,울산광역시 남구  봉월로67번길 16 신정초등학교
6,울산광역시,남구,옥서초등학교,울산광역시 남구  법대로14번길 19
7,울산광역시,남구,울산남부경찰서 옥동지구대,울산광역시 남구  대공원입구로21번길 16 옥동지구대
8,울산광역시,남구,울산시설공단(가족문화센터),울산광역시 남구  대공원로 84 가족문화센터 A동
9,울산광역시,남구,울산중앙초등학교,울산광역시 남구  돋질로91번길 34 울산중앙초등학교
0,울산광역시,남구,동평초등학교,울산광역시 남구  도산로77번길 13-14 동평초등학교
1,울산광역시,남구,삼산초등학교,울산광역시 남구  남중로108번길 19 삼산초등학교
2,울산광역시,남구,울산경제진흥원 남구지소,"울산광역시 남구  대학로 152 무거동, 대로빌딩 8층 울산청년창업센터"
3,울산광역시,남구,울산남부경찰서,울산광역시 남구 삼산로35번길 25
4,울산광역시,남구,울산남부경찰서 본동파출소,울산광역시 남구  화합로194번길 17 삼산치안센터
5,울산광역시,남구,울산남부경찰서 삼산지구대,울산광역시 남구  번영로 217 삼산지구대
6,울산광역시,남구,울산제일고등학교,울산광역시 남구  남부순환도로 107 울산제일고등학교
7,울산광역시,남구,울산해바라기센터,"울산광역시 남구  월평로 171 13(신정동, 울산병원 8층)"
8,울산광역시,남구,청솔초등학교,울산광역시 남구  삼산로94번길 20 청솔초등학교
9,울산광역시,남구,한국산업인력공단울산지사,울산광역시 남구  번영로 173 한국산업인력공단 울산지사
0,울산광역시,남구,(재)울산여성가족개발원,울산광역시 남구  정동로 20 울산여성가족개발원 2층 사무실
1,울산광역시,남구,강남고등학교,울산광역시 남구 팔등로115번길 22
2,울산광역시,남구,고래문화재단,울산광역시 남구  돋질로 남구청 233 6층
3,울산광역시,남구,선암초등학교,울산광역시 남구  산업로325번길 4 선암초등학교
4,울산광역시,남구,신정3동주민센터,울산광역시 남구 월평로103번길 18
5,울산광역시,남구,야음중학교,울산광역시 남구  수암로 170 야음중학교 교무실
6,울산광역시,남구,울산광역시육아종합지원센터,울산광역시 남구  대공원로 84 가족문화센터 A동 3층 울산광역시육아종합지원센터
7,울산광역시,남구,울산보호관찰소,울산광역시 남구 삼산동 화합로102번길 3-12
8,울산광역시,남구,울산지방해양항만청,울산광역시 남구 장생포고래로288번길 6
9,울산광역시,남구,울산항만공사,울산광역시 남구 장생포고래로 271 울산항만공사
0,울산광역시,남구,남부초등학교,울산광역시 남구 야음로 11
1,울산광역시,남구,삼산초등학교병설유치원,울산광역시 남구 남중로108번길 19 삼산초등학교병설유치원
2,울산광역시,남구,삼신초등학교,울산광역시 남구 돋질로251번길 25
3,울산광역시,남구,삼호초등학교,울산광역시 남구 북부순환도로19번길 8
4,울산광역시,남구,수암초등학교,울산광역시 남구 중앙로 47
5,울산광역시,남구,신일중학교,울산광역시 남구 두왕로 278
6,울산광역시,남구,울산광역시장애인체육관,울산광역시 남구 삼산중로146번길 10
7,울산광역시,남구,울산박물관,울산광역시 남구 두왕로 277
8,울산광역시,남구,울산서여자중학교,울산광역시 남구 문수로 432
9,울산광역시,남구,장생포초등학교,울산광역시 남구 장생포고래로125번길 5
0,울산광역시,남구,강남초등학교,울산광역시 남구 중앙로166번길 51
1,울산광역시,남구,대현초등학교,울산광역시 남구 수암로 165-3
2,울산광역시,남구,문수고등학교,울산광역시 남구 울밀로 2905
3,울산광역시,남구,신복초등학교,울산광역시 남구 신복로 74
4,울산광역시,남구,신정고등학교,울산광역시 남구 문수로 458
5,울산광역시,남구,신정중학교,울산광역시 남구 옥동 은월로 11
6,울산광역시,남구,옥동중학교,울산광역시 남구 법대로14번길 9
7,울산광역시,남구,옥동초등학교,울산광역시 남구 문수로 401
8,울산광역시,남구,울산남부경찰서,울산광역시 남구 삼산로35번길 25
9,울산광역시,남구,울산중앙중학교,울산광역시 남구 중앙로63번길 5
0,울산광역시,남구,기쁨영농조합법인,울산광역시 남구  중앙로258번길 43-1
1,울산광역시,남구,남부소방서,울산광역시 남구 삼산중로 149
2,울산광역시,남구,동백초등학교,울산광역시 남구 신정로 6
3,울산광역시,남구,동평초등학교병설유치원,울산광역시 남구 도산로77번길 13-14 동평초등학교병설유치원
4,울산광역시,남구,문수실버복지관,울산광역시 남구  웅촌로 1339 문수실버복지관
5,울산광역시,남구,삼호동주민센터,울산광역시 남구 삼호로 15 삼호동주민센터
6,울산광역시,남구,옥산초등학교,울산광역시 남구 옥현로60번길 7
7,울산광역시,남구,울산광역시 청년센터,울산광역시 남구 대학로64번길 7-19 3층
8,울산광역시,남구,울산삼산동지구대,울산광역시 남구 번영로 217
9,울산광역시,남구,해병대전우회울산광역시연합회,울산광역시 남구 남부순환도로 178
0,울산광역시,남구,공업탑청소년문화의집,울산광역시 남구 봉월로 14 공업탑청소년문화의집
1,울산광역시,남구,남구보건소,울산광역시 남구 삼산중로 132
2,울산광역시,남구,도산노인복지관,울산광역시 남구 대암로 104 129번길 4
3,울산광역시,남구,서울산새마을금고,울산광역시 남구 옥현로58번길 3 서울산새마을금고 옥현지점
4,울산광역시,남구,울산광역시점자도서관,울산광역시 남구 중앙로 151 성수빌딩 2층
5,울산광역시,남구,울산남구 육아종합지원센터,울산광역시 남구  돋질로 251 울산남구 육아종합지원센터
6,울산광역시,남구,울산남구건강가정·다문화가족지원센터,"울산광역시 남구 대공원로 84 A동 3층(옥동, 가족문화센터)"
7,울산광역시,남구,울산대공원,울산광역시 남구 돋질로 233
8,울산광역시,남구,울산문화예술회관,울산광역시 남구 번영로 200
9,울산광역시,남구,장생포고래박물관,울산광역시 남구 장생포고래로 250
0,울산광역시,남구,(사)한국예총 울산광역시연합회,울산광역시 남구 번영로 200 울산문화예술회관 1층
1,울산광역시,남구,가나안실버행복센터,울산광역시 남구 수암로 273 1층 가나안실버행복센터
2,울산광역시,남구,그린리더 남구 협의회,울산광역시 남구 삼호로7번길 1 지하
3,울산광역시,남구,글로벌코칭지도자교육회,울산광역시 남구 북부순환도로 2-1 6층
4,울산광역시,남구,대한노인회 울산남구지회,울산광역시 남구 중앙로258번길 51 대한노인회 울산남구지회
5,울산광역시,남구,동련울산,울산광역시 남구 중앙로 314 3층
6,울산광역시,남구,사) 자연보호중앙연맹울산광역시 남구협의회,울산광역시 남구 번영로 182 달동 민형빌딩 3층
7,울산광역시,남구,양지요양병원,울산광역시 남구 월평로 3 양지요양병원
8,울산광역시,남구,옹달샘 작은도서관,울산광역시 남구 돋질로157번길 38-12 202호
9,울산광역시,남구,울산남구시니어클럽,울산광역시 남구 번영로 183 5층 울산남구시니어클럽
0,울산광역시,남구,(재)사랑의장기기증운동본부울산지부,울산광역시 남구  삼산로125번길 40-1 폴라리스 101호
1,울산광역시,남구,법무부 법사랑위원 울산지부연합회,울산광역시 남구 법대로 45 울산지방검찰청 별관 121호실
2,울산광역시,남구,사)대한노인회울산남구지회,울산광역시 남구  중앙로258번길 51 신정3동어린이집 사)대한노인회 울산남구지회
3,울산광역시,남구,사단법인 참좋은세상,울산광역시 남구 중앙로 314 3층
4,울산광역시,남구,사단법인 희망을심는사람들,울산광역시 남구 대학로 134 삼흥메디어스빌딩 8층
5,울산광역시,남구,우리지역아동센터,울산광역시 남구  장검1길 21-44 3층
6,울산광역시,남구,울산그린닥터스,울산광역시 남구 돋질로 146
7,울산광역시,남구,울산남구청소년진로직업체험센터,울산광역시 남구  돋질로 106 현대방사선과의원 마이코즈 4층 울산남구청소년진로직업체험센터
8,울산광역시,남구,하하호호 노인주간보호센터,울산광역시 남구 북부순환도로 48 6층
9,울산광역시,남구,효자손노인복지센터,울산광역시 남구  삼산로 157 3층 효자손노인복지센터
0,울산광역시,남구,(사)태화강보전회,울산광역시 남구 정광로 7 1층(사)태화강보전회
1,울산광역시,남구,대한청소년충효단울산연맹,울산광역시 남구 문수로369번길 24 3층
2,울산광역시,남구,무거연세요양병원,울산광역시 남구  대학로 148 정민빌딩 정민 빌딩 4~8층
3,울산광역시,남구,사)색동회울산지회,울산광역시 남구 월평로 141 SK한진주유소 신정동 236-107  2층 (사)색동회울산지회
4,울산광역시,남구,사단법인 한국스포츠산업개발원,울산광역시 남구  삼산로 168 사단법인 한국스포츠산업개발원
5,울산광역시,남구,삼호요양병원,울산광역시 남구  북부순환도로 58 무거동 209-16
6,울산광역시,남구,삼호요양병원,울산광역시 남구  북부순환도로 58 무거동 209-16
7,울산광역시,남구,선암호수노인복지관,울산광역시 남구  선암호수길 150 (선암동 526번지) 선암호수노인복지관
8,울산광역시,남구,재단법인 울산행복한학교,울산광역시 남구  돋질로91번길 34 울산중앙초등학교 별관 4층
9,울산광역시,남구,패틀롤맘 울산지부,울산광역시 남구  번영로201번길 30
0,울산광역시,남구,(사)참교육을 위한 전국 학부모회 울산지부,"울산광역시 남구  거마로17번길 14-1 1층,  참교육을 위한 전국 학부모회 울산지부"
1,울산광역시,남구,(사)청소년선도위원회,울산광역시 남구  대학로 147 23-18
2,울산광역시,남구,(사)청소년선도위원회,울산광역시 남구 대학로147번길 23-18 무거시장 상가
3,울산광역시,남구,기아대책 울산본부,울산광역시 남구  눌재로22번길 4 2층 기아대책 울산본부
4,울산광역시,남구,사)울산보금자리NGO,울산광역시 남구 삼산로317번길 12-13 3층
5,울산광역시,남구,울산과학문화협의회,울산광역시 남구  대학로 93 울산대학교 8호관 511-1호
6,울산광역시,남구,울산대학교 과학영재교육원,울산광역시 남구  대학로 93 8호관 518호 과학영재교육원
7,울산광역시,남구,울산대학교 국어문화원,울산광역시 남구  대학로 93 울산대학교 14호관 603호 국어문화원
8,울산광역시,남구,제티슨모빌스쿨,울산광역시 남구  돋질로 34 성광드림센터 3층
9,울산광역시,남구,한국소비생활연구원,울산광역시 남구  삼산로 94 19-1번지
0,울산광역시,남구,국민요양병원,울산광역시 남구  번영로 15
