,지역,시군구,기관,주소
0,인천광역시,강화군,강화군건강가정지원센터,인천광역시 강화군 강화읍 북문길67번길 11-1
1,인천광역시,강화군,강화군장애인복지관,인천광역시 강화군 강화읍 충렬사로 63
2,인천광역시,강화군,강화군정신건강복지센터,인천광역시 강화군 강화읍 충렬사로 26-1
3,인천광역시,강화군,강화군치매안심돌봄터,인천광역시 강화군 강화읍 충렬사로 26-1
4,인천광역시,강화군,강화실버빌,인천광역시 강화군 양도면 강화남로 862
5,인천광역시,강화군,바람숲그림책도서관,인천광역시 강화군 불은면 덕진로159번길 66-34 바람숲그림책도서관
6,인천광역시,강화군,안젤로재가노인지원서비스센터,인천광역시 강화군 선원면 시리미로42번길 8
7,인천광역시,강화군,자람도서관,인천광역시 강화군 양도면 강화남로 666
8,인천광역시,강화군,전등사 템플스테이,인천광역시 강화군 길상면 전등사로 37-41 전등사 템플스테이
9,인천광역시,강화군,호세요양원,인천광역시 강화군 고려왕릉로 376 호세요양원
0,인천광역시,강화군,강화신나는지역아동센터,인천광역시 강화군 강화읍 신문길44번길 8-4
1,인천광역시,강화군,강화요양원,인천광역시 강화군 하점면 인화로 28 강화요양원
2,인천광역시,강화군,강화정신요양원,인천광역시 강화군 선원면 고식이길20번길 19-3
3,인천광역시,강화군,더불어지역아동센터,인천광역시 강화군 강화읍 강화대로 238 2층
4,인천광역시,강화군,마리실버힐(사회복지법인기독교대한감리회),인천광역시 강화군 화도면 마니산로739번길 26-49
5,인천광역시,강화군,색동원,인천광역시 강화군 길상면 장촌길 31
6,인천광역시,강화군,엠마우스공동생활가정,인천광역시 강화군 화도면 마니산로 686-6
7,인천광역시,강화군,제자지역아동센터,인천광역시 강화군 강화읍 갑룡길 84 제자지역아동센터
8,인천광역시,강화군,햇살실버타운,인천광역시 강화군 강화읍 국화길 21
9,인천광역시,강화군,화도마리지역아동센터,인천광역시 강화군 화도면 가능포로 37-12
0,인천광역시,강화군,강화삼성너싱홈,인천광역시 강화군 불은면 중앙로 671
1,인천광역시,강화군,열매지역아동센터,인천광역시 강화군 강화읍 갑룡길 76-17
2,인천광역시,강화군,평화의집,인천광역시 강화군 불은면 강화동로 637
3,인천광역시,강화군,형제나사로의집,인천광역시 강화군 송해면 전망대로 255-12
4,인천광역시,강화군,희망터지역아동센터,인천광역시 강화군 길상면 온수길38번길 14
