,지역,시군구,기관,주소
0,인천광역시,계양구,계산1동주민센터,인천광역시 계양구 향교로 24 계산1동주민센터
1,인천광역시,계양구,계산4동주민센터,인천광역시 계양구 용종로 12-8 계산4동주민센터
2,인천광역시,계양구,계양1동주민센터,인천광역시 계양구 장기서로 8 계양1동주민센터
3,인천광역시,계양구,계양2동주민센터,인천광역시 계양구 장제로 853 계양2동주민센터
4,인천광역시,계양구,계양3동주민센터,인천광역시 계양구 동양로 129 2층
5,인천광역시,계양구,계양구의회,인천광역시 계양구 계양대로 126 4층
6,인천광역시,계양구,계양구청(토지정보과),인천광역시 계양구 계산새로 88 계양구청 1층
7,인천광역시,계양구,북인천세무서,인천광역시 계양구 효서로 245 작전동 422-1
8,인천광역시,계양구,작전1동주민센터,인천광역시 계양구 봉오대로 727 작전1동주민센터
9,인천광역시,계양구,작전2동주민센터,인천광역시 계양구 봉오대로677번길 23 작전2동주민센터
0,인천광역시,계양구,계산2동주민센터,인천광역시 계양구 주부토로 559 계산2동  주민센터
1,인천광역시,계양구,계산3동주민센터,인천광역시 계양구 계산로154번길 4 계산3동주민센터
2,인천광역시,계양구,계양구학교밖청소년지원센터꿈드림,인천광역시 계양구 장제로 937 청소년수련관 4층
3,인천광역시,계양구,고용노동부인천북부지청인천북부고용센터,인천광역시 계양구 장제로 804 영산빌딩2~5층
4,인천광역시,계양구,법무부인천보호관찰소서부지소,인천광역시 계양구 경명대로 1022 주영빌딩 4층
5,인천광역시,계양구,인천계양경찰서,인천광역시 계양구 계산새로 68 인천계양경찰서
6,인천광역시,계양구,인천광역시 계양공원사업소,인천광역시 계양구 경명대로 990 2층
7,인천광역시,계양구,작전서운동주민센터,인천광역시 계양구 효서로 361 작전서운동주민센터
8,인천광역시,계양구,효성1동주민센터,인천광역시 계양구 봉오대로569번길 22 효성1동주민센터
9,인천광역시,계양구,효성2동주민센터,인천광역시 계양구 아나지로 162 효성2동주민센터
0,인천광역시,계양구,계양구보건소,인천광역시 계양구 계산새로 88 1층
1,인천광역시,계양구,계양구청소년수련관,인천광역시 계양구 장제로 937 청소년수련관
2,인천광역시,계양구,계양국제어학관,인천광역시 계양구 용종로 104 계양국제어학관
3,인천광역시,계양구,계양여성회관,인천광역시 계양구 봉오대로628번길 10 여성회관
4,인천광역시,계양구,길벗어린이도서관,인천광역시 계양구 효서로 267 3층
5,인천광역시,계양구,"만남이 있는공간,떠들썩한 도서관",인천광역시 계양구 봉오대로691번길 4 지하
6,인천광역시,계양구,새별이작은도서관,인천광역시 계양구 효서로135번길 11 1층
7,인천광역시,계양구,서운도서관,인천광역시 계양구 아나지로457번길 16 도서관
8,인천광역시,계양구,인천계양구육아종합지원센터,인천광역시 계양구 계양산로102번길 5 1층
9,인천광역시,계양구,인천특수교육지원센터,인천광역시 계양구 장제로 1304 인혜학교 내
0,인천광역시,계양구,계양구 치매안심센터,인천광역시 계양구 계산새로 88 계양구보건소 1층
1,인천광역시,계양구,귤현동경로당,인천광역시 계양구 귤현길 3-1 경로당
2,인천광역시,계양구,동양동경로당,인천광역시 계양구 당미2길 18-1 경로당
3,인천광역시,계양구,박촌중앙경로당,인천광역시 계양구 장제로1017번길 24 경로당
4,인천광역시,계양구,병방동경로당,인천광역시 계양구 장제로928번길 26 경로당
5,인천광역시,계양구,상야동경로당,인천광역시 계양구 벌말로565번길 15-16 경로당
6,인천광역시,계양구,이화동경로당,인천광역시 계양구 이화남로 134 경로당
7,인천광역시,계양구,이화진등마을경로당,인천광역시 계양구 황어로255번길 29 경로당
8,인천광역시,계양구,장기동경로당,인천광역시 계양구 황어로134번길 15-1 경로당
9,인천광역시,계양구,하야동경로당,인천광역시 계양구 벌말로609번길 16 경로당
0,인천광역시,계양구,갈현동경로당,인천광역시 계양구 학고개길 2-1 경로당
1,인천광역시,계양구,계산2동안남경로당,인천광역시 계양구 계양산로42번길 18 경로당
2,인천광역시,계양구,까치마을경로당,인천광역시 계양구 효서로354번길 6 경로당
3,인천광역시,계양구,다남동경로당,인천광역시 계양구 역골로133번길 33 경로당
4,인천광역시,계양구,선주지동경로당,인천광역시 계양구 선주로34번길 16 경로당
5,인천광역시,계양구,오류동경로당,인천광역시 계양구 오류북길 1 경로당
6,인천광역시,계양구,작전1동경로당,인천광역시 계양구 효서로 307 경로당
7,인천광역시,계양구,효성1동삼보아파트경로당,인천광역시 계양구 효서로 171 경로당
8,인천광역시,계양구,효성2동경로당,인천광역시 계양구 마장로522번길 1 경로당
9,인천광역시,계양구,효성2동중앙경로당,인천광역시 계양구 아나지로179번길 9 경로당
0,인천광역시,계양구,계양구정신건강복지센터,인천광역시 계양구 장기서로 8 3층
1,인천광역시,계양구,계양구중독관리통합지원센터,인천광역시 계양구 계양대로 126 계양구의회청사 1층
2,인천광역시,계양구,동양도서관,인천광역시 계양구 당미길 31 동양도서관
3,인천광역시,계양구,인천어린이과학관,인천광역시 계양구 방축로 21 어린이과학관
4,인천광역시,계양구,임학경로당,인천광역시 계양구 화산로 3 임학경로당
5,인천광역시,계양구,작전2동경로당,인천광역시 계양구 계산로126번길 33 작전2동경로당
6,인천광역시,계양구,작전도서관,인천광역시 계양구 오조산로21번길 4 작전도서관
7,인천광역시,계양구,효성1동경로당,인천광역시 계양구 봉오대로 516 효성1동경로당
8,인천광역시,계양구,효성2동새사미아파트경로당,인천광역시 계양구 봉오대로 441 경로당
9,인천광역시,계양구,효성초등학교,인천광역시 계양구 안남로 601 효성초등학교
0,인천광역시,계양구,계산1동중앙경로당,인천광역시 계양구 계산천동로19번길 9 계산1동중앙경로당
1,인천광역시,계양구,계산2동경로당,인천광역시 계양구 계수로5번길 12 계산2동경로당
2,인천광역시,계양구,계양구노인복지관,인천광역시 계양구 효서로341번길 11 노인복지관
3,인천광역시,계양구,계양구방과후아카데미,인천광역시 계양구 장제로 937 4층
4,인천광역시,계양구,부내경로당,인천광역시 계양구 계산로 50 계산1동부내경로당
5,인천광역시,계양구,서운동경로당,인천광역시 계양구 서운1길 18 서운동경로당
6,인천광역시,계양구,이촌경로당,인천광역시 계양구 봉오대로531번길 27 효성1동이촌경로당
7,인천광역시,계양구,인천화전초등학교,인천광역시 계양구 효서로303번길 8 화전초등학교
8,인천광역시,계양구,효성노인문화센터,인천광역시 계양구 봉오대로 516 효성노인문화센터
9,인천광역시,계양구,효성서초등학교,인천광역시 계양구 봉오대로 457 인천효성서초등학교
0,인천광역시,계양구,계산3동경로당,인천광역시 계양구 계산새로5번길 10 계산3동경로당
1,인천광역시,계양구,계산노인문화센터,인천광역시 계양구 경명대로 980 계산노인문화센터및재가노인지원센터
2,인천광역시,계양구,계양구자원봉사센터,인천광역시 계양구 계산새로 88 계양구청 2층
3,인천광역시,계양구,계양구치매안심센터 늘봄사랑터,인천광역시 계양구 장제로 728 6층
4,인천광역시,계양구,계양도서관,인천광역시 계양구 계양산로134번길 18 계양도서관
5,인천광역시,계양구,구립계산노인복지센터,인천광역시 계양구 경명대로 980
6,인천광역시,계양구,동양노인문화센터,인천광역시 계양구 동양로 74-29 동양노인문화센터
7,인천광역시,계양구,드림스타트센터,인천광역시 계양구 계양대로 126 2층
8,인천광역시,계양구,안산초등학교,인천광역시 계양구 임학서로 15 안산초등학교
9,인천광역시,계양구,효성도서관,인천광역시 계양구 봉오대로600번길 14 효성도서관
0,인천광역시,계양구,(사)대한노인회 계양구지회,인천광역시 계양구 효서로341번길 11 2층
1,인천광역시,계양구,계양구청소년상담복지센터,인천광역시 계양구 장제로 937 청소년상담복지센터
2,인천광역시,계양구,계양종합사회복지관,인천광역시 계양구 아나지로 517 종합사회복지관
3,인천광역시,계양구,꿈꾸는거북이,인천광역시 계양구 계산새로 71 D동 1008호
4,인천광역시,계양구,사단법인 생태교육센터 이랑,인천광역시 계양구 계산새로65번길 13 602호
5,인천광역시,계양구,사랑원작은도서관,인천광역시 계양구 봉오대로646번길 16-1 작은도서관
6,인천광역시,계양구,인천녹색연합,인천광역시 계양구 계산새로65번길 13 602호
7,인천광역시,계양구,참좋은두레소비자생활협동조합,인천광역시 계양구 경명대로 1115 5층
8,인천광역시,계양구,책마을만들기운동본부,인천광역시 계양구 안남로 491 2층
