,지역,시군구,기관,주소
0,인천광역시,남동구,간석1동행정복지센터,인천광역시 남동구 구월로137번길 39
1,인천광역시,남동구,구월1동행정복지센터,인천광역시 남동구 독점로30번길 15
2,인천광역시,남동구,남촌도림동행정복지센터,인천광역시 남동구 남촌동로 32 주민센터
3,인천광역시,남동구,논현2동행정복지센터,인천광역시 남동구 논현고잔로 248 주민센터
4,인천광역시,남동구,인천광역시교육청 소통협력담당관,인천광역시 남동구 정각로 9 인천광역시교육청 소통협력담당관
5,인천광역시,남동구,인천광역시동부공원사업소,인천광역시 남동구 무네미로 236 환경미래과
6,인천광역시,남동구,인천광역시의회(사무처),인천광역시 남동구  정각로 29 인천광역시청 인천광역시의회 입법담당관
7,인천광역시,남동구,인천남동우체국,인천광역시 남동구  논현로46번길 7 2층 우편물류과 집배실
8,인천광역시,남동구,인천장애인성폭력상담소,인천광역시 남동구 용천로 208 사회복지회관 707호 장애인성폭력상담소
9,인천광역시,남동구,인천지방경찰청장,인천광역시 남동구  예술로152번길 9 인천지방경찰청 경무과 경무계
0,인천광역시,남동구,간석3동행정복지센터,인천광역시 남동구 용천로 186 주민센터
1,인천광역시,남동구,구월2동행정복지센터,인천광역시 남동구 구월로 208
2,인천광역시,남동구,구월3동행정복지센터,인천광역시 남동구 문화서로 84
3,인천광역시,남동구,구월4동행정복지센터,인천광역시 남동구 구월말로 7
4,인천광역시,남동구,남동구청,인천광역시 남동구 소래로 633 남동구청
5,인천광역시,남동구,논현1동행정복지센터,인천광역시 남동구 소래역로 115 주민센터
6,인천광역시,남동구,논현고잔동행정복지센터,인천광역시 남동구 앵고개로847번길 32 주민센터
7,인천광역시,남동구,만수2동행정복지센터,인천광역시 남동구 만수서로 46 주민센터
8,인천광역시,남동구,인천광역시 교통정책과,인천광역시 남동구  정각로 29 인천광역시청 교통정책과
9,인천광역시,남동구,인천광역시중앙도서관,인천광역시 남동구 정각로 9
0,인천광역시,남동구,간석2동행정복지센터,인천광역시 남동구 석촌로 13 주민센터
1,인천광역시,남동구,간석4동행정복지센터,인천광역시 남동구 벽돌말로19번길 7 주민센터
2,인천광역시,남동구,경인일보,인천광역시 남동구 남동대로 773 경인일보 3층 (사업부)
3,인천광역시,남동구,만수1동행정복지센터,인천광역시 남동구 인주대로 851 주민센터
4,인천광역시,남동구,만수3동행정복지센터,인천광역시 남동구 서판로 11 주민센터
5,인천광역시,남동구,만수4동행정복지센터,인천광역시 남동구 만수로50번길 39 주민센터
6,인천광역시,남동구,만수5동행정복지센터,인천광역시 남동구 만경로28번길 3 주민센터
7,인천광역시,남동구,만수6동행정복지센터,인천광역시 남동구 장승남로 47 주민센터
8,인천광역시,남동구,인천스페셜올림픽코리아,인천광역시 남동구 소래로 500 남동체육관109호
9,인천광역시,남동구,장수서창동행정복지센터,인천광역시 남동구 독곡로 28 주민센터
0,인천광역시,남동구,남동구다문화가족지원센터,인천광역시 남동구 소래로 645 남동복지관 2층 남동구 건강가정다문화가족지원센터
1,인천광역시,남동구,남동구청 공원녹지과,인천광역시 남동구 소래로 633 7층 공원녹지과
2,인천광역시,남동구,남동구청 드림스타트,인천광역시 남동구 소래로 645 남동복지관 2층
3,인천광역시,남동구,서창도서관,인천광역시 남동구 독곡로16번길 15 서창도서관
4,인천광역시,남동구,인천광역시남동문화원,인천광역시 남동구  아암대로1437번길 32 남동소래아트홀 내 남동문화원
5,인천광역시,남동구,인천원동초등학교,인천광역시 남동구 논고개로 38 인천원동초등학교
6,인천광역시,남동구,인천장서초등학교,인천광역시 남동구 서창남순환로 109 인천장서초등학교 2층 학교 도서관
7,인천광역시,남동구,인천청선학교,인천광역시 남동구 인주대로914번길 16 중학과정 2학년 4반
8,인천광역시,남동구,인천평생교육진흥원,인천광역시 남동구 정각로 8 인천YWCA 4층
9,인천광역시,남동구,장도 어린이집,인천광역시 남동구 포구로 112 장도초등학교 내 장도어린이집
0,인천광역시,남동구,공립 구월나래 어린이집,인천광역시 남동구  선수촌로 56 1층 관리동내 구월나래어린이집
1,인천광역시,남동구,국공립늘해랑어린이집,인천광역시 남동구  선수촌공원로 85 구월아시아드 1단지 늘해랑어린이집
2,인천광역시,남동구,남동청소년문화의집,인천광역시 남동구？？？만수서로 70 남동청소년문화의집
3,인천광역시,남동구,만수2동어린이도서관,인천광역시 남동구  만수서로 46 만수2동주민센터 2층 만수2동어린이도서관
4,인천광역시,남동구,목민어린이집,인천광역시 남동구  백범로 180 37-1
5,인천광역시,남동구,인천외국인종합지원센터,인천광역시 남동구  예술로192번길 40 인천시새마을회 3층 302호
6,인천광역시,남동구,인천지방경찰청117센터,인천광역시 남동구 예술로152번길 9
7,인천광역시,남동구,통계청 인천사무소,인천광역시 남동구  인하로507번길 66 경인지방통계청 인천사무소
8,인천광역시,남동구,해마루어린이집,인천광역시 남동구  앵고개로815번길 103 국공립 해마루어린이집
9,인천광역시,남동구,홀트아동복지회인천사무소,인천광역시 남동구 남동대로 903 홀트인천복지센터 3층
0,인천광역시,남동구,공립 꿈사랑 어린이집,인천광역시 남동구 논현로 105
1,인천광역시,남동구,남동하모니센터,인천광역시 남동구 호구포로 203-31
2,인천광역시,남동구,담방초등학교,인천광역시 남동구 매소홀로 1027
3,인천광역시,남동구,인천광역시광역치매센터,인천광역시 남동구 남동대로774번길 24 길병원 가천뇌과학연구원 4층
4,인천광역시,남동구,인천동부초등학교,인천광역시 남동구 만수서로33번길 25
5,인천광역시,남동구,인천사리울중학교,인천광역시 남동구  에코중앙로84번길 12 인천사리울중학교
6,인천광역시,남동구,인천장도초등학교,인천광역시 남동구 포구로 112
7,인천광역시,남동구,인천장서초등학교,인천광역시 남동구  서창남순환로 109 인천장서초등학교
8,인천광역시,남동구,인천장수초등학교,인천광역시 남동구  담방로 121 인천장수초등학교
9,인천광역시,남동구,한국도박문제관리센터 인천센터,인천광역시 남동구  예술로204번길 32 구월중앙프라자 A동 901호
0,인천광역시,남동구,남동구청소년지원센터,인천광역시 남동구 만수서로 70 남동청소년 문화의 집3층
1,인천광역시,남동구,상인천여자중학교,인천광역시 남동구 문화로169번길 30
2,인천광역시,남동구,소래도서관,인천광역시 남동구  앵고개로 793 소래도서관
3,인천광역시,남동구,인천경제산업정보테크노파크,인천광역시 남동구 남동대로215번길 30
4,인천광역시,남동구,인천고잔고등학교,인천광역시 남동구  에코중앙로 117 인천고잔고등학교
5,인천광역시,남동구,인천고잔중학교,인천광역시 남동구 논고개로 20
6,인천광역시,남동구,인천광역시 남동구 어린이급식관리지원센터,인천광역시 남동구 하촌로 18
7,인천광역시,남동구,인천광역시도서관발전진흥원,인천광역시 남동구 인주대로776번길 53
8,인천광역시,남동구,인천구월서초등학교,인천광역시 남동구  문화서로77번길 14
9,인천광역시,남동구,인천송천초등학교,인천광역시 남동구 앵고개로815번길 45
0,인천광역시,남동구,구월서초등학교,인천광역시 남동구 문화서로77번길 14
1,인천광역시,남동구,남동구도시관리공단,인천광역시 남동구 만수로19번길 10
2,인천광역시,남동구,남동구자원봉사센터,인천광역시 남동구 소래로 645 1층
3,인천광역시,남동구,동인천중학교,인천광역시 남동구 구월남로57번길 12
4,인천광역시,남동구,인천고잔초등학교,인천광역시 남동구 아암대로1503번길 48
5,인천광역시,남동구,인천광역시자원봉사센터,인천광역시 남동구 용천로152번길 18 인천시사회복지회관410호
6,인천광역시,남동구,인천도림초등학교,인천광역시 남동구 논고개로334번길 21
7,인천광역시,남동구,인천동방초등학교,인천광역시 남동구 논현역로 31
8,인천광역시,남동구,인천상아초등학교,인천광역시 남동구 석산로184번길 66
9,인천광역시,남동구,인천종합문화예술회관,인천광역시 남동구 예술로 149
0,인천광역시,남동구,마중물도서관,인천광역시 남동구 백범로 232-1 소명루터교회 1층 마중물도서관
1,인천광역시,남동구,새말초등학교,인천광역시 남동구 만수로50번길 12
2,인천광역시,남동구,인천간석초등학교,인천광역시 남동구 석산로208번길 37
3,인천광역시,남동구,인천광역시청소년수련관,인천광역시 남동구 장수로 42
4,인천광역시,남동구,인천논현고등학교,인천광역시 남동구 청능대로611번길 54
5,인천광역시,남동구,인천만수초등학교,인천광역시 남동구 소래로 652
6,인천광역시,남동구,인천만월초등학교,인천광역시 남동구 구월남로232번길 31
7,인천광역시,남동구,인천성리중학교,인천광역시 남동구 성리로 26
8,인천광역시,남동구,인천약산초등학교,인천광역시 남동구 간석로26번길 10
9,인천광역시,남동구,인천정각초등학교,인천광역시 남동구 구월로 228
0,인천광역시,남동구,구월여자중학교,인천광역시 남동구 성말로13번길 78
1,인천광역시,남동구,남동구보건소,인천광역시 남동구 소래로 633
2,인천광역시,남동구,남동구푸드마켓1호점,인천광역시 남동구 소래로 645 남동복지관 1층
3,인천광역시,남동구,남동초등학교,인천광역시 남동구 장승남로33번길 10
4,인천광역시,남동구,상인천초등학교,인천광역시 남동구 석산로141번길 29
5,인천광역시,남동구,인천남동경찰서,인천광역시 남동구 남동대로 668
6,인천광역시,남동구,인천보훈지청,인천광역시 남동구 남동대로691번길 12
7,인천광역시,남동구,인천소래초등학교,인천광역시 남동구 장도로 2
8,인천광역시,남동구,인천외국인노동자지원센터,인천광역시 남동구 호구포로 220 명진프라자 12층
9,인천광역시,남동구,인천주원초등학교,인천광역시 남동구 주안로259번길 28
0,인천광역시,남동구,간석3동어린이도서관,인천광역시 남동구 용천로 186 3층 간석3동어린이도서관
1,인천광역시,남동구,구월3지역아동센터,인천광역시 남동구 문화서로23번길 13 4층
2,인천광역시,남동구,국공립제비어린이집,인천광역시 남동구 문화로169번길 21 국공립 제비어린이집
3,인천광역시,남동구,인천광역시청,인천광역시 연수구 청량로 138 문화재과
4,인천광역시,남동구,인천광역시청소년중장기쉼터예꿈,인천광역시 남동구 백범로157번길 34-15 301호
5,인천광역시,남동구,인천남동소방서,인천광역시 남동구 인주대로 714
6,인천광역시,남동구,인천도시공사,인천광역시 남동구 인주대로 900
7,인천광역시,남동구,인천서창초등학교,인천광역시 남동구 장아산로174번길 8 인천서창초등학교
8,인천광역시,남동구,인천성리초등학교,인천광역시 남동구 성리로 32-2
9,인천광역시,남동구,인천여자단기청소년쉼터하모니,인천광역시 남동구 인주대로 801 대영빌딩 5층
0,인천광역시,남동구,공립남동보듬이나눔이어린이집,인천광역시 남동구  인주대로681번길 62-11 공립남동보듬이나눔이어린이집
1,인천광역시,남동구,공립만월어린이집,인천광역시 남동구  만수서로 97-7 공립만월어린이집
2,인천광역시,남동구,공립장애아전문씨튼어린이집,인천광역시 남동구 담방서로23번길 17 1층 씨튼어린이집
3,인천광역시,남동구,국공립가온사랑어린이집,인천광역시 남동구  선수촌로 27 국공립 가온사랑 어린이집
4,인천광역시,남동구,남동구아동복지종합센터,인천광역시 남동구 용천로 208 사회복지회관 201호
5,인천광역시,남동구,마을안작은도서관,인천광역시 남동구 인하로 604 (구월동) 마을안교회 내
6,인천광역시,남동구,빛솔어린이집,인천광역시 남동구  선수촌로 8 빛솔어린이집
7,인천광역시,남동구,예다원도서관,인천광역시 남동구 앵고개로941번길 31 4층 예다원도서관
8,인천광역시,남동구,인천행복한가정wee센터,인천광역시 남동구 평온로6번길 29 인천아동청소년희망재단
9,인천광역시,남동구,향기보듬이나눔이어린이집,인천광역시 남동구 논현고잔로 26 향기보듬이나눔이어린이집
0,인천광역시,남동구,남동구푸드뱅크,인천광역시 남동구 소래로 645 남동복지관 1층
1,인천광역시,남동구,남동아동그룹홈,"인천광역시 남동구 독곡로16번길 22-7 301, 302, 401호"
2,인천광역시,남동구,단비어린이집,인천광역시 남동구 구월말로3번길 70
3,인천광역시,남동구,만수북초등학교,인천광역시 남동구  백범로180번길 25 인천만수북초등학교
4,인천광역시,남동구,만월중학교,인천광역시 남동구 서창남순환로 22
5,인천광역시,남동구,인천사리울초등학교,인천광역시 남동구 아암대로1437번길 50
6,인천광역시,남동구,인천새터민지원센터,인천광역시 남동구 청능대로 593 8층
7,인천광역시,남동구,인천석정초등학교,인천광역시 남동구 석정로539번길 32
8,인천광역시,남동구,인천식품안전정보센터,"인천광역시 남동구 예술로 172 예술회관역 지하1층(1,2,3,4번 출구방향)"
9,인천광역시,남동구,인천은봉초등학교,인천광역시 남동구 은봉로312번길 11
0,인천광역시,남동구,남동구도담도담장난감월드,인천광역시 남동구 소래로 633 남동구청내 차량등록민원실 1층
1,인천광역시,남동구,남동구정신건강증진센터,인천광역시 남동구 백범로227번길 95
2,인천광역시,남동구,인천구월초등학교,인천광역시 남동구 인주대로721번길 49
3,인천광역시,남동구,인천남촌초등학교,인천광역시 남동구 남촌로 101
4,인천광역시,남동구,인천만수고등학교,인천광역시 남동구 장승로 91
5,인천광역시,남동구,인천만수북초등학교,인천광역시 남동구 백범로180번길 25
6,인천광역시,남동구,인천석천초등학교,인천광역시 남동구 남동대로 828
7,인천광역시,남동구,인천인동초등학교,"인천광역시 남동구 백범로248번길 38 만수동, 인천인동초등학교"
8,인천광역시,남동구,인천인수초등학교,인천광역시 남동구 인수로 3
9,인천광역시,남동구,인천조동초등학교,인천광역시 남동구 백범로124번길 164
0,인천광역시,남동구,남동구노인인력개발센터,인천광역시 남동구 소래로 645 남동복지관 3층
1,인천광역시,남동구,남동구청소년상담복지센터,인천광역시 남동구 만수서로 70 남동청소년문화의집 3층
2,인천광역시,남동구,남동문화예술회관,인천광역시 남동구 아암대로1437번길 32
3,인천광역시,남동구,남동청소년방과후아카데미,인천광역시 남동구 만수서로 70 남동청소년방과후아카데미
4,인천광역시,남동구,미추홀외국어고등학교,인천광역시 남동구 에코중앙로 130
5,인천광역시,남동구,인천광역시교육청 Wee센터,인천광역시 남동구 문화로169번길 73
6,인천광역시,남동구,인천광역정신건강복지센터,인천광역시 남동구 남동대로774번길 24 뇌과학연구원 5층
7,인천광역시,남동구,인천근로자건강센터,인천광역시 남동구 남동대로215번길 30
8,인천광역시,남동구,인천논곡초등학교,인천광역시 남동구 함박뫼로 429
9,인천광역시,남동구,인천한빛초등학교,인천광역시 남동구 서창남순환로 190-17
0,인천광역시,남동구,(사)인천아동청소년희망재단,인천광역시 남동구 평온로6번길 29 명가리치빌 나동 502호
1,인천광역시,남동구,(사)한국시각장애인연합회 인천지부,인천광역시 남동구 주안로 234 풍림아이원아파트상가 207호
2,인천광역시,남동구,(주)이엠사회서비스교육개발원,인천광역시 남동구  경인로 598 병규빌딩 6층(간석동 432-1)
3,인천광역시,남동구,대한장애인유도협회,인천광역시 남동구 석정로551번길 32 지하1층
4,인천광역시,남동구,사단법인한국전통문화연구진흥원,인천광역시 남동구 남촌로 67 3층
5,인천광역시,남동구,샛별주간보호센터,인천광역시 남동구  청능대로595번길 17 성지타워 4층 401호
