,지역,시군구,기관,주소
0,인천광역시,연수구,송도노인복지관,인천광역시 연수구 송도교육로 61 1층 사무실
1,인천광역시,연수구,안전총괄실,인천광역시 연수구 원인재로 115 4층 안전총괄실
2,인천광역시,연수구,여성아동과 드림스타트,인천광역시 연수구  청능대로 109 탑피온 빌딩 4층 드림스타트
3,인천광역시,연수구,연수경찰서,인천광역시 연수구 원인재로 138
4,인천광역시,연수구,연수구시설안전관리공단,인천광역시 연수구 갯벌로 12 17층 연수구시설안전관리공단
5,인천광역시,연수구,연수구청,인천광역시 연수구 원인재로 115 여성아동과 드림스타트팀
6,인천광역시,연수구,인천관광공사,인천광역시 연수구  갯벌로 12 미추홀타워 16층
7,인천광역시,연수구,인천대학교사회봉사센터,인천광역시 연수구 아카데미로 119 인천대학교 복지회관(11호관) 320호 사회봉사센터
8,인천광역시,연수구,인천시청자미디어센터,인천광역시 연수구 인천타워대로54번길 19 인천시청자미디어센터 3층
9,인천광역시,연수구,인천연수생명숲어린이집,인천광역시 연수구 인천타워대로54번길 15-7 연수생명숲어린이집
0,인천광역시,연수구,박문여자고등학교,인천광역시 연수구  송도과학로51번길 16 박문여자고등학교
1,인천광역시,연수구,연수구육아종합지원센터,인천광역시 연수구  원인재로 115 연수구청 604호
2,인천광역시,연수구,연수구장애인주간보호센터,인천광역시 연수구 청량로185번길 31 sm프라자 2층 연수구장애인주간보호센터
3,인천광역시,연수구,연수구재가노인복지센터,인천광역시 연수구 함박뫼로 194 노인복지회관
4,인천광역시,연수구,연수구청소년수련관,인천광역시 연수구 앵고개로 132
5,인천광역시,연수구,연수구청소년지원센터 꿈드림,인천광역시 연수구  비류대로 429 4층 연수구청소년지원센터 꿈드림
6,인천광역시,연수구,연수구체육회,인천광역시 연수구 청능대로 205
7,인천광역시,연수구,월드비전선학종합사회복지관,인천광역시 연수구  선학로 14 월드비전선학종합사회복지관
8,인천광역시,연수구,인천연수지역자활센터,인천광역시 연수구 청명로3번길 8-5 인천연수지역자활센터 3층
9,인천광역시,연수구,해돋이도서관,인천광역시 연수구 해돋이로 7 해돋이도서관
0,인천광역시,연수구,대한적십자사 인천혈액원,인천광역시 연수구 함박뫼로 220
1,인천광역시,연수구,세화종합사회복지관,인천광역시 연수구 원인재로 315
2,인천광역시,연수구,연수구노인복지관,인천광역시 연수구 함박뫼로 194
3,인천광역시,연수구,연수구다문화가족지원센터,인천광역시 연수구 청능대로 109
4,인천광역시,연수구,연수구보건소,인천광역시 연수구 함박뫼로 13
5,인천광역시,연수구,연수어린이도서관,인천광역시 연수구 먼우금로 164 연수어린이도서관
6,인천광역시,연수구,연수종합사회복지관,인천광역시 연수구 원인재로 212 연수종합사회복지관
7,인천광역시,연수구,인천광역시립박물관,인천광역시 연수구 청량로160번길 26
8,인천광역시,연수구,인천환경공단송도사업소,인천광역시 연수구 인천신항대로892번길 50
9,인천광역시,연수구,인천환경공단승기사업소,인천광역시 연수구 능허대로 484
0,인천광역시,연수구,대한적십자사인천지사,인천광역시 연수구 함박뫼로 220
1,인천광역시,연수구,선학별빛도서관,인천광역시 연수구 넘말로 30 선학별빛도서관
2,인천광역시,연수구,송도국제어린이도서관,인천광역시 연수구 컨벤시아대로 43
