,지역,시군구,기관,주소
0,인천광역시,중구,관세국경관리연수원 탐지견훈련센터담당관실,인천광역시 중구 영종해안북로1204번길 208 관세국경관리연수원 탐지견훈련센터담당관실
1,인천광역시,중구,신흥초등학교,인천광역시 중구 제물량로 134 신흥초등학교
2,인천광역시,중구,영종하늘도서관,인천광역시 중구  하늘중앙로 132 영종하늘도서관
3,인천광역시,중구,인천광역시아동복지관,인천광역시 중구 참외전로 246 아동복지관
4,인천광역시,중구,인천광역시중구청,인천광역시 중구 신포로27번길 80
5,인천광역시,중구,인천교육과학연구원 인천학생과학관,인천광역시 중구 영종대로277번길 74-10 인천학생과학관
6,인천광역시,중구,인천시남부교육청,인천광역시 중구 차이나타운로51번길 45
7,인천광역시,중구,인천영종소방서,인천광역시 중구 공항서로512번길 464 인천공항소방서 예방안전과
8,인천광역시,중구,인천해양경비안전서,인천광역시 중구 축항대로 10 1층(북성동 1가)
9,인천광역시,중구,중구문화회관,인천광역시 중구 축항대로296번길 81 중구문화회관중구국민체육센터
0,인천광역시,중구,(재)인천문화재단,인천광역시 중구 제물량로 195 인천문화재단
1,인천광역시,중구,인천광역시 중구체육회,"인천광역시 중구 신포로27번길 83-1 중앙동 1가, 중구청 별관 인진빌딩 5층"
2,인천광역시,중구,인천송월초등학교,인천광역시 중구 자유공원로 106-8
3,인천광역시,중구,인천아트플랫폼,인천광역시 중구  제물량로218번길 3 인천아트플랫폼 D동 1층 사무실
4,인천광역시,중구,인천중구 구립해송노인요양원,인천광역시 중구 백운로 494
5,인천광역시,중구,인천중구여성회관,인천광역시 중구 축항대로296번길 81 중구문화회관중구국민체육센터
6,인천광역시,중구,인천중구자원봉사센터영종분소,인천광역시 중구 영종대로 84 신공항파크빌 209호
7,인천광역시,중구,인천중부경찰서 외사계,인천광역시 중구 제물량로 237 보안과 외사계(4층)
8,인천광역시,중구,중구청소년상담복지센터,인천광역시 중구 참외전로72번길 25 동인천동 행정복지센터 3층
9,인천광역시,중구,중부폴리스맘,인천광역시 중구 제물량로 237 여성청소년과
0,인천광역시,중구,구립장미어린이집,인천광역시 중구 참외전로174번길 12-1 (경동 51-2)
1,인천광역시,중구,인천공항초등학교,인천광역시 중구 신도시남로 43 공항초등학교
2,인천광역시,중구,인천광역시 중구 구립 꿈벗도서관,인천광역시 중구  홍예문로 32 중구도서관 꿈벗도서관
3,인천광역시,중구,인천광역시중구시설관리공단,인천광역시 중구 축항대로296번길 81 중구문화회관중구국민체육센터
4,인천광역시,중구,인천역,인천광역시 중구 제물량로 269 인천역
5,인천광역시,중구,인천운남초등학교,인천광역시 중구 운남서로 38 운남초등학교
6,인천광역시,중구,인천중구다문화가족지원센터,인천광역시 중구 답동로 23 사회복지센터 3층
7,인천광역시,중구,중구보건소,인천광역시 중구 참외전로72번길 21
8,인천광역시,중구,중구정신건강복지센터,인천광역시 중구 참외전로 172-27 중구보건소 5층 정신건강증진센터
