,지역,시군구,기관,주소
0,전라남도,고흥군,고흥경찰서,전라남도 고흥군 고흥읍 흥양길 42
1,전라남도,고흥군,고흥군 드림스타트(여성청소년과),전라남도 고흥군 고흥읍 고흥군청로 1
2,전라남도,고흥군,고흥군공립노인전문요양병원,전라남도 고흥군 고흥읍 고흥로 1941
3,전라남도,고흥군,국립소록도병원,전라남도 고흥군 도양읍 소록해안길 65
4,전라남도,고흥군,금산초등학교병설유치원,전라남도 고흥군 금산면 상하촌길 17-8
5,전라남도,고흥군,나로우주센터우주과학관,전라남도 고흥군 봉래면 하반로 490
6,전라남도,고흥군,녹동현대전문요양원,전라남도 고흥군 도양읍 차경구렁목길 213
7,전라남도,고흥군,대한불교조계종능가사,전라남도 고흥군 점암면 팔봉길 21 능가사
8,전라남도,고흥군,문화예술과(군립중앙도서관),전라남도 고흥군 고흥읍 고흥로 1793
9,전라남도,고흥군,전라남도고흥평생교육관,전라남도 고흥군 고흥읍 고흥로 1647-13
0,전라남도,고흥군,(사)고흥여성농업인종합지원센터,전라남도 고흥군 두원면 두원로 458
1,전라남도,고흥군,고향사랑지역아동센터,전라남도 고흥군 남양면 남양중앙길 8
2,전라남도,고흥군,고흥군노인복지관,전라남도 고흥군 고흥읍 고흥로 1941
3,전라남도,고흥군,고흥나누리상담센터,전라남도 고흥군 고흥읍 고흥로 1762-1 2층
4,전라남도,고흥군,고흥믿음의집,전라남도 고흥군 포두면 외산길 8-23
5,전라남도,고흥군,고흥서부어린이집,전라남도 고흥군 고흥읍 서문여산길 10-25
6,전라남도,고흥군,고흥종합복지센터,전라남도 고흥군 고흥읍 고흥로 1943
7,전라남도,고흥군,도덕지역아동센터,전라남도 고흥군 도덕면 고흥로 487-6
8,전라남도,고흥군,도화어린이집,전라남도 고흥군 도화면 동신길 57-7
9,전라남도,고흥군,믿음지역아동센터,전라남도 고흥군 도양읍 녹동신항8길 29-10
0,전라남도,고흥군,The싹,전라남도 고흥군 고흥읍 원동남계길 5
1,전라남도,고흥군,고흥영화의집,전라남도 고흥군 과역면 고흥로 2939-19
2,전라남도,고흥군,과역지역아동센터,전라남도 고흥군 과역면 과역로 901
3,전라남도,고흥군,꿈꾸는 놀이터,전라남도 고흥군 동일면 우주로 2582-4 1층 꿈꾸는 놀이터
4,전라남도,고흥군,도화지역아동센터,전라남도 고흥군 당오천변1길 51
5,전라남도,고흥군,동강지역아동센터,전라남도 고흥군 동강면 원유둔2길 13
6,전라남도,고흥군,봉두요양원,전라남도 고흥군 대서면 봉두로 586
7,전라남도,고흥군,샬롬복지센터,전라남도 고흥군 포두면 서동길 17
8,전라남도,고흥군,원광녹동지역아동센터,전라남도 고흥군 도양읍 녹동신항9길 43-2
9,전라남도,고흥군,효자노인복지센터,전라남도 고흥군 도화면 당오천변1길 47
0,전라남도,고흥군,고흥문화원,전라남도 고흥군 고흥읍 고흥로 1892-67 2층
1,전라남도,고흥군,고흥실버타운요양원,전라남도 고흥군 고흥읍 고흥로 1997-8
2,전라남도,고흥군,꿈나무지역아동센터,전라남도 고흥군 고흥읍 고흥로 1759 2층
3,전라남도,고흥군,벧엘지역아동센터,전라남도 고흥군 고흥읍 학교길 53-1 벧엘지역아동센터
4,전라남도,고흥군,아름숲지역아동센터,전라남도 고흥군 고흥읍 흥양길 29 3층
