,지역,시군구,기관,주소
0,전라남도,광양시,공립광양보듬이나눔이어린이집,전라남도 광양시 시청로 6
1,전라남도,광양시,광양근로복지공단어린이집,전라남도 광양시 중동2길 28 광양근로복지공단어린이집
2,전라남도,광양시,광양시드림스타트,전라남도 광양시 인덕로 1100 광양시제2청사 광양시드림스타트(2층)
3,전라남도,광양시,광양시보건소,전라남도 광양시인덕로 1100 광양시제2청사 광양시보건소
4,전라남도,광양시,광양시청(민원지적과),전라남도 광양시  시청로 33
5,전라남도,광양시,광양중동초등학교병설유치원,전라남도 광양시 광장로 112-6 (중동) 광양중동초등학교병설유치원
6,전라남도,광양시,도로교통공단 광양운전면허시험장,전라남도 광양시 광양읍 대학로 11 광양운전면허시험장
7,전라남도,광양시,서울대학교남부학술림,전라남도 광양시 광양읍 매천로 797
8,전라남도,광양시,전라남도광양교육지원청특수교육지원센터,전라남도 광양시 숲샘길 29 광양읍 (광양서초 후문 특수교육지원센터)
9,전라남도,광양시,전라남도광양교육지원청학생생활지원센터,전라남도 광양시우산길 3 3층 Wee센터
0,전라남도,광양시,광양사랑나눔복지재단,전라남도 광양시 중동 1318-2(시의회동 5층)
1,전라남도,광양시,광양시공립노인전문요양병원,전라남도 광양시 진등길 93 (마동)
2,전라남도,광양시,광양시노인복지회관,전남 광양시 광양읍 목성리 690-21
3,전라남도,광양시,광양시립중마도서관,전라남도 광양시  광장로  14 0 광양시립중마도서관 3층 사무실
4,전라남도,광양시,광양시보건소(정신보건센터),전라남도 광양시 광양읍 인덕로  1100 0 광양시보건소
5,전라남도,광양시,광양시자원봉사센터,전라남도 광양시 시청로 33 광양시청 주민생활지원과
6,전라남도,광양시,광양원광어린이집,전라남도 광양시 광양읍 회암길 29-12 광양원광어린이집
7,전라남도,광양시,전남광양지역자활센터,전라남도 광양시 광양읍 칠성리 436-5(국민건강보험공단 4층)
8,전라남도,광양시,전라남도광양평생교육관,전라남도 광양시 광영동 487-1번지
9,전라남도,광양시,햇살어린이집,"전라남도 광양시 광장로 70 212동 109호(중동, 성호2차아파트)"
0,전라남도,광양시,광양노인복지관,전라남도 광양시 광양읍 백운로 8-3 광양노인복지관
1,전라남도,광양시,광양시사라실예술촌,전라남도 광양시 광양읍 사곡로 201 사라실예술촌
2,전라남도,광양시,광양용강어린이집,전라남도 광양시 용강2길 11 광양용강어린이집
3,전라남도,광양시,다압항동마을작은도서관,전라남도 광양시 항동길 1 다압면중대본부 다압항동마을
4,전라남도,광양시,백운산자연휴양림,전라남도 광양시 옥룡면 백계로 337 백운산휴양림
5,전라남도,광양시,사회복지법인 희망찬특수어린이집,전라남도 광양시  유당로 228 광양시 읍 구산리 703번지
6,전라남도,광양시,사회복지법인해처럼어린이집,전라남도 광양시 나룻2길 15 해처럼어린이집
7,전라남도,광양시,옥곡명주마을작은도서관,전라남도 광양시 명주1길 10 명주마을회관 옥곡명주마을작은도서관
8,전라남도,광양시,진상어린이집,전라남도 광양시 진상면 섬거길 5-14 진상어린이집
9,전라남도,광양시,햇빛어린이집,전라남도 광양시 광장로 26 햇빛어린이집
0,전라남도,광양시,hrd센터취업사관학교,전남 광양시 진월면 마룡리 614번지
1,전라남도,광양시,광양시청(광양수영장),전남 광양시 봉강면 석사리 124-1
2,전라남도,광양시,광양시청소년문화센터,전라남도 광양시 중동 1658중동근린공원 내
3,전라남도,광양시,광양장도박물관,전라남도 광양시 광양읍 칠성리 1009-3번지
4,전라남도,광양시,대광임산부학교,전남 광양시 중동 1602~1680 1605-4번지 아로마센터1층
5,전라남도,광양시,매화반딧불작은도서관,전남 광양시 광양읍 매화마을주공아파트 762-2 복지관1층
6,전라남도,광양시,백합어린이집,전라남도 광양시 광양읍 용두1길 26-16 백합어린이집
7,전라남도,광양시,의료법인현경의료재단광양서울병원,전라남도 광양시 진등길 93 마동 광양서울병원
8,전라남도,광양시,중마노인복지관,전라남도 광양시 중동 1359-3번지
9,전라남도,광양시,필유사랑도서관,전라남도 광양시 눈소4길 65 우림필유아파트내  필유사랑나눔도서관
0,전라남도,광양시,(사)대한노인회광양지회,전라남도 광양시 광양읍 남문1길 41 (사)대한노인회광양지회
1,전라남도,광양시,광양문화원,전라남도 광양시 매천로 829 광양문화원
2,전라남도,광양시,광양시노인전문요양원,전라남도 광양시 옥곡면 대죽리 664번지
3,전라남도,광양시,광양시문화도시사업단,"전라남도 광양시 광양읍 남등길 6 광양읍사무소(2층, 읍정상담실)"
4,전라남도,광양시,광양시장애인직업재활시설서산나래,전라남도 광양시 광양읍 오성길 14 장애인직업재활시설 서산나래
5,전라남도,광양시,광양시청소년문화의집,전라남도 광양시 광양읍 70번지 광양시 청소년 문화의집
6,전라남도,광양시,광양시청소년수련관,전라남도 광양시 중동 1658(근린공원내)
7,전라남도,광양시,사단법인 광양스포츠클럽,전라남도 광양시 봉강면 매천로 695-9 국민체육센터 내
8,전라남도,광양시,위스타트광양마을,전라남도 광양시 인덕로 1100 광양시제2청사 2층 위스타트광양마을
9,전라남도,광양시,장난감도서관,전라남도 광양시 중동 1361-4
0,전라남도,광양시,광양YMCA,전라남도 광양시 광양읍 회암길 3-24 광양YMCA
1,전라남도,광양시,광양시각장애인자립지원센터,전라남도 광양시 발섬1길 7-8 (중동)
2,전라남도,광양시,광양시니어클럽사업팀,전라남도 광양시 사동로 28 (중동)
3,전라남도,광양시,광양장애인자립생활센터,전라남도 광양시 광양읍 성북길 47-8 1층
4,전라남도,광양시,늘편한요양병원,전라남도 광양시 중마중앙로 134 늘편한요양병원
5,전라남도,광양시,매화꽃주야간보호센터,전라남도 광양시 광양읍 서북로 18 (1층)
6,전라남도,광양시,무지개양로원,전라남도 광양시 사곡로 470-13 무지개양로원
7,전라남도,광양시,봄꽃작은도서관,"전라남도 광양시 중마로 369 202동 필로티층(마동, 덕진광양의봄아파트2단지)"
8,전라남도,광양시,봄빛작은도서관,"전라남도 광양시 중마로 367 (마동, 덕진광양의봄아파트)봄빛작은도서관"
9,전라남도,광양시,행복도서관,전라남도 광양시 중마청룡1길 4 (중동 1302-2)
0,전라남도,광양시,(사)광양만녹색연합,전라남도 광양시 사동로 21 2층
1,전라남도,광양시,광양사랑병원,전라남도 광양시 중동 1639-1번지
2,전라남도,광양시,광양송보7차아파트관리사무소,전라남도 광양시 광양읍 와룡길 33 (광양송보파인빌7차 관리사무소)
3,전라남도,광양시,광양시건강가정.다문화가족지원센터,전라남도 광양시 중마로 410 (중동)커뮤니티센터 6층
4,전라남도,광양시,광양시생활체육회,전라남도 광양시 광양읍 869-1번지
5,전라남도,광양시,광양시체육회,전라남도 광양시 광양읍 서천변로 111 광양시 체육회
6,전라남도,광양시,광양환경운동연합,전라남도 광양시 중동 1550-5 3층
7,전라남도,광양시,전라남도지적장애인복지협회 광양시지부,전라남도 광양시 금호로 330 (금호동)
8,전라남도,광양시,태금샬롬도서관,전라남도 광양시 삼봉산로 90 (태인동)
9,전라남도,광양시,햇빛마을주간보호센터,전라남도 광양시 금호로 330-1 햇빛마을주간보호센터
0,전라남도,광양시,(사)척수장애인협회광양시지회,전라남도 광양시 광양읍 인동리 인동리 415-6
1,전라남도,광양시,광양매화원,전남 광양시 광양읍 칠성리 950-4
2,전라남도,광양시,광양수화통역센터,전남 광양시 중동 1357~1601 1460-8 2층
3,전라남도,광양시,광양시장애인종합복지관,전남 광양시 광양읍 덕례리 1724-3
