,지역,시군구,기관,주소
0,전라남도,무안군,농업기술센터,전라남도 무안군 무안로 339 농업기술센터
1,전라남도,무안군,목포대학교사회봉사센터,전라남도 무안군 청계면 영산로 1666 학생회관 2층 사회봉사센터
2,전라남도,무안군,무안군청산림환경과,전라남도 무안군 무안로 530 무안군청 산림환경과
3,전라남도,무안군,무안군청종합민원실,전라남도 무안군 무안로 530 무안군청 종합민원실 공간정보담당
4,전라남도,무안군,무안문화원,전라남도 무안군 창포로 8 승달문화예술회관 무안문화원
5,전라남도,무안군,무안읍사무소,전라남도 무안군 성내1길 2 무안읍사무소
6,전라남도,무안군,삼향읍사무소,전라남도 무안군 신기길 20 삼향읍사무소
7,전라남도,무안군,전라남도 대변인실,전라남도 무안군  오룡길 1 전라남도청 대변인실
8,전라남도,무안군,전라남도청토지관리과,전라남도 무안군 오룡길 1 전라남도청 토지관리과
9,전라남도,무안군,회산백련지,전라남도 무안군 백련로 333 회산백련지시설사업소
0,전라남도,무안군,목포대학교박물관,전라남도 무안군 청계면 영산로 1666 목포대학교박물관
1,전라남도,무안군,무안경찰서,전라남도 무안군 무안읍 무안경찰서
2,전라남도,무안군,무안군스포츠파크,전라남도 무안군 공항로 345 무안스포츠파크
3,전라남도,무안군,전남복지재단,전라남도 무안군 오룡3길 22 전남사회복지회관 3층
4,전라남도,무안군,전남여성플라자,전라남도 무안군 어진누리길 30 전라남도 여성플라자
5,전라남도,무안군,전남지방경찰청,전라남도 무안군 삼향읍 후광대로359번길 28 전남지방경찰청
6,전라남도,무안군,전라남도문화관광재단,전라남도 무안군 삼향읍 후광대로 242 전남개발빌딩 13층
7,전라남도,무안군,전라남도청 행정과,전라남도 무안군 삼향읍  전라남도청 행정과
8,전라남도,무안군,초당대학교사회봉사센터,전라남도 무안군 무안로 380 초당대학교 사회봉사센터
9,전라남도,무안군,훈민정음작은도서관,전라남도 무안군 남악5로22번길 20 근화베아체 스위트 훈민정음작은도서관
0,전라남도,무안군,무안교육지원청Wee센터,전라남도 무안군 승달로 63 무안교육지원청 Wee센터
1,전라남도,무안군,무안군드림스타트,전라남도 무안군 창포로 8 승달문화예술회관2층 드림스타트
2,전라남도,무안군,무안군오승우미술관,전라남도 무안군  초의길 7 무안군오승우미술관
3,전라남도,무안군,무안군자원봉사센터,전라남도 무안군 무안로 530 구보건소2층
4,전라남도,무안군,무안군종합사회복지관,전라남도 무안군 일로읍 삼일로 493
5,전라남도,무안군,무안군청소년지원센터,전라남도 무안군 현경면 공항로 347-83 청소년수련관
6,전라남도,무안군,전라남도교육연구정보원,전라남도 무안군 삼향읍 어진누리길 6-29 전라남도교육연구정보원
7,전라남도,무안군,전라남도립도서관,전남 무안군 삼향읍 남악리 2548번지 전라남도립도서관
8,전라남도,무안군,전라남도평생교육진흥원,전라남도 무안군 삼향읍 후광대로 242 전남개발빌딩 5층
9,전라남도,무안군,청계어린이집,전라남도 무안군 청계면 553 청계어린이집
0,전라남도,무안군,(사)한국피해자지원협회전남지부,전라남도 무안군 삼향읍 남악2로74번길 13 205-504
1,전라남도,무안군,무안군가족센터,전라남도 무안군 무안읍 무안로 511 2층 무안군가족센터
2,전라남도,무안군,무안군여성농어업인센터,전라남도 무안군 현경면 용정리 905
3,전라남도,무안군,무안군체육회,전라남도 무안군 공항로 345 무안스포츠파크
4,전라남도,무안군,바르게살기운동무안군협의회,전라남도 무안군 무안읍 무안로 530 새마을회관 1층
5,전라남도,무안군,사)한국예술문화단체총연합회무안지회,전라남도 무안군 삼향읍 남악3로 40 2층
6,전라남도,무안군,새희망재가노인복지센터,전라남도 무안군 현경면 현해로 39 새희망재가노인복지센터
7,전라남도,무안군,은경어린이집,전라남도 무안군 망운면 운해로 1436-7 은경어린이집
8,전라남도,무안군,전남교육희망연대,전라남도 무안군 삼향읍 남악3로 74 유풍프라자 603호
9,전라남도,무안군,한국종이문화원,전라남도 무안군 남악5로26번길 17-7 한국종이문화원
0,전라남도,무안군,구세군지산지역아동센터,전라남도 무안군  덕영길 15-8 구세군교회 구세군지산지역아동센터
1,전라남도,무안군,대한노인회무안군지회,전라남도 무안군 창포로 4 대한노인회 무안군지회
2,전라남도,무안군,대한노인회전남경로당광역지원센터,전라남도 무안군 삼향읍 오룡3길 2 중소기업종합지원센터3층 대한노인회 전남경로당광역지원센터
3,전라남도,무안군,무안장애인자립생활센터,전라남도 무안군 삼향읍 대죽서로15번길 36 청우프라자 202호
4,전라남도,무안군,무안재가장기요양기관,전남 무안군 무안읍 교촌리 118-10번지
5,전라남도,무안군,바르게살기운동 전라남도협의회,"전라남도 무안군 삼향읍 오룡길 1 17층, 전라남도청"
6,전라남도,무안군,산들바람어린이집,전라남도 무안군 삼향읍 오룡동길 65-1
7,전라남도,무안군,삼향읍주민자치위원회,전라남도 무안군 삼향읍 남악3로 40 남악복합주민센터
8,전라남도,무안군,전남중앙신문협동조합,전라남도 무안군 삼향읍 오룡3길 14 한국스카우트빌딩 202호
9,전라남도,무안군,전라남도체육회,전라남도 무안군 오룡1길 41 전라남도체육회
0,전라남도,무안군,무안공공도서관,전라남도 무안군 무안읍 교촌리 257-1
1,전라남도,무안군,살구나무지역아동센터,전라남도 무안군 무안읍 공항로 75-9 무안성내휴먼시아 아파트 내
2,전라남도,무안군,소전원,전라남도 무안군 일로중앙로 19-13 사회복지법인 소전원
3,전라남도,무안군,정다운요양병원,전라남도 무안군 삼향읍 삼일로 13-1 정다운 요양병원
4,전라남도,무안군,참열린영농조합법인,전라남도 무안군 현경면 현해로 478-41 참열린영농조합법인
5,전라남도,무안군,푸른솔요양원,전라남도 무안군 삼향읍 왕산길 130-5 푸른솔요양원
6,전라남도,무안군,하늘숲어린이집,전라남도 무안군 삼향읍 오룡산로 320-22 하늘숲어린이집
7,전라남도,무안군,한국외국인선교회무안지부,전라남도 무안군 청계면 승달산길 97 목포대학교 글로벌비전센터
8,전라남도,무안군,행복마을지역아동센터,전라남도 무안군 운남면 운해로 266-1 행복마을지역아동센터
