,지역,시군구,기관,주소
0,전라남도,여수시,여수국동우체국,전라남도 여수시 신월로 629 국동우체국
1,전라남도,여수시,여수봉산동우체국,전라남도 여수시 어항로 37 봉산동우체국
2,전라남도,여수시,여수시 공보담당관실,전라남도 여수시 시청로 1 공보담당관실
3,전라남도,여수시,여수시 쌍봉동주민센터,전라남도 여수시 흥국로 25
4,전라남도,여수시,여수시보건소 건강증진과,전라남도 여수시 시청서4길 47 (학동)
5,전라남도,여수시,여수지방해양수산청,전라남도 여수시 여서1로 107 (여서동)
6,전라남도,여수시,여수해양경비안전서,전라남도 여수시  문수로 111 여수해양경비안전서
7,전라남도,여수시,여천동주민센터,전라남도 여수시 무선로 190 여천동주민센터
8,전라남도,여수시,율촌면사무소,전라남도 여수시 율촌면 동산개길 8 율촌면사무소
9,전라남도,여수시,주삼동 주민센터,전라남도 여수시 여수산단로 35 (주삼동)
0,전라남도,여수시,대교동사무소,전라남도 여수시  봉산남2길 7-7 대교동주민센터
1,전라남도,여수시,여수고용노동지청,전라남도 여수시  웅천북로 33 0
2,전라남도,여수시,여수시청,전라남도 여수시  시청로 1 여수시청1청사 안전총괄과
3,전라남도,여수시,여수시청 기획예산과,전라남도 여수시  시청로 1 여수시청 기획예산과
4,전라남도,여수시,여수시청 산림과,전라남도 여수시  여천체육공원길 49 망마경기장 산림과
5,전라남도,여수시,월호동주민센터,전라남도 여수시  신월로 598
6,전라남도,여수시,전남대학교평생교육원(여수),전라남도 여수시 신월로 648 (국동)
7,전라남도,여수시,주삼동주민센터,전라남도 여수시  여수산단로 35 (주삼동 289-11)
8,전라남도,여수시,주삼동주민센터,전라남도 여수시  여수산단로 35 주삼동주민자치센터 주삼동 주민센터
9,전라남도,여수시,화정면,전라남도 여수시 화정면 백야3길 8-11
0,전라남도,여수시,국동주민센터,전라남도 여수시  국동남5길 22 국동주민자치센터 국동주민센터
1,전라남도,여수시,만덕동주민센터,전라남도 여수시  덕충안길 95 여수소방서 박람회119안전센터
2,전라남도,여수시,삼일동주민센터,전라남도 여수시  상암3길 13 삼일동주민자치센터
3,전라남도,여수시,여수교육지원청,전라남도 여수시 관문동1길 39
4,전라남도,여수시,여수시자원봉사센터,전라남도 여수시 학동  여수시청1청사 사회복지과
5,전라남도,여수시,월호동,전라남도 여수시  신월로 598 월호동주민자치쎈터
6,전라남도,여수시,한국법무보호복지공단 전남동부지소,전라남도 여수시  만성로 210-30 한국법무보호복지공단 전남동부지소
7,전라남도,여수시,해양환경공단 여수지사,전라남도 여수시 여서1로 107 (여서동)
8,전라남도,여수시,화양면,전라남도 여수시 화양면 나진길 16-10 화양면사무소
9,전라남도,여수시,화정면,전라남도 여수시 화정면 백야3길 8-11 화정면사무소
0,전라남도,여수시,공원과,전라남도 여수시  여천체육공원길 49 망마경기장 1층 공원과
1,전라남도,여수시,광림동주민센터,전라남도 여수시 광무3길 38-5
2,전라남도,여수시,교육지원과,전라남도 여수시  시청동1길 23 (학동) 구보건소 3층
3,전라남도,여수시,도시미화과,전라남도 여수시  시청동1길 23 2층 도시미화과
4,전라남도,여수시,여서동주민센터,전라남도 여수시 여서동5길 17
5,전라남도,여수시,여수시 산단지원과,전라남도 여수시  시청동1길 23
6,전라남도,여수시,여수시청 민원지적과(도로명주소 서포터즈),전라남도 여수시  시청로 1 여수시청 민원지적과
7,전라남도,여수시,여수시청 정보통신과,전라남도 여수시  시청로 1 여수시청 정보통신과
8,전라남도,여수시,중앙동주민센터,전라남도 여수시  중앙로 99
9,전라남도,여수시,화양면사무소,전라남도 여수시  나진길 16-10 화양면사무소
0,전라남도,여수시,봉계동,전라남도 여수시 주삼동 289-1
1,전라남도,여수시,상암동,전라남도 여수시 상암동 -
2,전라남도,여수시,서교동,전라남도 여수시 서교동 828
3,전라남도,여수시,순천지원 여천등기소,전라남도 여수시 망마로 26 (학동)
