,지역,시군구,기관,주소
0,전라남도,영광군,드림스타트센터,전라남도 영광군 영광읍 무령리 198-4
1,전라남도,영광군,민주평화통일자문회의 영광군협의회,전라남도 영광군 영광읍 중앙로 203 영광군청 후관 2층
2,전라남도,영광군,백수읍사무소,전라남도 영광군 천마길 13
3,전라남도,영광군,백수읍사무소사회,전라남도 영광군 천마길 13
4,전라남도,영광군,안전관리과,전라남도 영광군 영광읍 중앙로 203 영광군청 안전관리과
5,전라남도,영광군,영광경찰서,전라남도 영광군 영광읍 중앙로 211 영광경찰서 경무과
6,전라남도,영광군,영광군립도서관,전라남도 영광군 영광읍 무령리 198-1
7,전라남도,영광군,영광군청소년문화센터,전라남도 영광군  중앙로3길 6-10 영광군청소년문화센터
8,전라남도,영광군,영광초등학교,전라남도 영광군 영광읍 중앙로 216-7 영광초등학교
9,전라남도,영광군,종합민원실,전라남도 영광군 중앙로 203
0,전라남도,영광군,더-환경과사람들,전라남도 영광군 영광읍 신남로 166 3층
1,전라남도,영광군,법성원광지역아동센터,전라남도 영광군 법성면 법성리 1160
2,전라남도,영광군,수애원,전라남도 영광군 백수읍 백수로 1087-7
3,전라남도,영광군,영광공공도서관,전라남도 영광군 천년로 1440 13길 2-16
4,전라남도,영광군,영광군 보훈회관,전라남도 영광군 영광읍 천년로13길 46 영광보훈회관2층
5,전라남도,영광군,영광군자원봉사센터,전남 영광군 영광읍 무령리 198-4 영광군 자원봉사센터
6,전라남도,영광군,영광군청소년방과후아카데미,"전라남도 영광군 영광읍 중앙로3길 6-10 청소년문화센터 2층, 청소년방과후아카데미"
7,전라남도,영광군,영광군청소년상담복지센터,전라남도 영광군중앙로3길 6-10 청소년문화센터 2층
8,전라남도,영광군,영광군청소년지원센터 꿈드림,전라남도 영광군 영광읍 중앙로 119 1층 꿈드림센터
9,전라남도,영광군,영광노인전문요양원,전라남도 영광군 영광읍 신하리 244
0,전라남도,영광군,(사)세계전통문화놀이협회,전라남도 영광군 영광읍 중앙로3길 1
1,전라남도,영광군,민들레세상지역아동센터,전라남도 영광군 백수읍 길용리 113
2,전라남도,영광군,새생명마을,전라남도 영광군 법성면 용덕리 548
3,전라남도,영광군,에셀나무그룹홈,전라남도 영광군 향교길1길 4 20 에셀나무
4,전라남도,영광군,연한가지,전라남도 영광군 대마면 원당길1길 5 연한가지
5,전라남도,영광군,영광군수화통역센터,전라남도 영광군 영광읍 물무로2길 41 2층 구보훈회관
6,전라남도,영광군,영광읍주민자치센터,전라남도 영광군 영광읍 무령리 198-3
7,전라남도,영광군,영광청소년수련원,전라남도 영광군 백수읍 백수로 1057 영광청소년수련원
8,전라남도,영광군,하누리장애인주간보호센터,전라남도 영광군 영광읍 덕호리 627-1
9,전라남도,영광군,홍농야베스지역아동센터,전라남도 영광군 홍농읍 상하리 141
0,전라남도,영광군,느티나무지역아동센터,전라남도 영광군 묘량면 영양리 713-18
1,전라남도,영광군,불갑원광지역아동센터,전라남도 영광군 불갑면 안맹리 253-1
2,전라남도,영광군,영광군다문화가족지원센터,전라남도 영광군 영광읍 옥당로  147 2 (2층)영광군다문화가족지원센터
