,지역,시군구,기관,주소
0,전라남도,영암군,기획감사실,전라남도 영암군 영암읍 군청로 1
1,전라남도,영암군,도시개발과,전라남도 영암군 영암읍 군청로 1 영암군청 도시개발과
2,전라남도,영암군,문화관광과,전라남도 영암군 영암읍 군청로 1 영암군청
3,전라남도,영암군,문화시설사업소(도기박물관),전라남도 영암군 군서면 서호정길 5
4,전라남도,영암군,영암군청 산림축산과,전라남도 영암군 영암읍 군청로 1 .
5,전라남도,영암군,영암군청 투자경제과,전라남도 영암군 영암읍 군청로 1 영암군청
6,전라남도,영암군,영암도서관,전라남도 영암군 영암읍 교동로 89-5 영암도서관
7,전라남도,영암군,종합민원과,전라남도 영암군 영암읍 군청로 1 1
8,전라남도,영암군,테크노폴리스사업소,전라남도 영암군 삼호읍 대아로 37 테크노폴리스사업소
9,전라남도,영암군,환경보전과,전라남도 영암군 영암읍 군청로 1 영암군청 환경보전과
0,전라남도,영암군,미암면사무소,전라남도 영암군  미중로 39 미암면사무소
1,전라남도,영암군,민주평화통일자문회의,전라남도 영암군  군청로 1 영암군청 영암군청
2,전라남도,영암군,시종면사무소,전라남도 영암군  내동중앙로 41 시종면사무소
3,전라남도,영암군,안전건설과,전라남도 영암군  군청로 1 영암군청 건설방재과
4,전라남도,영암군,영암경찰서,전라남도 영암군 영암읍 남문로 19
5,전라남도,영암군,영암군농업기술센터,전라남도 영암군 덕진면 금호길 11(장선리 676-6)
6,전라남도,영암군,의회사무과,전라남도 영암군 군청로 1 영암군청 의회사무과
7,전라남도,영암군,재무과,전라남도 영암군  군청로 1 영암군청
8,전라남도,영암군,학산면사무소,전라남도 영암군  독천로 193-1 학산면사무소
9,전라남도,영암군,학산보건지소,전라남도 영암군 독천로 193-1 학산보건지소
0,전라남도,영암군,군서면사무소,전라남도 영암군 군서면 월곡리 744-2
1,전라남도,영암군,금정면사무소,전라남도 영암군 금정면 용두로 14
2,전라남도,영암군,도포면사무소,전라남도 영암군 도포면 구학리 412-3
3,전라남도,영암군,문화관광실,전라남도 영암군  군청로 1
4,전라남도,영암군,삼호읍사무소,전라남도 영암군  중앙촌길 32
5,전라남도,영암군,서호면사무소,전라남도 영암군  서호로 303
6,전라남도,영암군,신북면사무소,전라남도 영암군  간은정로 29
7,전라남도,영암군,여성가족과,전라남도 영암군  군청로 1 번지
8,전라남도,영암군,영암읍사무소,전라남도 영암군 영암읍 낭주로 133 영암읍사무소
9,전라남도,영암군,총무과,전라남도 영암군  군청로 1
0,전라남도,영암군,기업도시지원사업소,전라남도 영암군 삼호읍 중앙촌길 32 삼호읍 행정복지센터 3층
1,전라남도,영암군,덕진면사무소,전라남도 영암군 덕진면 예향로 1731 덕진면사무소
2,전라남도,영암군,문화시설사업소(왕인박사유적지),전라남도 영암군 군서면 왕인로 440
3,전라남도,영암군,영암교육지원청 Wee센터,전라남도 영암군 영암읍 월출로 84 2층 Wee센터
4,전라남도,영암군,영암군 드림스타트센터,전라남도 영암군 영암로 1511 청소년수련관
5,전라남도,영암군,영암군정보문화센터,전라남도 영암군 영암읍 정보문화센터 영암도서관
6,전라남도,영암군,영암군종합사회복지관,전라남도 영암군 영암읍 오리정길 37
7,전라남도,영암군,정보문화센터삼호도서관,전라남도 영암군 삼호읍 삼호중앙로 140 삼호도서관
8,전라남도,영암군,종합민원과,전라남도 영암군 군청로 1 영암군청 종합민원과
9,전라남도,영암군,홍보체육과,전라남도 영암군  군청로 1 번지
0,전라남도,영암군,수도사업소,전라남도 영암군  월출로 255
1,전라남도,영암군,여성가족과 청소년가족연계서비스사업,전라남도 영암군 영암읍 영암로 1511 청소년수련관 지하 1층
2,전라남도,영암군,영암군문화유적관리사업소,전라남도 영암군  왕인로 440 영암군 문화유적관리사업소(왕인박사유적지)
3,전라남도,영암군,영암군보건소,전라남도 영암군 영암읍 오리정길  39 영암군보건소
4,전라남도,영암군,영암군산림조합,전라남도 영암군 영암읍 중앙로 93 영암군산림조합
5,전라남도,영암군,월출산국립공원사무소,전라남도 영암군 영암읍 천황사로 280-43
6,전라남도,영암군,전라남도농업박물관,전라남도 영암군 녹색로 653-11 전라남도 농업박물관
7,전라남도,영암군,주민복지실,전라남도 영암군 영암읍 군청로 1 주민복지실
8,전라남도,영암군,주택관리공단영암용앙1휴먼시아,전라남도 영암군 삼호읍 삼호중앙로 214 1단지 관리사무소
9,전라남도,영암군,친환경농업과,전라남도 영암군 영암읍 군청로 1 친환경농업과
0,전라남도,영암군,LH행복꿈터우리마을지역아동센터,전라남도 영암군 삼호중앙로 222 용앙휴먼시아 203동 1
1,전라남도,영암군,근로자종합복지관,전라남도 영암군 삼호읍 방아제로 74 근로자종합복지관
2,전라남도,영암군,바다마을 작은도서관,전라남도 영암군 삼호읍 공항로 21 바다마을 작은도서관
3,전라남도,영암군,소림학교,전라남도 영암군 삼호읍 저두길 65-7 소림학교 행정실
