,지역,시군구,기관,주소
0,전라북도,순창군,구림면,전라북도 순창군 구림면 구림로 477-4 구림면사무소
1,전라북도,순창군,금과면,전라북도 순창군 금과면 매우1길 12-3
2,전라북도,순창군,복흥면,전라북도 순창군 복흥면 추령로 1159 복흥면사무소
3,전라북도,순창군,순창군관내,전라북도 순창군 순창읍 장류로 407-7
4,전라북도,순창군,순창군읍사무소,전라북도 순창군 순창읍 장류로 407-7
5,전라북도,순창군,순창군장류체험관,전라북도 순창군 순창읍 민속마을길 55
6,전라북도,순창군,순창군청,전라북도 순창군 순창읍 경천로 33
7,전라북도,순창군,쌍치면,전라북도 순창군 쌍치면 쌍계로 29-7
8,전라북도,순창군,팔덕면,전라북도 순창군 팔덕면 강천로 330
9,전라북도,순창군,풍산면,전라북도 순창군 풍산면 금풍로 1006-1
0,전라북도,순창군,강천산군립공원,전라북도 순창군 팔덕면 강천산길 75
1,전라북도,순창군,농촌체험 레일그린,전라북도 순창군 유등면 담순로 1548 농업기술센터
2,전라북도,순창군,동계면,전라북도 순창군 동계면 동계로 47 동계면사무소
3,전라북도,순창군,순창경찰서,전라북도 순창군 순창읍 장류로 311번지 순창경찰서 경무계
4,전라북도,순창군,순창군 보건의료원,전라북도 순창군 순창읍 교성로 135
5,전라북도,순창군,순창군 장류사업소 발효소스토굴,전라북도 순창군 순창읍 민속마을길 61 장류사업소 발효소스토굴
6,전라북도,순창군,순창군생활체육회,전라북도 순창군 순창읍 장류로 180
7,전라북도,순창군,유등면,전라북도 순창군 유등면 유등로 405
8,전라북도,순창군,인계면,전라북도 순창군 인계면 인덕로 227
9,전라북도,순창군,적성면,전라북도 순창군 적성면 적성로 135
0,전라북도,순창군,순창군공설운동장,전라북도 순창군 순창읍 장류로 180
1,전라북도,순창군,순창군노인전문요양원,전라북도 순창군 풍산면 풍산로 487-12
2,전라북도,순창군,순창군다문화가족지원센터,전라북도 순창군 순창읍 장류로 192 청소년 센터 3층
3,전라북도,순창군,순창군립도서관,전라북도 순창군 순창읍 순창5길 18 순창군립도서관
4,전라북도,순창군,순창군문화의집,전라북도 순창군 순창읍 장류로 407-11
5,전라북도,순창군,순창군자원봉사의집,전라북도 순창군 순창읍 순창1길 1-13
6,전라북도,순창군,순창군자원봉사종합센터,전라북도 순창군 순창읍 순창로 237
7,전라북도,순창군,순창읍,전라북도 순창군 장류로 407-7 순창읍사무소
8,전라북도,순창군,전라북도산림박물관,전라북도 순창군 복흥면 추령로 1777
9,전라북도,순창군,지체장애인협회순창군지회,전라북도 순창군 순창읍 장류로 407-11 실내체육관 내
0,전라북도,순창군,(사)국제발효식품산업진흥회,전라북도 전주시 덕진구 조경단로 65 2층
1,전라북도,순창군,고추장익는 마을,전라북도 순창군  산내길 38 전통테마체험장 고추장익는 마을
2,전라북도,순창군,구림작은도서관,전라북도 순창군 구림면 구림로 462 2층 구림작은도서관
3,전라북도,순창군,국제로타리3670지구 순창비젼로타리클럽,전라북도 순창군 순창읍 순창5길 29-1 2층 순창비젼로타리클럽
4,전라북도,순창군,순창군민속마을,전라북도 순창군 순창읍 민속마을길 5-13
5,전라북도,순창군,순창군실내체육관,전라북도 순창군 순창읍 장류로 407-11
6,전라북도,순창군,순창군장애인노인종합복지회관,전라북도 순창군 순창읍 순창5길 11-4
7,전라북도,순창군,순창군주민자치대학,전라북도 순창군 순창읍 장류로 407-11
8,전라북도,순창군,순창군청소년상담복지센터,전라북도 순창군 순창읍 장류로 180
9,전라북도,순창군,순창군향토회관,전라북도 순창군 순창읍 장류로 407-11
0,전라북도,순창군,꿈땅작은도서관,전라북도 순창군 쌍치면 운암길 59-18 꿈땅작은도서관
1,전라북도,순창군,순창은빛노인복지센터,전라북도 순창군 풍산면 풍산로 487-12
2,전라북도,순창군,아름다운이야기가있는집,전라북도 순창군 팔덕면 팔덕로 460-31
3,전라북도,순창군,옥천요양원,전라북도 순창군 순창읍 장류로 289-3
4,전라북도,순창군,전북서마교회,전라북도 순창군 복흥면 백방1길 83-14
5,전라북도,순창군,키다리아저씨 순창 후원회,전라북도 순창군 순창읍 장류로 366-6
