,지역,시군구,기관,주소
0,전라북도,익산시,동산동행정복지센터,전라북도 익산시 동천로 82
1,전라북도,익산시,마동행정복지센터,전라북도 익산시 중앙로25길 5
2,전라북도,익산시,성당면사무소,전라북도 익산시 성당면 황성로 727 성당면사무소
3,전라북도,익산시,오산면,전라북도 익산시 오산면 평동로 323 오산면사무소
4,전라북도,익산시,왕궁면사무소,전라북도 익산시 왕궁면 흥암1길 14 왕궁면사무소
5,전라북도,익산시,용동면사무소,전라북도 익산시 용동면 용동1길 80-31 용동면사무소
6,전라북도,익산시,용안면사무소,전라북도 익산시 용안면 용안교동1길 21
7,전라북도,익산시,전라북도익산교육지원청,전라북도 익산시 중앙로 127 전라북도익산교육지원청
8,전라북도,익산시,함라면사무소,전라북도 익산시 함라면 함라1길 65 함라면사무소
9,전라북도,익산시,함열읍사무소,전라북도 익산시 함열읍 함낭로 515 함열읍사무소
0,전라북도,익산시,남중동주민센터,전라북도 익산시  인북로56길 8 남중동
1,전라북도,익산시,삼성동주민센터,전라북도 익산시  부송로 125 삼성동주만센터
2,전라북도,익산시,송학동주민센터,전라북도 익산시  고현로 11 송학동주민센터
3,전라북도,익산시,여산면자치센터,전라북도 익산시 여산면 여산동촌1길 13-12 여산면자치센터
4,전라북도,익산시,영등2동주민센터,전라북도 익산시  무왕로13길 18 영등2동주민센터
5,전라북도,익산시,익산시 중앙동주민센터,전라북도 익산시  익산대로16길 47 중앙동주민센터
6,전라북도,익산시,익산시장애인가족지원인권센터,전라북도 익산시 고봉로5길 37 익산시장애인가족지원인권센터
7,전라북도,익산시,중앙체육공원,"전라북도 익산시  하나로 322 (어양동, 중앙체육공원)"
8,전라북도,익산시,춘포면사무소,전라북도 익산시 춘포면 춘포2길 11 춘포면사무소
9,전라북도,익산시,팔봉동주민센터,전라북도 익산시  무왕로 1408 팔봉동주민센터
0,전라북도,익산시,낭산면행정복지센터,전라북도 익산시 낭산면 함낭로 949 낭산면주민센터
1,전라북도,익산시,망성면행정복지센터,전라북도 익산시 망성면 안성로 726 망성면사무소
2,전라북도,익산시,삼기면행정복지센터,전라북도 익산시 삼기면 황금로 513 삼기면사무소
3,전라북도,익산시,신동주민센터,전라북도 익산시  인북로 353 신동주민센터
4,전라북도,익산시,웅포면사무소,전라북도 익산시 웅포면 강변로 9 웅포면사무소
5,전라북도,익산시,유적전시관,전라북도 익산시 왕궁면 궁성로 666 왕궁리유적전시관
6,전라북도,익산시,익산시청 시민안전과,전라북도 익산시 인북로32길 1 익산시청 시민안전과
7,전라북도,익산시,인화동주민센터,전라북도 익산시  인북로4길 38 인화동주민센터
8,전라북도,익산시,전라북도과학교육원,전라북도 익산시 선화로 836-2 전라북도과학교육원
9,전라북도,익산시,평화동주민센터,전라북도 익산시  익산대로4길 12 평화동주민센터
0,전라북도,익산시,금마면행정복지센터,전라북도 익산시 고도3길 3 금마면주민센터
1,전라북도,익산시,마한교육문화회관도서관,전라북도 익산시 고봉로 55
2,전라북도,익산시,어양동주민센터,전라북도 익산시 동서로63길 43 어양동주민센터
3,전라북도,익산시,익산시 배산체육공원,전라북도 익산시  동서로 21 배산체육공원
4,전라북도,익산시,익산시드림스타트,전라북도 익산시 동서로 476-21 익산시청소년수련관내 1층 익산시드림스타트
5,전라북도,익산시,익산시립도서관,전라북도 익산시 선화로6길 7
6,전라북도,익산시,익산시보건소,전라북도 익산시  무왕로 975 익산시보건소
7,전라북도,익산시,익산시여성회관,전라북도 익산시 인북로32길 32 익산시 여성회관
8,전라북도,익산시,전북서부보훈지청,전라북도 익산시 선화로1길 58-5 보훈과
9,전라북도,익산시,황등면사무소,전라북도 익산시 황등로 140-5 황등면사무소
0,전라북도,익산시,국민생활관,전라북도 익산시 선화로 255
1,전라북도,익산시,남부권노인종합복지관,전라북도 익산시 목천로 328 남부권노인종합복지관
2,전라북도,익산시,모현동행정복지센터,전라북도 익산시  선화로 133 모현동행정복지센터
3,전라북도,익산시,부송도서관,전라북도 익산시 무왕로25길 30 부송도서관
4,전라북도,익산시,왕도역사관,전라북도 익산시 왕궁면 궁성로 666 왕궁리유적전시관
5,전라북도,익산시,원광디지털대학교,전라북도 익산시 익산대로 460 원광대학교 원광디지털대학교
6,전라북도,익산시,익산문화관광재단,전라북도 익산시 서동로4길 37 (재)익산문화관광재단
7,전라북도,익산시,익산소방서,전라북도 익산시 무왕로 1338 익산소방서
8,전라북도,익산시,익산시청소년상담복지센터,전라북도 익산시 인북로 200 2층 익산시청소년상담복지센터
9,전라북도,익산시,익산시체육회,전라북도 익산시 무왕로 1397 익산공설운동장 내 익산체육회관 2층 총무기획과
0,전라북도,익산시,보석박물관,전라북도 익산시 왕궁면 호반로 8 보석박물관
1,전라북도,익산시,영등1동행정복지센터,전라북도 익산시  고봉로18길 34 영등1동주민센터
2,전라북도,익산시,원광대학교의과대학병원,전라북도 익산시 무왕로 895 원광대학병원 사회사업팀
3,전라북도,익산시,익산경찰서,전라북도 익산시 배산로 165-12 익산경찰서 익산경찰서 자원봉사담당
4,전라북도,익산시,익산시육아종합지원센터,전라북도 익산시 궁동로 43 익산시육아종합지원센터
5,전라북도,익산시,익산시치매상담센터,전라북도 익산시 무왕로 975 익산시치매상담센터
6,전라북도,익산시,익산시평생학습센터,전라북도 익산시 선화1로 99 1층 익산시평생학습관
7,전라북도,익산시,익산예술의전당,전라북도 익산시  동서로 490 익산예술의전당
8,전라북도,익산시,코레일전북본부,전라북도 익산시 익산대로 153 코레일전북본부 자원봉사 담당
9,전라북도,익산시,한마음주간보호실,전라북도 익산시 남중동 206-23
0,전라북도,익산시,(유)애린(참조은재가복지센터),전라북도 익산시 인북로14길 8 (유)애린 참조은재가복지센터
1,전라북도,익산시,봄나루작은도서관,전라북도 익산시 춘포2길 11 (춘포면춘포리 33-4)
2,전라북도,익산시,울림작은도서관,전라북도 익산시 무왕로26길 32 동아1차아파트 관리동 2층 울림작은도서관
3,전라북도,익산시,원광효도마을시니어클럽,전라북도 익산시 익산대로33길 75 시니어클럽
4,전라북도,익산시,익산시립마동도서관,전라북도 익산시 선화1로 99
5,전라북도,익산시,익산시장애인종합복지관,전라북도 익산시 인북로 21 익산시장애인종합복지관
6,전라북도,익산시,익산시청 도시공원과,전라북도 익산시 인북로32길 1 익산시청 도시공원과
7,전라북도,익산시,익산지역아동센터,전라북도 익산시 와리3길 14-1 익산지역아동센터
8,전라북도,익산시,정화수도원,전라북도 익산시 익산대로31길 78
