,지역,시군구,기관,주소
0,전라북도,장수군,계북면사무소,전라북도 장수군 계북면 장무로 961 계북면사무소
1,전라북도,장수군,무진장소방서,전라북도 장수군 장계면 육십령로 136 장계119안전센터
2,전라북도,장수군,민주평화통일자문회의장수군협의회,전라북도 장수군 장수읍 한누리로 393
3,전라북도,장수군,장수교육지원청 Wee센터,전라북도 장수군 장수읍 호비로 50 장수교육지원청 Wee센터
4,전라북도,장수군,장수군 드림스타트,전라북도 장수군 장수읍 호비로 10 장수군 드림스타트
5,전라북도,장수군,장수군문화체육관광사업소,전라북도 장수군 장수읍 한누리로 393
6,전라북도,장수군,장수군자원봉사종합센터,전라북도 장수군 군청길 25 특산물지원센터 2층
7,전라북도,장수군,장수군청 환경위생과,전라북도 장수군 장수읍 호비로 10 환경위생과
8,전라북도,장수군,장수노인전문요양원,전라북도 장수군 천천면 장천로 486-26 사회복지법인 삼동회
9,전라북도,장수군,장수보건복지센터,전라북도 장수군 장천로 400 장수보건복지센터
0,전라북도,장수군,(사)장수군장애인연합회,전라북도 장수군 장수읍 신천로 79 사회복지회관 101호
1,전라북도,장수군,(사)전북지체장애인협회장수군지회,전라북도 장수군 장수읍 방촌길 6 전북지체장애인협회 장수군지회
2,전라북도,장수군,번암작은도서관,전라북도 장수군 번암면 장수로 480 번암작은도서관
3,전라북도,장수군,새마을운동장수군지회,전라북도 장수군 장수읍 중동길 18 새마을회관 3층
4,전라북도,장수군,장수YMCA,전라북도 장수군 장수읍 교촌로 17
5,전라북도,장수군,장수군청소년문화의집,전라북도 장수군 장수읍 두산리 472
6,전라북도,장수군,장수군청소년상담복지센터,전라북도 장수군  한누리로 393 한누리전당 가람관3층 장수군청소년상담복지센터
7,전라북도,장수군,장수문화원,전라북도 장수군 장수읍 한누리로 393 장수문화원
8,전라북도,장수군,장수수양원,전라북도 장수군 논개로 214-71 장수수양원
9,전라북도,장수군,장수지역자활센터,전라북도 장수군 장수읍 시장로 27-9 장수지역자활센터
0,전라북도,장수군,(사)장수문화예술관,전라북도 장수군 계남면 장무로 168 (사)장수문화예술관
1,전라북도,장수군,(사)한국여성소비자연합장수군지부,전라북도 장수군 장수읍 군청길 25 한국여성소비자연합장수군지부 소비자고발센터
2,전라북도,장수군,1318해피존디딤돌,전라북도 장수군 장수읍 호비로 36 2층
3,전라북도,장수군,그향기작은도서관,전라북도 장수군 번암면 수척1길 9 충성교회 그향기작은도서관
4,전라북도,장수군,밀알노인복지센터,전라북도 장수군 교촌로 17 밀알노인복지센터
5,전라북도,장수군,번암느티나무생활문화복합공간,전라북도 장수군 번암면 상동1길 58
6,전라북도,장수군,벧엘장애인의집,전라북도 장수군 명덕양지길 106-1
7,전라북도,장수군,장수군수화통역센터,전라북도 장수군 장수읍 신천로 79 수화통역센터
