,지역,시군구,기관,주소
0,전라북도,정읍시,서부지방산림청 정읍국유림관리소,전라북도 정읍시 벚꽃로 564-20
1,전라북도,정읍시,신태인도서관,전라북도 정읍시 신태인중앙로 47 정읍시립 신태인도서관
2,전라북도,정읍시,온누리행복한집,전라북도 정읍시 입암면 정읍남로 493 온누리행복한집
3,전라북도,정읍시,정읍경찰서,전라북도 정읍시 중앙1길 157 정읍경찰서
4,전라북도,정읍시,정읍소방서,전라북도 정읍시 서부산업도로 507-5 정읍소방서
5,전라북도,정읍시,정읍시립박물관,전라북도 정읍시 내장산로 370-12
6,전라북도,정읍시,정읍시문화예술과,전라북도 정읍시 충정로 234 정읍시청 문화예술과
7,전라북도,정읍시,정읍시청 기획예산과,전라북도 정읍시  충정로 234 정읍시청 3층
8,전라북도,정읍시,정읍시청기획예산과,전라북도 정읍시 충정로 234 정읍시청 기획예산과
9,전라북도,정읍시,정읍연지유치원,전라북도 정읍시 명륜길 30 정읍연지유치원
0,전라북도,정읍시,기적의도서관,전라북도 정읍시 수성5로 45-5 기적의도서관
1,전라북도,정읍시,동학농민혁명기념재단,전라북도 정읍시 덕천면 동학로 742
2,전라북도,정읍시,실버작은도서관,전라북도 정읍시 금붕1길 190 실버작은도서관
3,전라북도,정읍시,전주기상지청(국립전북기상과학관),전라북도 정읍시 서부산업도로 168-43 국립전북기상과학관
4,전라북도,정읍시,정읍시립미술관,전라북도 정읍시 시기4길 46-7 시립미술관
5,전라북도,정읍시,정읍시립중앙도서관,전라북도 정읍시 벚꽃로 511 정읍시립중앙도서관
6,전라북도,정읍시,정읍시생활체육회,전라북도 정읍시 샘골로 108 정읍시생활체육회
7,전라북도,정읍시,정읍시청소년상담복지센터,전라북도 정읍시 상동중앙로 14
8,전라북도,정읍시,주택관리공단 정읍수성1,전라북도 정읍시 수성2로 13-18 주택관리공단 정읍수성1
9,전라북도,정읍시,책향기작은도서관,전라북도 정읍시 말고개길 69-3 책향기작은도서관
0,전라북도,정읍시,내장산국립공원사무소,전라북도 정읍시 내장산로 936 내장산사무소
1,전라북도,정읍시,상동작은도서관,전라북도 정읍시 학산로 97 우미관리동 2층
2,전라북도,정읍시,수성작은도서관,전라북도 정읍시 수성2로 13-11 관리동 2층
3,전라북도,정읍시,신태인청소년문화의집,전라북도 정읍시 신태인중앙로 45 신태인청소년문화의집
4,전라북도,정읍시,열린지역아동센터,전라북도 정읍시 충정로 173 열린지역아동센터
5,전라북도,정읍시,정읍시노인전문병원,전북 정읍시 금붕동 금붕1길160-15  정읍시노인전문병원
6,전라북도,정읍시,정읍시드림스타트센터,전라북도 정읍시 수성택지3길 28 정읍드림스타트
7,전라북도,정읍시,정읍시보건소건강증진과,전라북도 정읍시 수성1로 61 정읍시보건소
8,전라북도,정읍시,정읍시청소년문화체육관,전라북도 정읍시 상동중앙로 14
9,전라북도,정읍시,정읍시청소년성문화센터,전라북도 정읍시 정읍사로 547
0,전라북도,정읍시,늘푸른지역아동센터,전라북도 정읍시 씨교2길 7
1,전라북도,정읍시,다문화작은도서관,전라북도 정읍시 중앙2길 22
