,지역,시군구,기관,주소
0,충청남도,계룡시,(사)대한노인회계룡시지회,충청남도 계룡시  금암로 127 대한노인회계룡시지회 1층
1,충청남도,계룡시,(사)충남지체장애인협회 계룡시지회,충청남도 계룡시 계룡대로 325 씨티타워 6층
2,충청남도,계룡시,계룡대학습관,충청남도 계룡시 신도안면 신도안3길 72 계룡대학습관 건양대학교 계룡대학습관
3,충청남도,계룡시,계룡시드림스타트센터,충청남도 계룡시 엄사면 번영로 40 2층 드림스타트센터
4,충청남도,계룡시,계룡시체육회,충청남도 계룡시 엄사면 계백로 2967 계룡종합운동장 내 계룡시체육회
5,충청남도,계룡시,금암거점(계룡시자원봉사센터),"충청남도 계룡시 서금암3길 7 101호, 자원봉사 거점센터"
6,충청남도,계룡시,무공수훈자회,충청남도 계룡시 엄사면 번영로 73-11 보훈회관2층
7,충청남도,계룡시,시립드림지역아동센터,충청남도 계룡시 엄사면 번영로 40 2층 드림지역아동센터
8,충청남도,계룡시,엄사거점(계룡시자원봉사센터),충청남도 계룡시 엄사면 번영로 47 엄사면사무소 거점센터
9,충청남도,계룡시,자연체험연구소,충청남도 계룡시 엄사면 평리길 8-4 자연체험연구소
0,충청남도,계룡시,계룡노인전문요양원,충청남도 계룡시 엄사면 번영로 14 3층
1,충청남도,계룡시,계룡시자율방범연합대,충청남도 계룡시 엄사면 양정향한길 12 2층
2,충청남도,계룡시,계룡효센터,충청남도 계룡시 두마면 대둔로 1380-49
3,충청남도,계룡시,부모사랑주야간보호센터,충청남도 계룡시 서금암로 17 은혜로빌딩 503호 부모사랑주야간보호센터
4,충청남도,계룡시,세움공동체,충청남도 계룡시 엄사면 번영8길 15-2 세움공동체
5,충청남도,계룡시,시온요양원,충청남도 계룡시 엄사면 전원로 85 시온실버홈
6,충청남도,계룡시,연정어린이집,충청남도 계룡시 엄사면 번영7길 21 연정어린이집
7,충청남도,계룡시,은빛요양원,충청남도 계룡시 엄사면 엄사중앙로 30 501호
8,충청남도,계룡시,천사요양원,충청남도 계룡시 엄사면 엄사중앙로 30 301호
9,충청남도,계룡시,한국예총 계룡지회,충청남도 계룡시  번영로 55 한국예총 계룡지회
0,충청남도,계룡시,계룡쌈채피망정보화마을,충청남도 계룡시 엄사면 광석향한길 43-8 쌈채피망정보화마을
1,충청남도,계룡시,계룡장애인단기보호센터,충청남도 계룡시 엄사면 연화동길 16 계룡장애인단기보호센터
2,충청남도,계룡시,꽃청춘재가노인복지센터,충청남도 계룡시 엄사면 엄사중앙로 110 5층 꽃청춘재가노인복지센터
3,충청남도,계룡시,늘평안요양원,충청남도 계룡시 엄사면 번영8길 8-11 2층
4,충청남도,계룡시,충남장애인부모회계룡지회,충청남도 계룡시  계룡대로 325 씨티타워6층 아동발달지원센터
5,충청남도,계룡시,햇살어린이집,충청남도 계룡시 엄사면 전원로 62-7 햇살어린이집
