,지역,시군구,기관,주소
0,충청남도,보령시,남포면거점센터,충청남도 보령시 남포면 충서로 1839-20 남포면사무소
1,충청남도,보령시,대천1동주민센터,충청남도 보령시  대천로 35 대천1동 주민센터
2,충청남도,보령시,미산면사무소,충청남도 보령시 미산면 내평봉성길 5
3,충청남도,보령시,보령시 종합사회복지관,충청남도 보령시 천변북길 121 보령시 종합사회복지관 사무실
4,충청남도,보령시,보령시립도서관,충청남도 보령시 천변북길 121
5,충청남도,보령시,보령시죽정도서관,충청남도 보령시 체육관길 17 죽정도서관
6,충청남도,보령시,보령종합경기장. 보령종합체육관.,충청남도 보령시 남포면 보령남로 339 보령종합체육관
7,충청남도,보령시,오천면자원봉사거점센터,충청남도 보령시 오천면 충청수영로 826
8,충청남도,보령시,청소면거점센터,충청남도 보령시 청소면 청소큰길 167 0
9,충청남도,보령시,충청남도 보령시 안전총괄과,"충청남도 보령시 성주산로 77 명천동, 보령시청"
0,충청남도,보령시,고용노동부보령지청 보령고용센터,충청남도 보령시 보령남로 28 2층
1,충청남도,보령시,대천2동거점센터,충청남도 보령시 중앙로 142-16
2,충청남도,보령시,대천5동 거점센터,충청남도 보령시 대천항로 204 주민자치센터
3,충청남도,보령시,문화의전당 박물관 작은도서관,충청남도 보령시 대흥로 63 문화의전당 박물관작은도서관
4,충청남도,보령시,보령웅천도서관,충청남도 보령시 웅천읍 방축길 90-39 보령웅천도서관
5,충청남도,보령시,성주산자연휴양림,충청남도 보령시 성주산로 77 보령시청 산림공원과
6,충청남도,보령시,주포면사무소,충청남도 보령시 주포면 질재로 47-10 주포면사무소
7,충청남도,보령시,천북면거점센터,충청남도 보령시 천북면 홍보로 462
8,충청남도,보령시,청라면거점센터,충청남도 보령시 청라면 원모루길 223
9,충청남도,보령시,충청남도보령교육지원청 보령도서관,충청남도 보령시 보령남로 27 (명천동)
0,충청남도,보령시,대천3동거점센터,충청남도 보령시  대청로 167 대천3동사무소
1,충청남도,보령시,드림스타트센터,충청남도 보령시 천변북길 121
2,충청남도,보령시,보령교육지원청,충청남도 보령시  보령북로 169 보령교육지원청
3,충청남도,보령시,보령교육지원청wee센터,충청남도 보령시 보령북로 169 보령교육지원청
4,충청남도,보령시,보령문화의전당,충청남도 보령시  대흥로 63 보령문화의전당
5,충청남도,보령시,보령시시설관리공단,충청남도 보령시  대천방조제로 322 보령시시설관리공단
6,충청남도,보령시,성주면 자원봉사 거점 센터,충청남도 보령시 성주면 심원계곡로 6-7 성주면사무소 자원봉사 거점센터
7,충청남도,보령시,웅천읍거점센터,충청남도 보령시 웅천읍 장터중앙길 88 웅천읍사무소 웅천읍사무소
8,충청남도,보령시,주교면거점센터,충청남도 보령시 주교면 울계큰길 396 주교면사무소
9,충청남도,보령시,주산면자원봉사거점센터,충청남도 보령시 주산면 충서로 398 6
0,충청남도,보령시,대천4동거점센터,충청남도 보령시 보령남로 49 대천4동주민자치센터
1,충청남도,보령시,대천항작은도서관,충청남도 보령시 대천항로 370 신흑7통 마을회관
2,충청남도,보령시,명천종합사회복지관,충청남도 보령시 주공로 50 명천종합사회복지관
3,충청남도,보령시,보령문화예술회관,충청남도 보령시 성주산로 101 보령문화예술회관
4,충청남도,보령시,보령시보건소,충청남도 보령시 보령남로 234
5,충청남도,보령시,보령시청소년문화의집,충청남도 보령시 문화원길 9 청소년문화의집
6,충청남도,보령시,보령시청소년방과후아카데미,충청남도 보령시 성주면 성주산로 500
7,충청남도,보령시,보령시청소년상담복지센터,충청남도 보령시 문화원길 9 보령시청소년문화의집 3층
8,충청남도,보령시,오천작은도서관,충청남도 보령시  충청수영로 838 오천 작은도서관
9,충청남도,보령시,청소년수련관,충청남도 보령시 성주산로 500
0,충청남도,보령시,대한노인회보령시지회,충청남도 보령시 천변북길 119
1,충청남도,보령시,보령시립노인전문병원,충청남도 보령시 질재로 373
2,충청남도,보령시,보령시청소년자원봉사센터,충청남도 보령시 문화원길 9 청소년문화의집
3,충청남도,보령시,보령시청소년지원센터,충청남도 보령시  문화원길  9 보령시청소년문화의집 3층
4,충청남도,보령시,보령정심학교,충남 보령시 주교면 관창리 산14
5,충청남도,보령시,보령종합터미널,충청남도 보령시  터미널길  8 보령종합터미널 관리사무소 122호
6,충청남도,보령시,비젼스쿨지역아동센터,충청남도 보령시 보령남로 40 비젼스쿨지역아동센터2층
7,충청남도,보령시,사회적협동조합다물,충청남도 보령시 소미2길 19
8,충청남도,보령시,석탄박물관,충청남도 보령시 성주산로 508
9,충청남도,보령시,소비자교육중앙회보령시지회,충청남도 보령시 천변북길 121 종합사회복지관2층
0,충청남도,보령시,금빛주야간보호센터,충청남도 보령시 청라면 백현장산길 2 금빛주야간보호센터
1,충청남도,보령시,모산조형미술관,충청남도 보령시 성주면 성주산로 673-24 모산조형미술관
2,충청남도,보령시,보령시건강가정다문화가족지원센터,충청남도 보령시 중앙로 15 인승빌딩종합메디컬센터
3,충청남도,보령시,보령시적십자인명구조대,충청남도 보령시  보령북로  59 보령시적십자봉사관
4,충청남도,보령시,보령시청소년유해환경감시단,충청남도 보령시  문화원길  9 보령시청소년문화의집 3층
5,충청남도,보령시,보령엘피스병원,충청남도 보령시 옥마로 277 보령엘피스병원
6,충청남도,보령시,보령통합요양병원,충청남도 보령시 남대천로 14 원무과
7,충청남도,보령시,열린지역아동센터,충청남도 보령시 희망2길 39 2층
8,충청남도,보령시,옥토지역아동센터,충청남도 보령시 고잠2길 1-31 산호아파트 상가 2층
9,충청남도,보령시,중앙시장상인회,충청남도 보령시  중앙시장2길 9 2층
0,충청남도,보령시,다니엘지역아동센터,충청남도 보령시  원평2길 15 다니엘지역아동센터
1,충청남도,보령시,대천요양원,충청남도 보령시 성주면 성주산로 367 대천요양원
2,충청남도,보령시,대한민국특수임무유공자회보령시지회,충청남도 보령시  보령북로 107
3,충청남도,보령시,보령꿈꾸는숲지역아동센터,충청남도 보령시 주포면 보령읍성길 86 보령꿈꾸는숲지역아동센터
4,충청남도,보령시,보령시사랑의열매나눔봉사단,충청남도 보령시  궁촌2길 19
5,충청남도,보령시,보령아산병원,충청남도 보령시  죽성로 136 보령아산병원
6,충청남도,보령시,소화데레사의집,충청남도 보령시  대량비선재길 65-69 참사랑요양원 소화데레사의집
7,충청남도,보령시,아이맘아동청소년발달센터,"충청남도 보령시 한내로터리길 78-30 이레빌딩 1, 2층"
8,충청남도,보령시,한국해양구조협회보령구조대,충청남도 보령시 작은오랏4길 12 명지어린이집
9,충청남도,보령시,행복한집,충청남도 보령시 남포면 봉덕2길 14 행복한집
0,충청남도,보령시,보령시유기견보호소,충청남도 보령시 녹문3길 7 보령시유기견보호소
1,충청남도,보령시,보령시장애인보호작업장,충청남도 보령시 양지뜸길 5
2,충청남도,보령시,보령시특전동지회,충청남도 보령시 대천로 42 1층
3,충청남도,보령시,사랑실은교통봉사대보령지대,충청남도 보령시 신설5길 20
4,충청남도,보령시,우리문화예술체험학교,충청남도 보령시 남포면 원제길 37
5,충청남도,보령시,희망꿈작은도서관,충청남도 보령시 지장골길 37 죽정주공@106동1층
