,지역,시군구,기관,주소
0,충청남도,아산시,송악면자원봉사거점센터,충청남도 아산시 송악면 송악로 790
1,충청남도,아산시,신리초등학교,충청남도 아산시 모종로 73-13
2,충청남도,아산시,신창면사무소,충청남도 아산시 신창면 서부북로 631
3,충청남도,아산시,아산소방서,충청남도 아산시 문화로 293 아산소방서
4,충청남도,아산시,아산시공동체지원센터,충청남도 아산시 번영로86번길 27-3 아산어울림경제센터 2층
5,충청남도,아산시,아산시중앙도서관,충청남도 아산시 남부로 229 아산시중앙도서관
6,충청남도,아산시,영인면자원봉사거점센터,충청남도 아산시 영인면 영인로 78
7,충청남도,아산시,온양4동자원봉사거점센터,충청남도 아산시 실옥로 220
8,충청남도,아산시,탕정면자원봉사거점센터,충청남도 아산시 탕정면 탕정면로 36
9,충청남도,아산시,탕정미래초등학교,충청남도 아산시 탕정면 탕정면로 54-15
0,충청남도,아산시,배방유치원,충청남도 아산시 배방읍 북수로25번길 10
1,충청남도,아산시,순천향대학교,충청남도 아산시 신창면 순천향로 22 향설나눔대학 사회봉사센터
2,충청남도,아산시,아산남성초등학교,충청남도 아산시 신창면 남성길 152-64
3,충청남도,아산시,아산성심학교,충청남도 아산시 선장면 아산만로 368 아산성심학교
4,충청남도,아산시,아산시여성회관,충청남도 아산시 남부로 92
5,충청남도,아산시,연화초등학교,충청남도 아산시 배방읍 연화로 43
6,충청남도,아산시,염작초등학교,충청남도 아산시 둔포면 아산밸리동로 247 염작초등학교
7,충청남도,아산시,온양천도초등학교,충청남도 아산시 실옥로 45
8,충청남도,아산시,유원대학교 아산캠퍼스,충청남도 아산시 음봉면 연암산로 52-70 유원대학교
9,충청남도,아산시,음봉보건지소,충청남도 아산시 음봉면 음봉면로 23-4
0,충청남도,아산시,국공립탕정어린이집,충청남도 아산시 탕정면 탕정면로40번길 12
1,충청남도,아산시,배방건강생활센터,충청남도 아산시 배방읍 용연동길 50
2,충청남도,아산시,아산경찰서,충청남도 아산시 남부로 370-15
3,충청남도,아산시,아산시드림스타트,충청남도 아산시 시장길 29 시민문화복지센터 3층
4,충청남도,아산시,아산시자원봉사센터,충청남도 아산시 시민로329번길 101 아산시자원봉사센터
5,충청남도,아산시,아산초등학교,충청남도 아산시 남부로 266
6,충청남도,아산시,용화초등학교,충청남도 아산시 시민로258번길 3-8
7,충청남도,아산시,음봉면자원봉사거점센터,충청남도 아산시 음봉면 음봉면로 23-5
8,충청남도,아산시,탕정주민자치센터,충청남도 아산시 탕정면 탕정면로339번길 37 탕정면사무소 3층
9,충청남도,아산시,호서대학교Caritas봉사센터,충청남도 아산시 배방읍 호서로79번길 20 학생회관 305호
0,충청남도,아산시,고불맹사성기념관,충청남도 아산시 배방읍 행단길 22 고불맹사성기념관
1,충청남도,아산시,국공립풍기이지더원어린이집,충청남도 아산시 어의정로 184 의무동
2,충청남도,아산시,국공립한라비발디어린이집,충청남도 아산시 배방읍 배방로 131
3,충청남도,아산시,도고면자원봉사거점센터,충청남도 아산시 도고면 도고면로 91
4,충청남도,아산시,선문대학교(사회봉사센터),충청남도 아산시 탕정면 선문로221번길 70
5,충청남도,아산시,신창면자원봉사거점센터,충청남도 아산시 신창면 서부북로 631
6,충청남도,아산시,염치읍자원봉사거점센터,충청남도 아산시 염치읍 염치로 37
7,충청남도,아산시,온양온천초등학교,충청남도 아산시 청운로 90
8,충청남도,아산시,온양중앙초등학교,충청남도 아산시 중앙로 17
9,충청남도,아산시,탕정보건지소,충청남도 아산시 탕정면 탕정면로 36
0,충청남도,아산시,경찰대학,충청남도 아산시 신창면 황산길 100-50 경찰대학 도서관
1,충청남도,아산시,둔포면자원봉사거점센터,충청남도 아산시 둔포면로 33
2,충청남도,아산시,문화재청 현충사관리소,충청남도 아산시 염치읍 현충사길 126
3,충청남도,아산시,배방도서관,충청남도 아산시 배방읍 모산로 140-12
4,충청남도,아산시,신창보건지소,충청남도 아산시 신창면 서부북로 631 신창보건지소
5,충청남도,아산시,쌍용보건진료소,충청남도 아산시 음봉면 연암율금로 489 쌍용보건진료소
6,충청남도,아산시,아산시시설관리공단,충청남도 아산시 배미로 154
7,충청남도,아산시,온양3동자원봉사거점센터,충청남도 아산시 삼동로40번길 15
8,충청남도,아산시,온양온천역자원봉사거점센터,충청남도 아산시 온중로 6 101동 401호
9,충청남도,아산시,탕정온샘도서관,충청남도 아산시 탕정면 한내로 209
0,충청남도,아산시,배방읍자원봉사거점센터,충청남도 아산시 배방읍 배방로 38 배방읍행정복지센터
1,충청남도,아산시,선장보건지소,충청남도 아산시 선장면 선장로 137
2,충청남도,아산시,아산시보건소,충청남도 아산시 번영로224번길 20
3,충청남도,아산시,아산시생태곤충원,충청남도 아산시 실옥로 216
4,충청남도,아산시,아산외암리민속마을관리소,충청남도 아산시 송악면 강당로 25 외암민속마을관리소
5,충청남도,아산시,아산장영실과학관,충청남도 아산시 실옥로 220
6,충청남도,아산시,영인보건지소,충청남도 아산시 영인면 영인로 78
7,충청남도,아산시,영인산자연휴양림,충청남도 아산시 영인면 아산온천로 16-26
8,충청남도,아산시,온양5동자원봉사거점센터,충청남도 아산시 시민로 286
9,충청남도,아산시,온양6동자원봉사거점센터,충청남도 아산시 외암로 1330
0,충청남도,아산시,국공립배방한성필어린이집,충청남도 아산시 배방읍 모산로 51 의무동
1,충청남도,아산시,시각장애인협회아산지회,충청남도 아산시 실옥동 181-15
2,충청남도,아산시,아산시립송곡도서관,충청남도 아산시 염치읍 송곡남길 82-4
3,충청남도,아산시,아산시보건소정신보건센터,충청남도 아산시 번영로224번길 20 정신보건센터
4,충청남도,아산시,아산시청소년교육문화센터,충청남도 아산시 시민로 500 아산시청소년교육문화센터
5,충청남도,아산시,온양1동자원봉사거점센터,충청남도 아산시 번영로 77
6,충청남도,아산시,우리집주간보호센터,충청남도 아산시 시민로 225-9
7,충청남도,아산시,캐슬어울림3단지어린이집,충청남도 아산시 모종남로22번길 11
8,충청남도,아산시,한국노총아산지부작은도서관,충청남도 아산시 남산로 10 아산시근로자종합복지관
9,충청남도,아산시,행복노인복지센터,충청남도 아산시 둔포면 충무로 1299
0,충청남도,아산시,LH행복꿈터용연지역아동센터,충청남도 아산시 배방읍 용연로 36 103동 1층
1,충청남도,아산시,그리고작은도서관,충청남도 아산시 음봉면 음봉로401번길 6
2,충청남도,아산시,농촌애협동조합,충청남도 아산시 도고면 아산만로 199-5 농촌애협동조합
3,충청남도,아산시,삼성디스플레이심폐소생술교육센터,충청남도 아산시 탕정면 삼성로 181
4,충청남도,아산시,아산농민재단,충청남도 아산시 음봉면 충무로676번길 38
5,충청남도,아산시,아산상록회,충청남도 아산시 온여고길 32
6,충청남도,아산시,아산장애인단체연합회,충청남도 아산시 시민로457번길 31 동우빌딩 2층
7,충청남도,아산시,아산제터먹이사회적협동조합,충청남도 아산시 음봉면 아산온천로 460-25
