,지역,시군구,기관,주소
0,충청북도,단양군,다누리센터 관리사업소,충청북도 단양군 단양읍 수변로 111 다누리센터 관리사업소
1,충청북도,단양군,단성면사무소,충청북도 단양군 단성면 충혼로 16 단성면사무소
2,충청북도,단양군,단양군다누리센터관리사업소,충청북도 단양군 단양읍 수변로 111 다누리센터관리사업소
3,충청북도,단양군,단양군생활체육회,충청북도 단양군 단양읍 군청로 84-8 국민체육센터내
4,충청북도,단양군,단양군청,충청북도 단양군 단양읍 별곡리 300
5,충청북도,단양군,단양군청소년상담복지센터,충청북도 단양군 단양읍 삼봉로 187-18 대명청소년수련관 2층
6,충청북도,단양군,단양군청소년지원센터,충북 단양군 단양읍 상진리 4-10
7,충청북도,단양군,단양군평생학습센터,충청북도 단양군 단양읍 중앙1로 32 평생학습센터
8,충청북도,단양군,단양취업지원센터,충청북도 단양군 단양읍 별곡12길 5
9,충청북도,단양군,매포읍사무소,충청북도 단양군 매포읍 평동14길 12
0,충청북도,단양군,단양경찰서,충청북도 단양군 단양읍 별곡리 302
1,충청북도,단양군,단양군보건소,충청북도 단양군 단양읍 삼봉로 53
2,충청북도,단양군,단양군청생활복지여성과드림스타트센터,충북 단양군 단양읍 상진리 4-10 (삼봉로 187-18) 드림스타트센터
3,충청북도,단양군,단양노인장애인복지관,충청북도 단양군 단양읍 별곡5길 5 단양노인장애인복지관
4,충청북도,단양군,단양읍주민자치센터,충청북도 단양군 단양읍 중앙1로 35
5,충청북도,단양군,단양청소년수련관,충청북도 단양군 단양읍 삼봉로 187-18
6,충청북도,단양군,소백산북부관리사무소,충청북도 단양군 가곡면 남한강로 494 소백산국립공원북부사무소
7,충청북도,단양군,영춘파출소,충청북도 단양군 영춘면 411
8,충청북도,단양군,제천소방서단양119안전센터,충청북도 단양군 단양읍 삼봉로 421-56
9,충청북도,단양군,카리스요양원,충청북도 단양군 매포읍 단양로 1854 카리스요양원
0,충청북도,단양군,다문화가족지원센터,충청북도 단양군 단양읍 별곡12길 5
1,충청북도,단양군,단양교육도서관,충청북도 단양군 단양읍 상진12길 18
2,충청북도,단양군,단양군노인요양전문병원,충청북도 단양군 단양읍 309번지 단양군노인요양전문병원
3,충청북도,단양군,단양군취업정보센터,충청북도 단양군 단양읍 별곡리 639-1
4,충청북도,단양군,단양노인보금자리(재가노인복지시설),충청북도 단양군 단양읍 상진1길 6-5 단양노인보금자리
5,충청북도,단양군,단양노인전문요양원-행복동,충청북도 단양군 단양읍 상진1길 37 행복동
