,지역,시군구,기관,주소
0,충청북도,옥천군,옥천경찰서,충청북도 옥천군 옥천읍 금구리 옥천경찰서
1,충청북도,옥천군,옥천군생활체육회,충청북도 옥천군 옥천읍 관성로 53번지 옥천체육센터 내 옥천군생활체육회
2,충청북도,옥천군,옥천군자원봉사센터,충북 옥천군 옥천읍 문정리 다목적회관 3층 자원봉사센터
3,충청북도,옥천군,옥천군정신건강증진센터,충청북도 옥천군 관성로 53 옥천체육센터  2층
4,충청북도,옥천군,옥천군청,충청북도 옥천군 옥천읍 중앙로 99
5,충청북도,옥천군,옥천군체육회,충청북도 옥천군 관성로 53
6,충청북도,옥천군,옥천도서관,충청북도 옥천군 관성로3길 7 옥천 도서관
7,충청북도,옥천군,옥천사랑복지센터,충북 옥천군 옥천읍 금구리 44번지
8,충청북도,옥천군,의료법인건우의료재단큰사랑요양병원,충청북도 옥천군 옥천읍 금구리 1-3
9,충청북도,옥천군,청소년방과후아카데미지용학당,충청북도 옥천군 동부로 39 청소년수련관 2층
0,충청북도,옥천군,수생식물학습원,충청북도 옥천군 군북면 방아실길 248 .
1,충청북도,옥천군,안남배바우공동체,충청북도 옥천군 안남면 안남로 509 .
2,충청북도,옥천군,안터마을,충청북도 옥천군 동이면 안터2길 4 .
3,충청북도,옥천군,옥천군다문화가족지원센터,충청북도 옥천군 옥천읍 문정리 439번지 다목적회관 2층
4,충청북도,옥천군,옥천군보건소,충청북도 옥천군 삼양로8길 10 옥천군보건소
5,충청북도,옥천군,옥천군생활체육회,충청북도 옥천군 옥천읍 문정리 385-4
6,충청북도,옥천군,옥천군청소년상담복지센터,충청북도 옥천군 옥천읍 문정리 424-1
7,충청북도,옥천군,청산원,충청북도 옥천군 옥천읍 삼청3길 48 .
8,충청북도,옥천군,청소년수련관,충청북도 옥천군 옥천읍 문정리 424-1
9,충청북도,옥천군,향수뜰영농조합법인,충청북도 옥천군 군북면 비야대정로 739 향수뜰
0,충청북도,옥천군,구세군옥천도서관,충청북도 옥천군 옥천읍 금장로 101-2
1,충청북도,옥천군,뉴참조은요양원,충청북도 옥천군 옥천읍 삼양로 29 참조은요양병원
2,충청북도,옥천군,둥지노인전문요양원,충청북도 옥천군 이백길 103
3,충청북도,옥천군,명지원,충청북도 옥천군 옥천읍 문정리 445번지
4,충청북도,옥천군,민들레요양원,충청북도 옥천군 비야대정로 282-24 .
5,충청북도,옥천군,영생원,충청북도 옥천군 삼청3길 34
6,충청북도,옥천군,옥천군여성단체협의회,충북 옥천군 옥천읍 문정리 439 여성회관
7,충청북도,옥천군,이원지역아동센터,충청북도 옥천군 이원면 신흥5길 21-41 .
8,충청북도,옥천군,장령산힐링캠프,충청북도 옥천군 군서면 장령산로 485 .
9,충청북도,옥천군,중앙노인요양원,충청북도 옥천군 중앙로 17-22 학원 .
0,충청북도,옥천군,굿모닝 주.야간보호센타,충청북도 옥천군 옥천읍 옥각1길 15-6
1,충청북도,옥천군,부활원,충북 옥천군 군북면 이백리 6길 109번지
2,충청북도,옥천군,성모실버케어,충청북도 옥천군 옥천읍 향수2길 21-8 성모실버케어
3,충청북도,옥천군,실로암노인전문요양원,충북 옥천군 동이면 세산리 5길 14-57
4,충청북도,옥천군,안내면사무소,충청북도 옥천군 안내면 현리 123
5,충청북도,옥천군,옥천수북요양원,충청북도 옥천군 옥천읍 지용로 207 수북노인요양원
6,충청북도,옥천군,옥천지역아동센터,충청북도 옥천군 성암1길 41
7,충청북도,옥천군,장령산힐링캠프,충청북도 옥천군 군서면 장령산로 485 .
8,충청북도,옥천군,청산원,충청북도 옥천군 옥천읍 삼청3길 48 청산원
9,충청북도,옥천군,청성면사무소,충청북도 옥천군 청성면 산계리 225
0,충청북도,옥천군,도담노인요양원,충북 옥천군 옥천읍 삼청리 521-3번지
1,충청북도,옥천군,보금자리노인전문요양원,충북 옥천군 옥천읍 매화리 285-6
2,충청북도,옥천군,새사람공동체,충청북도 옥천군 군북면 자모리 111
3,충청북도,옥천군,옥천꽃동네성모노인요양원,충청북도 옥천군 옥천읍 매화리 99번지
4,충청북도,옥천군,옥천노인장애인복지관,충북 옥천군 옥천읍 삼양리 .
5,충청북도,옥천군,장용산실버촌,충북 옥천군 군서면 금산리 21-79
6,충청북도,옥천군,충북남부아동보호전문기관,충청북도 옥천군 옥천읍 문정리 445
7,충청북도,옥천군,충북지체장애인협회옥천군지회,충북 옥천군 옥천읍 삼양리
8,충청북도,옥천군,큰사랑요양병원,충북 옥천군 옥천읍 금구1리 1-3
9,충청북도,옥천군,행복한집,충청북도 옥천군 옥천읍 동이면적하리672
0,충청북도,옥천군,경희요양병원,충청북도 옥천군 옥천읍 삼양리 197-17번지
1,충청북도,옥천군,새봄노인전문요양원,충북 옥천군 동이면 평산리 1204번지
2,충청북도,옥천군,선유원,충청북도 옥천군 이원면 개심리 266-2번지
