,지역,시군구,기관,주소
0,충청북도,청주시,서원구청 건설교통과,"충청북도 청주시 서원구 사직대로 227 (사직동,서원구청)"
1,충청북도,청주시,서원구청 환경위생과,충청북도 청주시 서원구 사직대로 227 서원구청 3층 환경위생과
2,충청북도,청주시,오송생명과학단지보건지소,충청북도 청주시 흥덕구 오송읍 오송생명3로 67 오송생명과학단지보건지소
3,충청북도,청주시,청원구청 환경위생과,충청북도 청주시 청원구 직지대로 871 청원구청 환경위생과
4,충청북도,청주시,청주가정법률상담소,충청북도 청주시 상당구 상당로158번길 5 104호
5,충청북도,청주시,청주교육지원청 학생특수교육지원센터(Wee센터),충청북도 청주시 서원구 무심서로 485 청주교육지원청 별관 3층 wee센터
6,충청북도,청주시,청주랜드관리사업소 청주동물원,"충청북도 청주시 상당구 명암로 171 명암동, 청주랜드 청주동물원"
7,충청북도,청주시,청주시청 교통정책과,충청북도 청주시 상당구 상당로 155 청주시청 교통정책과
8,충청북도,청주시,청주시청 여성청소년과,충청북도 청주시 상당구 사북로 164 4층
9,충청북도,청주시,충청북도진로교육원,충청북도 청주시 상당구 대성로180번길 3 충북진로교육원
0,충청북도,청주시,가덕면사무소,충청북도 청주시 상당구 가덕면 보청대로 4646
1,충청북도,청주시,남일면사무소,충청북도 청주시 상당구 남일면 단재로 501
2,충청북도,청주시,미원면사무소,충청북도 청주시 상당구 미원면 단재로 2472 미원면사무소
3,충청북도,청주시,분평동주민센터,충청북도 청주시 서원구 분평로 35 분평동주민센터
4,충청북도,청주시,상당보건소용암보건지소,충청북도 청주시 상당구  용암북로160번길 17 용암보건지소
5,충청북도,청주시,오송읍사무소,충청북도 청주시 흥덕구 오송읍 가로수로 174
6,충청북도,청주시,옥산면사무소,충청북도 청주시 흥덕구 옥산면 옥산시내1길 43 옥산면사무소
7,충청북도,청주시,청주상당경찰서,충청북도 청주시 상당구  목련로 266 청주시 상당경찰서
8,충청북도,청주시,청주시청 드림스타트,충청북도 청주시 서원구 무심서로 333 청주시아동복지관
9,충청북도,청주시,충북지방경찰청 사이버범죄수사대,충청북도 청주시 청원구  2순환로 168 충북지방경찰청 사이버범죄수사대
0,충청북도,청주시,낭성면사무소,충청북도 청주시 상당구 낭성면 낭성시내길 21 낭성면사무소
1,충청북도,청주시,내수읍사무소,충청북도 청주시 청원구 내수읍 마산3길 49 내수읍사무소 행정팀
2,충청북도,청주시,식품의약품안전처 식생활영양안전정책과,충청북도 청주시 흥덕구 오송읍 오송생명2로 187
3,충청북도,청주시,식품의약품안전처 의약품안전국 의약품관리과,충청북도 청주시 흥덕구 오송생명2로 187 식품의약품안전처 의약품관리총괄과
4,충청북도,청주시,청주시상당보건소,충청북도 청주시 상당구 남일면 단재로 480 상당보건소
5,충청북도,청주시,청주시청 대중교통과,충청북도 청주시 상당구  상당로 155 청석빌딩 3층 대중교통과
6,충청북도,청주시,청주신율봉도서관,충청북도 청주시 흥덕구  신율로153번길 16 청주신율봉어린이도서관
7,충청북도,청주시,청주흥덕도서관,충청북도 청주시 흥덕구  증안로90번길 34 청주흥덕도서관
8,충청북도,청주시,충북남부보훈지청,충청북도 청주시 서원구  1순환로 1047 충북남부보훈지청
9,충청북도,청주시,현도면사무소,충청북도 청주시 서원구 현도면 선동1길 9
0,충청북도,청주시,강내면사무소,충청북도 청주시 흥덕구 강내면 태성탑연로 433 강내면사무소
1,충청북도,청주시,남이면사무소,충청북도 청주시 서원구 남이면 척산길 7 남이면사무소
2,충청북도,청주시,문의면사무소,충청북도 청주시 상당구 문의면 문의시내1길 8-15 문의면사무소
3,충청북도,청주시,복대1동주민센터,충청북도 청주시 흥덕구 증안로 86
4,충청북도,청주시,봉명2송정동주민센터,충청북도 청주시 흥덕구 주현로41번길 18
5,충청북도,청주시,북이면사무소,충청북도 청주시 청원구 북이면 신대석성로 10 북이면사무소
6,충청북도,청주시,상당구청 세무과,충청북도 청주시 상당구  상당로69번길 38 상당구청 본관 1층 세무과
7,충청북도,청주시,서원구청 주민복지과,충청북도 청주시 서원구  사직대로 227 서원구청
8,충청북도,청주시,오창읍사무소,충청북도 청주시 청원구 오창읍 두릉유리로 1137-1 오창읍사무소 맞춤형 복지팀
9,충청북도,청주시,청주시평생학습관,충청북도 청주시 흥덕구  월명로13번길 52 청주시평생학습관
0,충청북도,청주시,가경동주민센터,충청북도 청주시 흥덕구 풍년로180번길 25-2
1,충청북도,청주시,강서2동주민센터,충청북도 청주시 흥덕구 내곡로 26 강서2동주민센터
2,충청북도,청주시,성안동주민센터,충청북도 청주시 상당구 대성로 72
3,충청북도,청주시,영운동주민센터,충청북도 청주시 상당구 단재로 129
4,충청북도,청주시,오근장동주민센터,충청북도 청주시 상당구 오동동 53의 8번지
5,충청북도,청주시,용암1동주민센터,충청북도 청주시 상당구 중흥로 29
6,충청북도,청주시,용암2동주민센터,충청북도 청주시 상당구 무농정로 47
7,충청북도,청주시,중앙동주민센터,충청북도 청주시 상당구 북문로2가 130의 10번지
8,충청북도,청주시,청주시농업기술센터,충청북도 청주시 상당구 남일면 단재로 480 농업기술센터
9,충청북도,청주시,청주지방검찰청,충청북도 청주시 서원구 산남로70번길 51 청주지방검찰청
0,충청북도,청주시,강서1동주민센터,충청북도 청주시 흥덕구 가로수로 1164 강서동
1,충청북도,청주시,금천동주민센터,충청북도 청주시 상당구 쇠내로 50 금천동주민센터
2,충청북도,청주시,내덕2동주민센터,충청북도 청주시 청원구 충청대로 28 내덕2동주민센터
3,충청북도,청주시,모충동주민센터,충청북도 청주시 서원구 모충로124번길 25 모충동주민센터
4,충청북도,청주시,사직1동주민센터,충청북도 청주시 서원구 대원로 45 사직1동주민센터
5,충청북도,청주시,사직2동주민센터,충청북도 청주시 서원구 충렬로53번길 31 사직2동 주민센터
6,충청북도,청주시,사창동주민센터,충청북도 청주시 서원구 내수동로 108 사창동주민센터
7,충청북도,청주시,수곡2동주민센터,충청북도 청주시 흥덕구 수곡2동 수곡로 61
8,충청북도,청주시,운천신봉동주민센터,충청북도 청주시 흥덕구 사운로 216
9,충청북도,청주시,율량사천동주민센터,충청북도 청주시 청원구 충청대로107번길 52
0,충청북도,청주시,국립현대미술관 청주,충청북도 청주시 청원구 상당로 314 국립현대미술관 청주
1,충청북도,청주시,내덕1동주민센터,충청북도 청주시 청원구 새터로 71 내덕1동주민센터
2,충청북도,청주시,복대2동주민센터,충청북도 청주시 흥덕구 신율로103번길 42 복대2동주민센터
