지역,시군구,기관,주소
강원,강원도 고성군,고성효도원,강원도 고성군 죽왕면 송지호로 168-29
강원,강원도 고성군,고성노인복지센터,강원도 고성군 거진읍 거성길3
강원,강원도 고성군,고성시니어클럽,"강원도 고성군 간성읍 간성로67번길13, 3층"
강원,강원도 고성군,고성군다문화가족지원센터,강원도 고성군 간성로97
강원,강원도 고성군,벧엘의집,강원 고성군 죽왕면 동해대로 6645-10
강원,강원도 고성군,아모르뜰,강원도 고성군 토성면 무릉도원로 572아모르뜰
강원,강원도 고성군,고성연화마을,강원 고성군 간성읍 건봉사로 388
강원,강원도 고성군,고성군노인복지관,강원도 고성군 간성읍 간성로67번길13
강원,강원도 고성군,고성소망노인요양원,강원도 고성군 거진읍 남강로 650고성소망노인요양원
강원,강원도 고성군,까리따스노인복지센터,강원도 고성군 토성면 버리깨길40
강원,강원도 고성군,까리따스마태오요양원,강원 고성군 토성면 버리깨길 42까리따스마태오요양원
강원,강원도 고성군,고성군사회복지협의회,강원도 고성군 간성읍간성로 107(1층)
