지역,시군구,기관,주소
강원,강원도 영월군,산솔지역아동센터,강원 영월군 중동면 태백산로 1199-1.
강원,강원도 영월군,누리봄지역아동센터,강원 영월군 상동읍 태백산로 31972층
강원,강원도 영월군,영월군단기케어홈센터,강원 영월군 영월읍 내성길31번길 44.
강원,강원도 영월군,이든샘지역아동센터,강원도 영월군 김삿갓면 영월동로 1656-10
강원,강원도 영월군,푸르미지역아동센터,강원도 영월군 북면 봉래산로 9872층
강원,강원도 영월군,구세군영월지역아동센터,강원도 영월군 영월읍 오무개1길14-1
강원,강원도 영월군,연당별빛지역아동센터,강원도 영월군 남면연당리 1033-7
강원,강원도 영월군,영월군정신건강증진센터,강원도 영월군 영월읍 하송로46-43
강원,강원도 영월군,강원도지적발달장애인복지협회 영월군지부,강원도 영월군 영월읍 관풍헌길59
강원,강원도 영월군,영월지역아동센터,강원도 영월군 영월읍 단종로16번길61-3
강원,강원도 영월군,노아의집,강원도 영월군 남면 신선길73-41 노아의집
강원,강원도 영월군,The사랑노인요양원,강원도 영월군 영월읍하송리 252-2
강원,강원도 영월군,(사)희망더하기공간나눔,강원도 영월군 김삿갓면 두릉골길65-3
강원,강원도 영월군,하송1차APT지역아동센터,강원도 영월군 영월읍 중앙로 4.
강원,강원도 영월군,노인요양시설 하늘정원,강원도 영월군 단종로71
강원,강원도 영월군,영월군건강가정지원센터,강원도 영월군 단종로12
강원,강원도 영월군,영월군종합사회복지관,강원 영월군 영월읍 단종로 12
강원,강원도 영월군,하늘샘지역아동센터,강원 영월군 영월읍 은행나무길 32번지
강원,강원도 영월군,참사랑노인복지센터,강원 영월군 주천면 송학 주천로 1448번지
강원,강원도 영월군,큰나무공부방지역아동센터,강원 영월군 주천면금마3리 550
강원,강원도 영월군,예닮원,강원 영월군 남면광천리  신선길 126
강원,강원도 영월군,영월노인전문요양원,강원 영월군 영월읍 남중골길 28영월노인전문요양원
강원,강원도 영월군,해오름지역아동센터,강원 영월군 영월읍덕포리522-2번지
강원,강원도 영월군,강원도영월의료원,강원도 영월군 영월읍 중앙1로 59영월의료원
강원,강원도 영월군,함께사는사람들,강원 영월군 영월읍덕포리922번지
강원,강원도 영월군,영월군가정봉사원파견센터,강원 영월군 영월읍 덕포리602번지
강원,강원도 영월군,예가노인전문요양원,강원도 영월군 남면 신선길 124.
강원,강원도 영월군,영월군사회복지협의회,강원 영월군 영월읍 봉래산로 189.
강원,강원도 영월군,요셉의집(은총의집),강원 영월군 영월읍 연하리229 2/1
