지역,시군구,기관,주소
강원,강원도 원주시,참좋은요양원,강원 원주시 호저면 호저로 660.
강원,강원도 원주시,사랑나눔의집,"강원 원주시 행구로 287 (행구동, 건영아파트)101동 105호"
강원,강원도 원주시,예샘의집,"강원 원주시 행구로 102 (봉산동, 동신아파트)104-101"
강원,강원도 원주시,원주농협협동조합,강원 원주시 천사로 46 (단계동)원주농협
강원,강원도 원주시,블레싱홈,강원 원주시 소초면 둔둔로 94.
강원,강원도 원주시,효다함요양원,강원 원주시 소초면 둔둔로 181.
강원,강원도 원주시,강원도아동자립지원시설,강원 원주시 백간길 125 (학성동).
강원,강원도 원주시,원주시장애인가족지원센터,"강원 원주시 치악로 2050 (태장동, 원주태장LH 천년나무 5단지)."
강원,강원도 원주시,원주노숙인센터,강원 원주시 원일로 250 (학성동).
강원,강원도 원주시,A+원주한결노인복지센터,"강원 원주시 평원로 33 (중앙동), 8층"
강원,강원도 원주시,좋은이웃쉼터(강원서부),강원 원주시 남원로469번길 6 (명륜동).
강원,강원도 원주시,가온요양원,강원 원주시 태장둔치길 143-3 (태장동).
강원,강원도 원주시,일과사랑,강원 원주시 호저면 원문로 680-2.
강원,강원도 원주시,미래지역아동센타,강원 원주시 상지대길 25-9 (우산동).
강원,강원도 원주시,강원도지적발달장애인복지협회 원주시지부,강원 원주시 금불1길 24-12 (단계동).
강원,강원도 원주시,예일요양원,강원 원주시 서원대로 190 (단계동)신진빌딩 4층
강원,강원도 원주시,노픈누리지역아동센터,강원도 원주시 문막읍 원문로 18002층
강원,강원도 원주시,길배움터지역아동센타,강원도 원주시 판부면 용수골길 94-9
강원,강원도 원주시,사)한국지체장애인협회 강원도협회 원주시지회,강원도 원주시 북원로2718번길 13 (태장동)
강원,강원도 원주시,푸른초장지역아동센터,강원도 원주시 갈머리1길 23 (일산동)푸른초장지역아동센터
강원,강원도 원주시,숲소리어린이집,강원도 원주시 흥업면 남원로 52-2
강원,강원도 원주시,천사장애인주간보호소,강원도 원주시 개륜1길 65 (봉산동)
강원,강원도 원주시,원주사랑마루,강원도 원주시 시청로 30 (무실동)5층
강원,강원도 원주시,사단법인 빛과꿈터 일과사랑,강원 원주시 호저면 원문로 680-2일과사랑
강원,강원도 원주시,경성재가복지센터,"강원도 원주시 라옹정길51-6, 2층"
강원,강원도 원주시,소담요양원,"강원도 원주시 송림길18, 3층"
강원,강원도 원주시,명륜지역아동센터,"강원도 원주시 서원대로308, 현대2차아파트 204-106"
강원,강원도 원주시,성공회원주나눔의집 햇살지역아동센터,강원도 원주시 송계안길9
