지역,시군구,기관,주소
강원,강원도 정선군,탄광촌노인요양원,강원도 정선군 고한읍 고한9길 262층
강원,강원도 정선군,정선실버하우스요양원,강원도 정선군 북평면 송석길287-30
강원,강원도 정선군,강원랜드복지재단,강원도 정선군 고한읍 고한9길83
강원,강원도 정선군,벧엘동산,강원도 정선군 임계면 월루길 446
강원,강원도 정선군,새별이요양원,강원 정선군 임계면 새벼리길 83-27새별이 요양원
강원,강원도 정선군,흑빛지역아동센터,강원 정선군 고한읍 고한10길 28-8
강원,강원도 정선군,정선군종합사회복지관,강원도 정선군 정선읍 봉양7길 16정선군종합사회복지관
강원,강원도 정선군,정선프란치스꼬의집,강원 정선군 정선읍신월리 866
강원,강원도 정선군,정선군노인요양원,강원도 정선군 정선읍 와평2길1-77
강원,강원도 정선군,아우라지지역아동센터,강원 정선군 여량면여량리261-1
강원,강원도 정선군,정선효도마을,강원 정선군 임계면 임계리1117 번지
강원,강원도 정선군,소망의집,강원 정선군 정선읍 신월리328-2번지
강원,강원도 정선군,새별이노인복지센터,강원 정선군 임계면 송계리146-2번지
강원,강원도 정선군,가온누리돌봄센터,강원 정선군 신동읍조동6리 새골길 27
강원,강원도 정선군,정선군사회복지협의회,강원 정선군 정선읍 애산리432-202 정선군청 제2청사 2층
