지역,시군구,기관,주소
강원,강원도 춘천시,정화노인요양원,강원 춘천시 사북면 춘화로 392.
강원,강원도 춘천시,강원도일시청소년쉼터,강원 춘천시 후석로379번길 27 (후평동) 강원도일시청소년쉼터
강원,강원도 춘천시,춘천다원요양원,강원 춘천시 동내면 거두길 20-13.
강원,강원도 춘천시,늘푸른화수원,강원 춘천시 동내면 고은길 84.
강원,강원도 춘천시,정훈실버빌,강원 춘천시 금강로 119 (운교동).
강원,강원도 춘천시,노아요양원,강원 춘천시 동면 노루목길 18.
강원,강원도 춘천시,방주노인요양원,강원 춘천시 동면 노루목길 8-7.
강원,강원도 춘천시,한마음실버빌,강원 춘천시 샘물단지길 23 (사농동).
강원,강원도 춘천시,A+신동시니어복지센터,강원 춘천시 동포1길 6-13 (신동).
강원,강원도 춘천시,강원도단기여자청소년쉼터,강원 춘천시 동면 춘천로 527-40.
강원,강원도 춘천시,CNK실버빌,"강원 춘천시 후석로 376 (후평동)CNK실버빌(4층,5층)"
강원,강원도 춘천시,우두실버홈,강원 춘천시 우두상리4길 10 (우두동).
강원,강원도 춘천시,보듬지역아동센터,"강원 춘천시 동내면 외솔길 49-11, 1층"
강원,강원도 춘천시,춘천북부노인복지관,강원 춘천시 충열로 124 (우두동).
강원,강원도 춘천시,꿈샘지역아동센터,강원도 춘천시 후석로228번길 47 (후평동)
강원,강원도 춘천시,삭주요양복지센터,"강원도 춘천시 춘천로 306-5 (후평동), 3층 303호"
강원,강원도 춘천시,춘천가정폭력성폭력상담소,강원도 춘천시 효자로 135 (효자동)3층
강원,강원도 춘천시,가족노인요양원,강원도 춘천시 공단로 16 (후평동)
강원,강원도 춘천시,가족과함께,강원도 춘천시 후석로344번길 27-9 (후평동)가족과함께
강원,강원도 춘천시,춘천반석지역아동센터,"강원도 춘천시 후석로46번길 28 (석사동)662-6, 1층"
강원,강원도 춘천시,우리요양원,강원도 춘천시 동면 목골길 59우리요양원
강원,강원도 춘천시,나눔의집,강원도 춘천시 신북읍 율문3길 55-1나눔의 집
강원,강원도 춘천시,사)한국농아인협회강원도협회,강원도 춘천시 동면 소양강로 110401호
강원,강원도 춘천시,A+춘천시니어복지센터,강원도 춘천시 동내면 거두길 238A+춘천시니어복지센터
강원,강원도 춘천시,사회복지법인탄석재단사업부 소망의집,강원도 춘천시 춘천로151번길 17 (운교동)
강원,강원도 춘천시,한길지역아동센터,강원 춘천시 후석로 267 (후평동)2층
강원,강원도 춘천시,강촌노인요양원,강원도 춘천시 남면 한덕발산길958
강원,강원도 춘천시,엘림원,강원도 춘천시 신북읍 율문길103
강원,강원도 춘천시,호반실버요양원,강원도 춘천시 옛경춘로663
강원,강원도 춘천시,늘해랑보호작업장,강원도 춘천시 사우로27
강원,강원도 춘천시,두레실버요양원,강원도 춘천시 칠전서1길8
강원,강원도 춘천시,춘천성체지역아동센터,"강원도 춘천시 당간지주길74번길 13 (구, 근화동799-42)"
강원,강원도 춘천시,춘천희망복지센터,강원도 춘천시 운교동 운천길28-29
