지역,시군구,기관,주소
강원,강원도 태백시,태백시실버요양원,강원도 태백시 황장목이길25
강원,강원도 태백시,넓은세상지역아동센터,강원도 태백시 번영로287 (황지동59-87)넓은세상지역아동센터
강원,강원도 태백시,태백시다문화가족지원센터,강원도 태백시 해지개길 41 (황지동)
강원,강원도 태백시,태백노인복지센터,강원 태백시 황지동 68-17
강원,강원도 태백시,태백시청소년수련시설,강원 태백시 황지동 번영로 224
강원,강원도 태백시,태백시노인복지관,강원 태백시 문곡동 4-9 번지
강원,강원도 태백시,사)한국농아인협회강원도협회태백시지회,"강원 태백시 황지동26, 2층"
강원,강원도 태백시,근로복지공단 태백병원,강원 태백시 장성동195 번지
강원,강원도 태백시,태백가정폭력상담소,강원 태백시 장성동 보드미길 40(근로자복지관 2층)
강원,강원도 태백시,꽃때말지역아동센터,강원 태백시 장성동178-1번지
강원,강원도 태백시,햇빛나눔노인복지센터,강원 태백시 상장동서학1길23-22
강원,강원도 태백시,태백시청소년수련관,강원 태백시 소도동 331-3번지 태백시청소년수련관
강원,강원도 태백시,안식의집,강원 태백시 황지동 59-8
강원,강원도 태백시,동점마을아동센터,강원 태백시 방터골1길 13-20 (동점동) 72-4
강원,강원도 태백시,태백장애인종합복지관,강원 태백시 금천동 15번지
강원,강원도 태백시,태백시사회복지협의회,강원 태백시 문곡동4-10번지
