지역,시군구,기관,주소
강원,강원도 평창군,해든누리노인복지센터,강원 평창군 평창읍 옥고개길 219.
강원,강원도 평창군,효원노인요양원,강원 평창군 평창읍 옥고개길 212.
강원,강원도 평창군,월정사노인요양원,강원도 평창군 진부면 오대산3길 58
강원,강원도 평창군,평창지역아동센터,강원도 평창군 평창읍 종부로 85평창지역아동센터
강원,강원도 평창군,대화노인요양원,강원도 평창군 대화면 대화중앙로154
강원,강원도 평창군,횡계아동센터,강원도 평창군 대관령면 돌뱅이길21
강원,강원도 평창군,거문지역아동센터,강원도 평창군 진부면 상월거문로250-12
강원,강원도 평창군,다소니,강원도 평창군 방림면 고원로 667-67다소니
강원,강원도 평창군,평창노인요양원,강원도 평창군 대화면 고대동길 75대화 6리 광천
강원,강원도 평창군,평창지역자활센터,강원도 평창군 평창읍 노성로129
강원,강원도 평창군,평창군다문화가족지원센터,강원 평창군 평창읍 평창중앙로 67평창군문화복지센터 2층
강원,강원도 평창군,장애인민원봉사실,강원 평창군 진부면 진벌1길 144-19장애인복지센터
강원,강원도 평창군,사회복지법인 대관령한우복지재단,강원도 평창군 평창읍 하리 275번지(도로명  백오로 9)
강원,강원도 평창군,평창노인복지센터,강원 평창군 평창읍 중리354-1
강원,강원도 평창군,소망노인요양원,강원 평창군 방림면 운교리498
강원,강원도 평창군,강원도장애인종합복지관평창분관,강원 평창군 평창읍 중앙로 67
강원,강원도 평창군,평창군사회복지협의회,강원 평창군 평창읍 중리 2리 354-1
