지역,시군구,기관,주소
경기,경기도 과천시,A+과천행복노인복지센터,경기 과천시 희망4길 53 (중앙동)-
경기,경기도 과천시,시립공원마을어린이집,경기 과천시 공원마을길 42 (문원동)-
경기,경기도 과천시,과천시청소년육성재단,"경기도 과천시 참마을로9, 청소년수련관 1층"
경기,경기도 과천시,과천시건강가정지원센터,경기도 과천시 관악산길58
경기,경기도 과천시,과천시장애인복지관,경기 과천시 문원동 31-3
경기,경기도 과천시,과천시립부림지역아동센터,경기도 과천시 부림3길 6-5 (부림동)과천시립 부림지역아동센터
경기,경기도 과천시,(사)대한산업보건협회 부설 한마음혈액원,경기 과천시 과천동 541-2 외2필지
경기,경기도 과천시,한국마사회,경기도 과천시 주암동 한국마사회685
경기,경기도 과천시,사단법인 실종아동찾기협회,서울 양천구 오목로 198-1 (신정동)영진빌딩 4층
경기,경기도 과천시,한국장애경제인협회 경기지회,경기도 안산시 단원구 신길동1702번지 1층  (팩스 0504-848-2010)
경기,경기도 과천시,한국입양홍보회,경기도 수원시 팔달구 화서2동644-1 풍성프라자 604호
경기,경기도 과천시,사회복지법인 큰소망,경기 과천시 문원동115-354
경기,경기도 과천시,사회복지법인 하늘행복나눔재단,경기 과천시 중앙동17-4
경기,경기도 과천시,과천시실버인력뱅크,경기 과천시 문원로 57 (문원동)과천시노인복지관
경기,경기도 과천시,구세군승리요양원,경기도 과천시 관악산길 188 (중앙동)구세군승리요양원
경기,경기도 과천시,0nly 1 큰소망노인복지센터,경기도 과천시 문원청계2길 50(문원동)  로고스센터1층
경기,경기도 과천시,사회복지법인큰소망 꿈나눔과천지역아동센터,경기 과천시 문원동 115-354
경기,경기도 과천시,과천종합사회복지관,경기 과천시 별양상가1로 10 (별양동)과천타워 3층 과천종합사회복지관
경기,경기도 과천시,구세군과천양로원·요양원,경기 과천시 중앙동 83-3번지
경기,경기도 과천시,과천시노인복지관,경기 과천시 문원로 57 (문원동)15-168
