지역,시군구,기관,주소
경기,경기도 군포시,솔직업훈련센터,경기 군포시 고산로151번길 30 (당정동)202호
경기,경기도 군포시,군포에덴요양원,경기 군포시 당정역로4번길 11 (당정동)2층
경기,경기도 군포시,다솜둥지,경기도 군포시 봉성로 26 (당동)4층
경기,경기도 군포시,하늘둥지,경기도 군포시 봉성로 26 (당동)3층
경기,경기도 군포시,꿈의집지역아동센터,경기 군포시 군포로 789 (산본동)2층
경기,경기도 군포시,매화지역아동센터,경기도 군포시 곡란로22 (매화종합사회복지관2층)
경기,경기도 군포시,효산의료재단 지샘병원,경기도 군포시 군포로591
경기,경기도 군포시,원광대학교의과대학산본병원,경기도 군포시 산본로327
경기,경기도 군포시,하나복지센터,경기도 군포시 금산로109 두성프라자 402
경기,경기도 군포시,미소요양원,"경기도 군포시 고산로679, 산본동 미성프라자"
경기,경기도 군포시,군포지역자활센터,"경기도 군포시 금정로25, 신호빌딩 5층"
경기,경기도 군포시,군포시늘푸른노인복지관,경기 군포시 산본천로 101 (산본동)6
경기,경기도 군포시,보람요양원,"경기도 군포시 당정동 고산로211번길31, 3층"
경기,경기도 군포시,군포효사랑요양원,"경기도 군포시 당동 고산로250번길19, 폴리프라자 5층"
경기,경기도 군포시,군포탁틴내일,"경기도 군포시 산본동 산본로323번길10-34, 403호"
경기,경기도 군포시,영은늘푸른지역아동센터,"경기도 군포시 오금로134번길 6 (금정동)101,102호"
경기,경기도 군포시,경기군포노인복지센터,경기도 군포시 산본동 광정로122 주몽아파트 상가 209호
경기,경기도 군포시,군포YMCA,경기도 군포시 금정동 금산로13 유일빌딩 5층
경기,경기도 군포시,성민요양원,경기도 군포시 당동 군포로487 501호
경기,경기도 군포시,성민재가노인복지센터,경기도 군포시 당동 군포로487 (당동 동영프라자 502호)
경기,경기도 군포시,군포시건강가정지원센터,경기도 군포시 금정동 청백리길 6군포시여성회관 2층
경기,경기도 군포시,군포시다문화가족지원센터,경기도 군포시 금정동 청백리길 6군포시여성회관2층
경기,경기도 군포시,군포시자립생활센터,경기도 군포시 번영로514 현대프라자 605호
경기,경기도 군포시,군포시립노인요양센터,경기도 군포시 군포로221
경기,경기도 군포시,군포은빛사랑채,경기도 군포시 군포로221
경기,경기도 군포시,솔복지센터,경기도 군포시 고산로151번길28 404호
경기,경기도 군포시,가온누리주간보호센터,경기 군포시 당동 872번지 서일빌딩 4층
경기,경기도 군포시,성민노인복지센터,경기 군포시 당동 785-16 동영프라자 4층
경기,경기도 군포시,의료법인 휴성심병원,경기 군포시 당정동 1013-6 유영타운 5층 의료법인 희망나눔의료재단 휴성심병원
경기,경기도 군포시,너싱홈 간호박사네,경기도 군포시 고산로 256 (당동)402호 금강프라자
경기,경기도 군포시,군포시장애인보호작업장,경기도 군포시 당정로90 나동 304호
경기,경기도 군포시,사단법인 좋은친구,경기 군포시 산본동1138-1 번지 거성 3차 6층
경기,경기도 군포시,군포시장애인종합복지관,경기 군포시 금정동844-1번지
경기,경기도 군포시,사)대한노인회 군포시지회,경기 군포시 당동887 노인복지회관 5층
경기,경기도 군포시,군포시노인복지관,경기도 군포시 고산로223번길 (당동 887번지)
경기,경기도 군포시,군포시청소년쉼터하나로,경기 군포시 산본1동75-61
경기,경기도 군포시,사회복지법인 양지의집,경기도 군포시 한세로70번길14
경기,경기도 군포시,(사단법인)정다우리,경기도 군포시 산본2동고산로 683 현대아카데미센타 10층 정다우리
경기,경기도 군포시,(사)성민원,경기 군포시 금정동 870-10
경기,경기도 군포시,군포시가야종합사회복지관,경기 군포시 번영로 331-1 (산본동)2층(가야종합사회복지관)
경기,경기도 군포시,엘림노인전문요양원,경기 군포시 고산로 589 (산본동)고산로 589
경기,경기도 군포시,군포실버인력뱅크,경기도 군포시 당정동  1010-10 선경프라자3층
경기,경기도 군포시,군포시주몽종합사회복지관,"경기 군포시 광정로 122 (산본동, 주몽아파트)군포시주몽종합사회복지관"
경기,경기도 군포시,군포매화종합사회복지관,"경기도 군포시 곡란로22, 매화종합사회복지관"
경기,경기도 군포시,군포사랑의손길노인복지센터,경기 군포시 군포로 444 (당동)4층 (서일빌딩)
