지역,시군구,기관,주소
경기,경기도 동두천시,동두천효재활주간보호센터,경기 동두천시 삼육사로1002번길 13 (생연동)동두천효재활주간보호센터
경기,경기도 동두천시,보광노인요양원,경기 동두천시 평화로2812번길 186 (동두천동)보광노인요양원
경기,경기도 동두천시,동두천노인복지요양센터,경기 동두천시 상패로 85 (상패동)-
경기,경기도 동두천시,섬기는노인주간보호센터,경기 동두천시 평화로 3068 (하봉암동)-
경기,경기도 동두천시,푸른샘지역아동센터,경기도 동두천시 상패로 25 (상패동)푸른샘지역아동센터
경기,경기도 동두천시,메디칼요양원,"경기도 동두천시 지행로59, 메디칼빌딩 8,9,10층"
경기,경기도 동두천시,두레지역아동센터,"경기도 동두천시 평화로2316-20, 지행현대아파트 102동 103호"
경기,경기도 동두천시,은혜의집,경기도 동두천시 평화로2262번길33
경기,경기도 동두천시,동두천시다문화가족지원센터,"경기도 동두천시 중앙로249, 두드림희망센터 2층"
경기,경기도 동두천시,지행지역아동센터,경기도 동두천시 지행동 부영3단지아파트 (301~307동)307동 101호
경기,경기도 동두천시,꿈틀지역아동센터,"경기도 동두천시 생연동 평화로2459-1, 3층"
경기,경기도 동두천시,동두천행복마루요양원,"경기도 동두천시 생연동 행선로123-12, 2층~3층"
경기,경기도 동두천시,굿모닝동두천요양원,경기도 동두천시 탑동동 삼육사로1262번길32-7
경기,경기도 동두천시,사랑나무지역아동센터,경기도 동두천시 광암동  510-10
경기,경기도 동두천시,이담지역아동센터,경기도 동두천시 생연동  825-8
경기,경기도 동두천시,해오름어린이집,경기도 동두천시 하봉암동  373-7
경기,경기도 동두천시,동두천시장애인단기보호센터,경기도 동두천시 상패동  54번지
경기,경기도 동두천시,경기도 천사의집,경기 동두천시 지행동 669-2
경기,경기도 동두천시,행복꿈터지역아동센터,경기도 동두천시 보산동  412-27
경기,경기도 동두천시,동두천시노인복지관,경기도 동두천시 동두천로264
경기,경기도 동두천시,동안지역아동센터,경기 동두천시 동두천동211-1 유진빌라 301호
경기,경기도 동두천시,다솜요양원,경기도 동두천시 지행동695-5
경기,경기도 동두천시,사)희망지킴이 천사운동본부,경기 동두천시 중앙로 249 (생연동)두드림희망센터 3층  302호
경기,경기도 동두천시,카네이션요양원 동두천점,"경기 동두천시 지행동695-1번지 한승빌딩 7,8층"
경기,경기도 동두천시,생연지역아동센터,경기도 동두천시 생연동255
경기,경기도 동두천시,동두천시사회복지협의회,"경기도 동두천시 중앙로249, 두드림희망센터 2층"
경기,경기도 동두천시,아이들웃음터 지역아동센터,경기 동두천시 생연2동820-33 번지 3층
경기,경기도 동두천시,동두천시중증장애인자립생활센터,경기 동두천시 동두천로 262 (생연동)-
경기,경기도 동두천시,동두천성결노인주간보호센터,경기 동두천시 상패동 67-8
경기,경기도 동두천시,애신아동복지센터,경기 동두천시 생연동430번지
경기,경기도 동두천시,사회복지법인 성경복지재단 동두천요양원,경기 동두천시 평화로3208번길 43-15 (하봉암동)-
경기,경기도 동두천시,사회복지시설 성경원,경기 동두천시 하봉암동 1번지
경기,경기도 동두천시,동두천시장애인종합복지관,경기 동두천시 상패동 54 동두천시장애인종합복지관
경기,경기도 동두천시,동두천시천사푸드뱅크,경기 동두천시 광암동 518-1
경기,경기도 동두천시,동두천아동센터,경기도 동두천시 생연동214-12
