지역,시군구,기관,주소
경기,경기도 성남시 수정구,위례예사랑데이케어센터,경기 성남시 수정구 위례광장로 322 (창곡동)304~305호
경기,경기도 성남시 수정구,위례원마을노인복지센터,경기 성남시 수정구 위례서일로 22 (창곡동)9층
경기,경기도 성남시 수정구,(복)양친사회복지회 서호교육복지센터,경기 성남시 수정구 복정로 109 (복정동)지하 2~4층
경기,경기도 성남시 수정구,태평1동복지회관,경기도 성남시 수정구 성남대로 1314 (태평동)성남대로 1314
경기,경기도 성남시 수정구,성남위례종합사회복지관,"경기도 성남시 수정구 위례광장로 311 (창곡동, 위례35단지)성남위례종합사회복지관"
경기,경기도 성남시 수정구,서호주간센터,경기도 성남시 수정구 복정로 109 (복정동)1층
경기,경기도 성남시 수정구,(사)경기도시각장애인연합회 성남시지회,"경기도 성남시 수정구 수정남로10, 307호 (수진동, 제일프라자)"
경기,경기도 성남시 수정구,힘찬지역아동센터,경기도 성남시 수정구 태평동 성남대로1245 (태평동)
경기,경기도 성남시 수정구,새롬지역아동센터,"경기 성남시 수정구 공원로445번길 7 (태평동)7, 3층"
경기,경기도 성남시 수정구,수정중앙노인종합복지관,경기도 성남시 수정구 복정동 성남대로1480번길 38-
경기,경기도 성남시 수정구,우리함께웃는태평지역아동센터,경기 성남시 수정구 태평4동 7340-7번지 2층
경기,경기도 성남시 수정구,놀이세상지역아동센터,경기 성남시 수정구 태평2동 3135번지 1층 놀이세상지역아동센터
경기,경기도 성남시 수정구,금광청소년문화의집,경기 성남시 수정구 양지동 923-1
경기,경기도 성남시 수정구,사단법인 국제키와니스 한국지구,경기 성남시 수정구 위례서일로 34 (창곡동)성희프라자 1007호
경기,경기도 성남시 수정구,은혜지역아동센터,경기 성남시 수정구 태평2동   3363
경기,경기도 성남시 수정구,실버릿지판교,경기 성남시 수정구 사송동 507번지 실버릿지판교
경기,경기도 성남시 수정구,수정청소년수련관,경기 성남시 수정구 신흥2동   466번지
경기,경기도 성남시 수정구,가천대학교,경기 성남시 수정구 복정동 산 65
경기,경기도 성남시 수정구,성남요양원,경기 성남시 수정구 태평2동7288-9
경기,경기도 성남시 수정구,성남시 일시 청소년쉼터,경기 성남시 수정구 태평2동3481번지 2층
경기,경기도 성남시 수정구,신흥동복지회관,경기 성남시 수정구 신흥1동4900
경기,경기도 성남시 수정구,성남우리공부방 지역아동센터,경기 성남시 수정구 남문로 75 (태평동)4층
경기,경기도 성남시 수정구,태평2동복지회관,경기 성남시 수정구 태평2동2645
경기,경기도 성남시 수정구,(사)정을심는복지회,경기 성남시 수정구 탄리로45번길 10 (수진동)2층(수진동)
경기,경기도 성남시 수정구,성남시사회복지협의회,경기 성남시 수정구 수진2동3042번지 제일프라자 205
경기,경기도 성남시 수정구,산성종합사회복지관,경기 성남시 수정구 산성동563
경기,경기도 성남시 수정구,경기남부노인보호전문기관,경기 성남시 수정구 수정남로268번길 28 (산성동)2층(수정노인종합복지관)
경기,경기도 성남시 수정구,고운누리,경기 성남시 수정구 산성대로 193 (수진동)2193번지 금성빌딩 5층
경기,경기도 성남시 수정구,산성동복지회관,경기 성남시 수정구 산성동 2115
경기,경기도 성남시 수정구,수정노인종합복지관,경기 성남시 수정구 산성동2178
