지역,시군구,기관,주소
경기,경기도 성남시 중원구,시립도담상대원동지역아동센터,"경기 성남시 중원구 금상로 134 (상대원동, 선경상대원2차아파트)-"
경기,경기도 성남시 중원구,안나의집 노숙인자활시설,경기 성남시 중원구 둔촌대로 118 (하대원동)-
경기,경기도 성남시 중원구,신나는신나는집지역아동센터,경기도 성남시 중원구 산성대로476번길 5 (은행동)3층
경기,경기도 성남시 중원구,함께하는사회적협동조합,경기도 성남시 중원구 산성대로382번길 22 (금광동)2층
경기,경기도 성남시 중원구,베스트요양원,경기도 성남시 중원구 도촌남로 33 (도촌동)세일프라자 6층
경기,경기도 성남시 중원구,성남시지역사회보장협의체,경기도 성남시 중원구 성남대로 997 (여수동)서관 5층
경기,경기도 성남시 중원구,성남지역아동센터,경기도 성남시 중원구 성남대로 1151 (성남동)20-7
경기,경기도 성남시 중원구,성남시 아리움 (독거노인주거복지주택),경기 성남시 중원구 광명로 46 (성남동)성남시 아리움
경기,경기도 성남시 중원구,성남시보호작업장,경기도 성남시 중원구 순환로226번길10
경기,경기도 성남시 중원구,무지개2호 그룹홈,"경기도 성남시 중원구 마지로53, 302호"
경기,경기도 성남시 중원구,황송노인주간보호센터,경기도 성남시 중원구 상대원동 금상로132 (상대원1동 279-7)
경기,경기도 성남시 중원구,다솜어린이집,경기도 성남시 중원구 상대원동 박석로14
경기,경기도 성남시 중원구,즐거운학교지역아동센터,경기도 성남시 중원구 도촌남로 37 (도촌동)306호
경기,경기도 성남시 중원구,성남시도촌종합사회복지관,경기도 성남시 중원구 도촌동647번지
경기,경기도 성남시 중원구,성남꿈나무학교 지역아동센터,경기도 성남시 중원구 은행동 은이로7번길7 (1000번지 3층)
경기,경기도 성남시 중원구,우리주간보호센터,"경기도 성남시 분당구 서현동 황새울로311번길9,909호"
경기,경기도 성남시 중원구,은행2동제3복지회관,경기도 성남시 중원구 은행동 산성대로516번길16-4
경기,경기도 성남시 중원구,성남시청소년재단 은행동청소년문화의집,경기도 성남시 중원구 은행동 산성대로516번길24
경기,경기도 성남시 중원구,성남시청소년재단,경기도 성남시 중원구 하대원동 둔촌대로332
경기,경기도 성남시 중원구,사랑 on,"경기 성남시 중원구 사기막골로62번길 37 (상대원동)스타타워 B207호, 1002호"
경기,경기도 성남시 중원구,샛별재활원,경기도 성남시 중원구 상대원1동  190-1 SK테크노파크 메가동 B101
경기,경기도 성남시 중원구,성남서로사랑노인복지센터,경기도 성남시 중원구 중앙동  1539
경기,경기도 성남시 중원구,성남시한가람보호작업장,경기도 성남시 중원구 상대원동 순환로226번길 8한우리주단기보호센터2층
경기,경기도 성남시 중원구,성남시소아청소년정신건강복지센터,경기도 성남시 수정구 수정로 218 (신흥동)4층 성남시소아청소년정신건강증진센터
경기,경기도 성남시 중원구,YMCA 노인복지센터,경기도 성남시 중원구 은행1동2366번지
경기,경기도 성남시 중원구,해솔사회복귀시설,"경기도 성남시 중원구 자혜로16번길 28-1 (금광동, 성은맨션)401호"
경기,경기도 성남시 중원구,사회복지법인 안나의집,경기 성남시 중원구 마지로 28 (하대원동)사회복지법인 안나의집
경기,경기도 성남시 중원구,사회복지법인 은행골사람들,경기도 성남시 중원구 은행2동  주공아파트111동 702호
경기,경기도 성남시 중원구,도촌지역아동센터,"경기도 성남시 중원구 도촌남로 148 (도촌동, 휴먼시아섬마을9단지아파트)909동 B1층 도촌지역아동센터"
경기,경기도 성남시 중원구,새소망지역아동센터,경기 성남시 중원구 은행2동 663-103  3층
경기,경기도 성남시 중원구,상대원3동복지회관,경기 성남시 중원구 상대원3동 870
경기,경기도 성남시 중원구,중원장애인자립생활센터,경기 성남시 중원구 금광2동 4400번지 신성빌딩5층
경기,경기도 성남시 중원구,황송노인종합복지관,경기 성남시 중원구 상대원1동 279-7
경기,경기도 성남시 중원구,함께하는 정신과 의원,경기 성남시 중원구 광명로 313 (금광동)3층 낮병원
경기,경기도 성남시 중원구,성남시단기청소년쉼터(여자),"경기 성남시 중원구 마지로 29 (하대원동, 럭키 참조은 아파트)럭키참조은아파트 201호"
경기,경기도 성남시 중원구,중앙동복지회관,경기도 성남시 중원구 중앙동1539
경기,경기도 성남시 중원구,두란노지역아동센터,경기 성남시 중원구 은행2동722-12번지 2층
경기,경기도 성남시 중원구,함께여는청소년학교 지역아동센터,경기 성남시 중원구 성남동2179번지 2층
경기,경기도 성남시 중원구,성남내일을여는집,경기 성남시 중원구 광명로 255-8 (중앙동)성남내일을여는집
경기,경기도 성남시 중원구,은행1동복지회관,경기 성남시 중원구 은행1동2021
경기,경기도 성남시 중원구,성남시중원청소년수련관,경기 성남시 중원구 둔촌대로 332 (하대원동)240번지 중원청소년수련관
경기,경기도 성남시 중원구,성남시장애인복합사업장,경기도 성남시 중원구 상대원동 둔촌대로484 시콕스타워 215호
경기,경기도 성남시 중원구,성남시지역아동센터연합회,경기 성남시 수정구 단대동 180번지 2층
경기,경기도 성남시 중원구,성남재가노인복지센터,경기 성남시 중원구 상대원3동870
경기,경기도 성남시 중원구,중원노인종합복지관,경기 성남시 중원구 제일로35번길 51 (성남동)중원노인종합복지관
경기,경기도 성남시 중원구,사회복지법인 양친사회복지회 소망재활원,경기 성남시 중원구 금광2동3957
경기,경기도 성남시 중원구,굿네이버스 경기동부지부,경기도 성남시 수정구 태평동5188-1 2층
경기,경기도 성남시 중원구,상대원1동복지회관,경기 성남시 중원구 상대원1동1332번지 상대원1동복지회관
경기,경기도 성남시 중원구,성남시장애인종합복지관,경기도 성남시 중원구 사기막골로150번길 20성남시장애인종합복지관
경기,경기도 성남시 중원구,성남종합사회복지관(월드비전),경기 성남시 중원구 금광2동2957번지
