지역,시군구,기관,주소
경기,경기도 수원시 권선구,행복한중앙요양원,경기 수원시 권선구 매송고색로 662 (고색동)행복한중앙요양원
경기,경기도 수원시 권선구,서호재가노인지원서비스센터,경기 수원시 권선구 구운로4번길 34 (구운동)4층 사무실
경기,경기도 수원시 권선구,경기도장애인권익옹호기관,경기 수원시 권선구 서수원로 130 (오목천동)누림 208호.
경기,경기도 수원시 권선구,수원 사랑마루2,경기 수원시 권선구 탑동로 68 (탑동)5층
경기,경기도 수원시 권선구,사회복지법인 밀알복지재단 경기지부,경기 수원시 권선구 권선로 667 (권선동)401호
경기,경기도 수원시 권선구,경기도장애인가족지원센터,경기도 수원시 권선구 서수원로 130 (오목천동)305호
경기,경기도 수원시 권선구,사단법인 에이블아트,경기도 수원시 권선구 서수원로617번길9
경기,경기도 수원시 권선구,능실종합사회복지관,경기도 수원시 권선구 호매실동호매실로 166번길 10
경기,경기도 수원시 권선구,새수원복지요양원,경기도 수원시 권선구 오목천동1146-1
경기,경기도 수원시 권선구,새수원노인요양공동생활가정,"경기도 수원시 권선구 오목천동1146-1, 1층"
경기,경기도 수원시 권선구,지역아동센터 보물섬,경기도 수원시 권선구 고색동890-91
경기,경기도 수원시 권선구,호매실장애인종합복지관,경기도 수원시 권선구 호매실동1385
경기,경기도 수원시 권선구,호매실장애인보호작업장,경기도 수원시 권선구 호매실동1385 호매실장애인복지관 5층 보호작업장
경기,경기도 수원시 권선구,(사)가온나래,경기도 수원시 권선구 권선동 권중로50번길8-39 301호 (권선동 위너스프라자)
경기,경기도 수원시 권선구,수원시휴먼서비스센터,경기도 수원시 권선구 권선동1166
경기,경기도 수원시 권선구,한국청소년경기도남부연맹,경기도 수원시 권선구 구운동 수인로296번길20 대흥빌딩 201호
경기,경기도 수원시 권선구,사단법인 수원지역아동센터연합회,경기도 수원시 권선구 세류3동  477-5
경기,경기도 수원시 권선구,사단법인 우리누리청소년회,경기 수원시 권선구 덕영대로 1086 (세류동)2층. 우리누리
경기,경기도 수원시 권선구,송연노인전문요양원,경기 수원시 권선구 매송고색로 755 (고색동)4층
경기,경기도 수원시 권선구,사단법인 오엠씨소망봉사단,경기도 수원시 권선구 오목천동  356 사)OMC소망봉사회
경기,경기도 수원시 권선구,사랑마루 수원1,"경기 수원시 권선구 탑동 757-1 4층, 4층"
경기,경기도 수원시 권선구,(사)한국곰두리봉사회,경기 수원시 권선구 고색동 958 수원첨단벤처밸리 402호
경기,경기도 수원시 권선구,의료법인 청파의료재단,경기 수원시 권선구 권선동 967-1 /  수원중앙병원 2층 중앙공급실
경기,경기도 수원시 권선구,대한성공회 수원나눔의집,경기 수원시 권선구 세류2동 443-2
경기,경기도 수원시 권선구,베스트케어복지센터,경기 수원시 권선구 세류2동 1028-4
경기,경기도 수원시 권선구,수원중앙전문요양센터,"경기 수원시 권선구 권선동967-1번지 4,5층"
경기,경기도 수원시 권선구,중앙재가노인복지센터,경기 수원시 권선구 오목천동747-1
경기,경기도 수원시 권선구,수원시오목천동장애인주간보호시설,경기 수원시 권선구 오목천동197번지
경기,경기도 수원시 권선구,참좋은지역아동센터,경기 수원시 권선구 금호로200번길 9-15 (탑동)9-15
경기,경기도 수원시 권선구,(사)경기도시각장애인연합회 수원시지회,경기도 수원시 권선구 호매실동2층 (호매실로 211)
경기,경기도 수원시 권선구,세류지역아동센터,경기 수원시 권선구 세류3동1014번지 2층
경기,경기도 수원시 권선구,버드내노인복지관,경기 수원시 권선구 세류3동483
경기,경기도 수원시 권선구,중앙요양원,경기도 수원시 권선구 오목천동 서수원로53번길25-43
경기,경기도 수원시 권선구,중앙양로원,경기 수원시 권선구 서수원로53번길 25-43 (오목천동)25-43 중앙양로원
경기,경기도 수원시 권선구,(사)경기도장애인재활협회,경기도 수원시 권선구 권선동1250 위너스프라자 3층
경기,경기도 수원시 권선구,서호노인복지관,경기도 수원시 권선구 구운로4번길34 서호노인복지관
경기,경기도 수원시 권선구,어울림지역아동센터,경기 수원시 권선구 세류3동349-3 3층
경기,경기도 수원시 권선구,(사)촛불봉사단 경기연합회,경기 수원시 권선구 탑동869-9 태영아이원102호
경기,경기도 수원시 권선구,자혜직업재활센터,경기 수원시 권선구 탑동 516-1
경기,경기도 수원시 권선구,비젼업청소년학교지역아동센터,경기 수원시 권선구 세류3동498-2
경기,경기도 수원시 권선구,수봉재활원,경기 수원시 권선구 수봉로 43 (탑동)516-1
