지역,시군구,기관,주소
경기,경기도 수원시 영통구,함께걸음직업재활센터,경기 수원시 영통구 신원로 306 (원천동)이노플랙스 1동 B106호
경기,경기도 수원시 영통구,재활플러스요양원,경기도 수원시 영통구 영통로 100 (망포동)301~303호
경기,경기도 수원시 영통구,수원요양병원,경기도 수원시 영통구 매영로 229 (원천동)수원요양병원
경기,경기도 수원시 영통구,The 꿈 지역아동센터,경기도 수원시 영통구 매여울로57번길 33 (매탄동)2층
경기,경기도 수원시 영통구,광교종합사회복지관,"경기도 수원시 영통구 이의동(대학2로 41), 광교종합사회복지관"
경기,경기도 수원시 영통구,청아한지역아동센터,경기도 수원시 영통구 매영로 572층
경기,경기도 수원시 영통구,수원시광교장애인주간보호시설,경기도 수원시 영통구 센트럴타운로22번길 25이의동 1328-1
경기,경기도 수원시 영통구,매여울배움터지역아동센터,경기도 수원시 영통구 매탄3동  1163-8
경기,경기도 수원시 영통구,수원시광교노인복지관,경기도 수원시 영통구 센트럴타운로 22 (이의동)수원시광교노인복지관
경기,경기도 수원시 영통구,도담도담,경기도 수원시 영통구 영통로130번길45(롯데빌라) 마-102
경기,경기도 수원시 영통구,나자렛집,경기도 수원시 영통구 반달로 62-1 (영통동)수원나자렛집
경기,경기도 수원시 영통구,사단법인 해솔,경기 수원시 영통구 영통동 954-3 (평강빌딩 3층)
경기,경기도 수원시 영통구,영통종합요양센터,경기 수원시 영통구 망포동 651-1 동원프라자 3층
경기,경기도 수원시 영통구,어린이재단 경기도가정위탁지원센터,경기 수원시 영통구 영통동 975-13 서린프라자빌딩 7층
경기,경기도 수원시 영통구,수원시장애인종합복지관,경기 수원시 영통구 이의동 1088번지 수원시장애인종합복지관
경기,경기도 수원시 영통구,어린이재단 경기지역본부,경기 수원시 영통구 영통동975-13 서린프라자 7층
경기,경기도 수원시 영통구,엘림보호작업장,경기 수원시 영통구 신동디지털엠파이어2101동 712호
경기,경기도 수원시 영통구,수원시노인정신건강복지센터,경기도 수원시 영통구 영통동 영통로396 영통구보건소 4층
경기,경기도 수원시 영통구,삼성전자(주)사회봉사단,경기 수원시 영통구 매탄3동 삼성전자 416번지 사회봉사단
경기,경기도 수원시 영통구,영통종합사회복지관,경기 수원시 영통구 영통동반달로 45
