지역,시군구,기관,주소
경기,경기도 시흥시,군자요양원,경기 시흥시 군자로 507 (거모동)군자요양원
경기,경기도 시흥시,한사랑요양원,경기 시흥시 은행로 151 (은행동)2층
경기,경기도 시흥시,대야실버요양원,경기 시흥시 대은로103번길 7 (대야동)4층
경기,경기도 시흥시,주식회사 삼천복(SK 실버타운),"경기 시흥시 배곧4로 32-19 (정왕동)4층,5층"
경기,경기도 시흥시,늘푸른사랑채주야간보호센터,경기 시흥시 옥구상가1길 29 (정왕동)4층
경기,경기도 시흥시,시흥시남자단기청소년쉼터,경기 시흥시 시흥대로1073번길 4-2 (신천동)시흥시남자단기청소년쉼터
경기,경기도 시흥시,인애요양원2호점,경기 시흥시 뱀내장터로 15 (대야동)302호
경기,경기도 시흥시,내음공간,경기 시흥시 장현능곡로 184 (능곡동)602호
경기,경기도 시흥시,하모니요양원,경기 시흥시 장현능곡로 178 (능곡동)능곡타운 4층
경기,경기도 시흥시,노리터 보호작업장,경기 시흥시 은행로 164 (대야동)203호
경기,경기도 시흥시,경성노인전문요양원,경기 시흥시 연성로 95 (하상동)삼성프라자 2층
경기,경기도 시흥시,경기재활주야간보호센터,"경기 시흥시 수인로3325번길 10 (신천동, 우명프라자)401호"
경기,경기도 시흥시,어우리터,경기 시흥시 공단1대로 341 (정왕동)716호
경기,경기도 시흥시,배곧실버요양원,경기 시흥시 배곧4로 18 (정왕동)5층
경기,경기도 시흥시,사랑스러운노인전문요양원,경기 시흥시 수인로3465번길 21 (신천동)/
경기,경기도 시흥시,오이도요양원,경기 시흥시 오이도7길 16 (정왕동)-
경기,경기도 시흥시,효담요양원,경기 시흥시 월곶중앙로30번안길 2 (월곶동)효담요양원
경기,경기도 시흥시,사회복지법인 희망나누리,경기 시흥시 목감우회로 39 (목감동)501호
경기,경기도 시흥시,사랑나무요양원,"경기 시흥시 수인로3325번길 10 (신천동, 우명프라자)402호"
경기,경기도 시흥시,대야장애인주간보호시설,경기 시흥시 호현로 55 (대야동)2층
경기,경기도 시흥시,자립생활센터 안단테,경기 시흥시 승지로 58 (능곡동)409호
경기,경기도 시흥시,새소망요양원,경기 시흥시 비둘기공원6길 13-1 (대야동)3층
경기,경기도 시흥시,효사랑노인요양원 2호점,경기도 시흥시 은행로 165 (대야동)선우프라자 2층
경기,경기도 시흥시,사랑요양원,경기도 시흥시 비둘기공원7길 48 (대야동)동아프라자 4층
경기,경기도 시흥시,늘푸름장애인주간보호시설,경기도 시흥시 중심상가4길 32 (정왕동)제일빌딩 301호
경기,경기도 시흥시,우물장애인공동생활가정,"경기도 시흥시 오이도2길 21 (정왕동, 정왕쉐르빌)101호"
경기,경기도 시흥시,부활사랑요양원,경기도 시흥시 두문로6
경기,경기도 시흥시,에스유실버홈,"경기도 시흥시 비둘기공원로8, 시흥메디칼빌딩 9층"
경기,경기도 시흥시,(사)한국지체장애인협회 경기도협회 시흥시지회,경기도 시흥시 서촌상가4길17 (정왕동 화신오피스텔 201호)
경기,경기도 시흥시,벽진원장애인생활시설,경기도 시흥시 새우개2길56-9
경기,경기도 시흥시,시흥시니어클럽,경기도 시흥시 월곶중앙로30번길4. 501호
경기,경기도 시흥시,사단법인 더불어 함께,"경기도 시흥시 정왕1동876-283, 3층"
경기,경기도 시흥시,미산지역아동센터,"경기도 시흥시 미산로69, 3층"
경기,경기도 시흥시,큰별지역아동센터,경기도 시흥시 장곡동802-2 금강프라자 301호
경기,경기도 시흥시,신천지역아동센터,경기도 시흥시 수인로3413번길17 (신천동2층)
경기,경기도 시흥시,우물선교회장애인공동생활가정,"경기도 시흥시 정왕3동2022-10 101,102호"
경기,경기도 시흥시,의료법인 정심의료재단 한마음요양병원,경기도 시흥시 월곶동 월곶해안로97
경기,경기도 시흥시,열린자리어린이집,경기도 시흥시 정왕동 정왕대로233번길27
경기,경기도 시흥시,빛고운공동생활가정,경기도 여주시 강천면 곱새기로 32-16걸은리
