지역,시군구,기관,주소
경기,경기도 안산시 상록구,사랑나눔지역아동센터,경기 안산시 상록구 후곡로 34 (사동)2층
경기,경기도 안산시 상록구,행복드림요양원2,경기 안산시 상록구 석삼말로 19 (일동)4층
경기,경기도 안산시 상록구,(A)기쁨의노인복지센터,경기 안산시 상록구 광덕1로 385 (이동)201호
경기,경기도 안산시 상록구,감골요양원,경기도 안산시 상록구 네고지2길 41 (사동)401호
경기,경기도 안산시 상록구,빛과둥지장애인단기보호센터,경기 안산시 상록구 옹주길 50-1 (부곡동)빛과둥지장애인단기보호센터
경기,경기도 안산시 상록구,힐링하우스,경기도 안산시 상록구 석호공원로2길 7 (사동)401호
경기,경기도 안산시 상록구,생수지역아동센터,경기도 안산시 상록구 호동로 66 (일동)3층
경기,경기도 안산시 상록구,다정한요양원,경기도 안산시 상록구 예술대학로208(4층 다정한요양원)
경기,경기도 안산시 상록구,사단법인 경기도시각장애인연합회 안산시지회,"경기도 안산시 상록구 차돌배기로24-3, 105호"
경기,경기도 안산시 상록구,맑은동산,"경기도 안산시 상록구 중보로55, 이동 삼성프라자 704호"
경기,경기도 안산시 상록구,드림지역아동센터,경기 안산시 상록구 초당로 20-1 (사동)2층
경기,경기도 안산시 상록구,드림아이지역아동센터,"경기도 안산시 상록구 세류로16, 1층 드림아이지역아동센터"
경기,경기도 안산시 상록구,햇빛요양원,경기도 안산시 상록구 호동로20
경기,경기도 안산시 상록구,나래울요양원,경기도 안산시 상록구 월피동 광덕산안길12  4층  나래울요양원
경기,경기도 안산시 상록구,연희요양원,"경기도 안산시 상록구 본오동 본삼로11, 6층"
경기,경기도 안산시 상록구,효사랑복지요양원2,"경기도 안산시 상록구 사동 석호로218, 3층"
경기,경기도 안산시 상록구,효사랑복지요양원,"경기도 안산시 상록구 사동 석호로218, 4층"
경기,경기도 안산시 상록구,굿하우스지역아동센터,경기도 안산시 상록구 수암동 원당골5길16-2
경기,경기도 안산시 상록구,서부지역아동센터,"경기도 안산시 상록구 본오동 충장로3길33, 1층"
경기,경기도 안산시 상록구,상록수요양원,"경기도 안산시 상록구 사동 석호로196, 6층"
경기,경기도 안산시 상록구,어르신이행복한세상 요양원,경기도 안산시 상록구 이동 양지편로36
경기,경기도 안산시 상록구,탐라요양원,경기도 안산시 상록구 성포동 예술광장1로124 선경프라자 3층
경기,경기도 안산시 상록구,해오름지역아동센터,경기도 안산시 상록구 이동570-1 201호
경기,경기도 안산시 상록구,안산시상록장애인복지관,경기 안산시 상록구 차돌배기로 24-2 (사동)안산시상록장애인복지관
경기,경기도 안산시 상록구,수암지역아동센터,경기도 안산시 상록구 수암동  488-1
경기,경기도 안산시 상록구,우리집요양센터,"경기도 안산시 상록구 본오동878-11,빛나프라자4층 우리집요양센터"
경기,경기도 안산시 상록구,빛과둥지 장애인보호작업장,경기도 안산시 상록구 부곡동  714-11
경기,경기도 안산시 상록구,스스로함께지역아동센터,경기도 안산시 상록구 부곡동  664-9번지 3층
경기,경기도 안산시 상록구,안산시건강가정지원센터,경기도 안산시 상록구 성포동  홈플러스 안산점 1층
경기,경기도 안산시 상록구,우리동네지역아동센터,"경기 안산시 상록구 성호로6길 22-3 (일동, 현대쉐르빌)576-4번지 1층"
경기,경기도 안산시 상록구,사단법인 굿파트너즈,경기 안산시 상록구 이동   715번지 405호
경기,경기도 안산시 상록구,맑은동산단기보호센터,경기 안산시 상록구 이동   716-1
경기,경기도 안산시 상록구,가톨릭여성상담소,경기도 안산시 상록구 한양대학1길60 대학동성당 별관 2층
경기,경기도 안산시 상록구,밀알행복한홈스쿨 지역아동센터,경기 안산시 상록구 월피동 522-14/3
경기,경기도 안산시 상록구,미라클랜드지역아동센터,"경기도 안산시 상록구 성호로19길22,1층(부곡동)"
경기,경기도 안산시 상록구,다리꿈상담센터,경기 안산시 상록구 이동710-12번지 2층
경기,경기도 안산시 상록구,한국농아인협회안산시지회,경기 안산시 상록구 차돌배기로 24-3 (사동)3층
경기,경기도 안산시 상록구,안산시장애인주간보호시설,경기 안산시 단원구 원초로 80 (초지동) 안산시장애인주간보호시설
경기,경기도 안산시 상록구,초록반디의집,경기도 안산시 상록구 성호로 134 (일동)1층 주택
경기,경기도 안산시 상록구,빛과둥지,경기도 안산시 상록구 부곡동 시낭공원안길 22
