지역,시군구,기관,주소
경기,경기도 안성시,수산나네집 뜰안,경기 안성시 대덕면 신령로 234-32층
경기,경기도 안성시,사회복지법인 다올,경기 안성시 보개면 보개원삼로 723-24다올
경기,경기도 안성시,한사랑너싱홈,경기 안성시 죽산면 용설로 372한사랑너싱홈
경기,경기도 안성시,참사랑요양원,경기 안성시 대덕면 한사울길 54-9참사랑요양원
경기,경기도 안성시,동안성노인주간보호센터,경기 안성시 일죽면 대화길 87-17-
경기,경기도 안성시,의료법인 청천의료재단,경기 안성시 시장길 58 (서인동)안성 성모병원
경기,경기도 안성시,(사)한국장애인부모회 안성시지부,경기 안성시 금광면 금광초교길 49-
경기,경기도 안성시,요셉의집,경기 안성시 양성면 미리내성지로 342-25단독주택
경기,경기도 안성시,평안노인복지관,경기 안성시 보개면 동평길 192-
경기,경기도 안성시,삼성요양원,경기도 안성시 금광면 배티로 410-23삼성요양원
경기,경기도 안성시,시니어스 너싱홈,경기도 안성시 양성면 지남촌길 51
경기,경기도 안성시,안성의료복지사회적협동조합,경기도 안성시 장기로 48 (인지동)2층
경기,경기도 안성시,한길마을,경기도 안성시 고삼면 고삼호수로31-21
경기,경기도 안성시,(A)유니실버요양원,경기도 안성시 죽산면 죽양대로197-22
경기,경기도 안성시,공도물댄요양원,경기도 안성시 공도읍 웅교4길46-22
경기,경기도 안성시,안성맞춤지역자활센터,"경기도 안성시 낙원동 장기로107, 낙원동 시민회관 4층"
경기,경기도 안성시,하랑지역아동센터,경기도 안성시 공도읍 진건중길89(진사리 117)
경기,경기도 안성시,사회복지법인 한길,경기도 안성시 고삼면 고삼호수로31-25
경기,경기도 안성시,만민복지타운,경기도 안성시 미양면 법전길 330-36
경기,경기도 안성시,서안성푸드뱅크,경기도 안성시 공도읍 진사길79-17
경기,경기도 안성시,파라밀노인복지센터,경기 안성시 죽산면 녹배길 135장능리 783-3
경기,경기도 안성시,안성동인요양병원,경기도 안성시 인지동 인지1길 15안성동인요양원
경기,경기도 안성시,신생보육원,경기도 안성시 금광면 오산리 405-1
경기,경기도 안성시,하늘정원,경기도 안성시 공도읍 마정리 200-378  (상마정앞길 11)
경기,경기도 안성시,케어센터 마노,경기도 안성시 남사당로196-61
경기,경기도 안성시,안성시동부무한돌봄네트워크팀,경기 안성시 장기1길 62 (성남동)구. 보훈회관
경기,경기도 안성시,안성시건강가정다문화가족지원센터,경기도 안성시 산수유길 15 (숭인동)안성종합사회복지관 3층 301호
경기,경기도 안성시,무지개뜨는마을,경기도 안성시 미양면 법전길 330-36무지개뜨는마을
경기,경기도 안성시,(사)한국농아인협회 안성시수어통역센터,경기 안성시 봉남동 4
경기,경기도 안성시,리라아동복지관,경기 안성시 원곡면칠곡리 486-3
경기,경기도 안성시,가온,경기 안성시 보개면 절가리길 73(적가리 346-1)
경기,경기도 안성시,안성보은의집,경기 안성시 봉산동 26-1
경기,경기도 안성시,온정그룹홈,경기 안성시 대덕면진현리 유안아파트 103동 504호
경기,경기도 안성시,평화복지선교회 평화원,경기 안성시 보개면 보개원삼로 735평화원
경기,경기도 안성시,사회복지법인 평안밀알복지재단,경기 안성시 공도읍승두리635-19
경기,경기도 안성시,안성시중증장애인자립생활센터,경기 안성시 구포동38번지
경기,경기도 안성시,늘푸른노인주간보호센터,경기 안성시 공도읍진사리305-1
경기,경기도 안성시,성진그룹홈,경기 안성시 금광면현곡리273
경기,경기도 안성시,성요셉의집,경기 안성시 원곡면 새터길 74성요셉의집
경기,경기도 안성시,혜성일터,경기도 안성시 양성면 양성로 581혜성일터
경기,경기도 안성시,문기지역아동센터,경기 안성시 공도읍양기리353-1
경기,경기도 안성시,재)다비타의 집,경기 안성시 죽산면장원리995-1번지
경기,경기도 안성시,구세군안성요양원,경기 안성시 금석동30-1
경기,경기도 안성시,죽산다사랑지역아동센터,경기 안성시 죽산면죽산리425-3
경기,경기도 안성시,동안성병원,경기도 안성시 일죽면 금일로1-38
경기,경기도 안성시,경기도의료원 안성병원,경기 안성시 남파로 95 (당왕동)경기도의료원 안성병원
경기,경기도 안성시,행복나눔지역아동센터,경기 안성시 미양면86-2 번지
경기,경기도 안성시,행복한 집,"경기도 안성시 금산1길 13 (금산동, 삼부아파트)101동 109호"
경기,경기도 안성시,사단법인 경기도장애인정보화협회 안성시지부,경기 안성시 봉남동4
경기,경기도 안성시,유무상통마을,경기 안성시 양성면미산리175-1
경기,경기도 안성시,공도지역아동센터,경기 안성시 공도읍진사리349-2
경기,경기도 안성시,사)경기도장애인복지회 안성시지부,경기 안성시 구포동38
경기,경기도 안성시,밝은집요양원,경기도 안성시 보개면 남사당로 489
경기,경기도 안성시,백합 그룹홈,경기 안성시 공도읍 마정리75-1 구문길 15번지
경기,경기도 안성시,수산나네 집,경기 안성시 대덕면 신령리80-2
경기,경기도 안성시,사)한국지체장애인협회 경기도협회 안성시지회,경기도 안성시 중앙로462번길8
경기,경기도 안성시,경기지역아동센터,경기 안성시 공도읍 승두길 8 3층 경기지역아동센터
경기,경기도 안성시,안성시사회복지협의회,경기도 안성시 중앙로451번길11 한마음복지관 2층
경기,경기도 안성시,의료법인 성요셉병원,경기 안성시 남파로 169 (당왕동)안성성요셉병원
경기,경기도 안성시,사회복지법인 혜성원,경기도 안성시 양성로581
경기,경기도 안성시,안성실버인력뱅크,경기 안성시 장기로 109 (낙원동)안성시노인복지관
경기,경기도 안성시,안성시노인주간보호센터,경기 안성시 동본동89-2
경기,경기도 안성시,안성시노인복지관,경기도 안성시 장기로 109 (낙원동)안성시노인복지관
경기,경기도 안성시,구세군안성평화의마을,경기 안성시 발화동 132-30
경기,경기도 안성시,성베드로의집,경기 안성시 사곡동 263-10
경기,경기도 안성시,안성종합사회복지관,경기 안성시 봉남동349-2
경기,경기도 안성시,파라밀요양원,경기 안성시 죽산면 장릉리783-3
