지역,시군구,기관,주소
경기,경기도 안양시 동안구,돌봄재활노인주간보호센터(안양점),"경기 안양시 동안구 평촌대로374번길 46 (비산동, 원평노블레스)101동 2층"
경기,경기도 안양시 동안구,사회복지법인 돕는사람들,경기 안양시 동안구 흥안대로427번길 38 (관양동)1106호
경기,경기도 안양시 동안구,밀알장애인자립생활센터,경기도 안양시 동안구 평촌대로 358 (비산동)두진빌딩 302호
경기,경기도 안양시 동안구,안양시니어클럽,경기도 안양시 동안구 흥안대로94번길23
경기,경기도 안양시 동안구,성결재가노인복지센터,경기도 안양시 동안구 경수대로938
경기,경기도 안양시 동안구,LH동편행복한홈스쿨 지역아동센터,경기도 안양시 동안구 관양동 동편로120
경기,경기도 안양시 동안구,관양흰돌지역아동센터,경기도 안양시 동안구 관양동 관악대로434번길9-5
경기,경기도 안양시 동안구,비산어린이집,경기도 안양시 동안구 경수대로868번길870
경기,경기도 안양시 동안구,사단법인 좋은이웃,경기도 안양시 동안구 경수대로938
경기,경기도 안양시 동안구,재단법인 유진벨,경기도 안양시 동안구 관양동  1591번지 평촌아크로타워 B동 612호
경기,경기도 안양시 동안구,(사)굿네이버스인터내셔날 경기안양지부,경기도 안양시 만안구 안양동622-207 남서울빌딩 6층
경기,경기도 안양시 동안구,1318해피존 해밀지역아동센터,"경기도 안양시 동안구 관양동1390-5, 1층"
경기,경기도 안양시 동안구,평화의집,경기도 안양시 동안구 임곡로60
경기,경기도 안양시 동안구,희망박달홈,경기 안양시 만안구 박달로498번길 18 (박달동)우성 105-108
경기,경기도 안양시 동안구,호계실버타운,경기 안양시 동안구 호계3동엘에스로 45
경기,경기도 안양시 동안구,안양시비산종합사회복지관,경기도 안양시 동안구 임곡로 74 (비산동)안양시비산종합사회복지관
경기,경기도 안양시 동안구,안양시부흥종합사회복지관,경기 안양시 동안구 부흥동달안로 39 (안양시부흥종합사회복지관)
경기,경기도 안양시 동안구,안양시노인종합복지관,경기 안양시 동안구 경수대로665번길 74-30 (호계동)안양시노인종합복지관
