지역,시군구,기관,주소
경기,경기도 용인시 기흥구,사랑방요양원 호수점,"경기 용인시 기흥구 동백5로 23 (중동)7,8층"
경기,경기도 용인시 기흥구,두온,경기 용인시 기흥구 상갈로23번길 2 (상갈동)204호
경기,경기도 용인시 기흥구,반디재활주간보호센터,경기 용인시 기흥구 동백중앙로 203 (중동)2층
경기,경기도 용인시 기흥구,(주)원하트노인전문요양센터,경기 용인시 기흥구 죽전로43번길 11-28 (보정동)-
경기,경기도 용인시 기흥구,향상행복한센터,경기 용인시 기흥구 언동로 140 (상하동)-
경기,경기도 용인시 기흥구,연세요양원,경기 용인시 기흥구 어정로 139 (중동)A동4층
경기,경기도 용인시 기흥구,사랑나무요양원,경기도 용인시 기흥구 구성1로 20 (청덕동)3층 사랑나무요양원
경기,경기도 용인시 기흥구,하희의집,경기도 용인시 기흥구 중부대로773번길 6-4 (상하동)A동
경기,경기도 용인시 기흥구,하희의집 B,경기도 용인시 기흥구 중부대로773번길 6-4 (상하동)6-4 B동 2층
경기,경기도 용인시 기흥구,늘품 쉼터,경기도 용인시 기흥구 사은로126번길/
경기,경기도 용인시 기흥구,의료법인효녀의료재단 효자병원,경기도 용인시 기흥구 중부대로874번길1-30
경기,경기도 용인시 기흥구,삼성노블카운티,경기도 용인시 기흥구 덕영대로1751
경기,경기도 용인시 기흥구,물푸레지역아동센터,경기도 용인시 기흥구 청덕동 휴먼시아물푸레마을9단지아파트 (901~913동)관리사무소동 1층
경기,경기도 용인시 기흥구,LH행복꿈터 동백푸른학교지역아동센터,경기도 용인시 기흥구 중동 동백중앙로41 (중동 초당마을주공아파트 관리사무동)
경기,경기도 용인시 기흥구,용인시기흥노인복지관,경기도 용인시 기흥구 신갈동(산양로 71) 용인시기흥노인복지관
경기,경기도 용인시 기흥구,노블실버홈,경기도 용인시 기흥구 구갈동 신구로64
경기,경기도 용인시 기흥구,동백지역아동센터,경기도 용인시 기흥구 동백동 동백8로131번길 16주공9단지 내 상가 2층
경기,경기도 용인시 기흥구,Happy 홈스쿨 지역아동센터,경기도 용인시 기흥구 중동 동백1로23번길 16.
경기,경기도 용인시 기흥구,원하트노인전문요양센터,경기도 용인시 기흥구 보정동  1202
경기,경기도 용인시 기흥구,사단법인 사람과평화,경기도 용인시 기흥구 구갈동  585-9
경기,경기도 용인시 기흥구,신갈종합복지센터,경기도 용인시 기흥구 신갈동  40-22
경기,경기도 용인시 기흥구,흥덕지역아동센터,경기 용인시 기흥구 영덕동   997-9
경기,경기도 용인시 기흥구,기흥디딤돌지역아동센터,경기도 용인시 기흥구 고매동692-1 고매다목적복지회관
경기,경기도 용인시 기흥구,용인시기흥장애인복지관,경기 용인시 기흥구 보정동   1097-8(경기도 용인시 기흥구 용구대로 2469번길 94)
경기,경기도 용인시 기흥구,강남병원,경기 용인시 기흥구 신갈동   65
경기,경기도 용인시 기흥구,경기도 노인전문 용인병원,경기도 용인시 기흥구 중부대로 940 (상하동)경기도 노인전문 용인병원
경기,경기도 용인시 기흥구,사단법인 여럿이함께,경기 용인시 기흥구 마북동   19-8
경기,경기도 용인시 기흥구,용인정신병원,경기 용인시 기흥구 상하동   4번지
경기,경기도 용인시 기흥구,숲속마을지혜민학교,경기 용인시 기흥구 신갈동   53-2
경기,경기도 용인시 기흥구,사)청소년불씨운동,경기도 용인시 기흥구 민속촌로 51 (보라동)2층
경기,경기도 용인시 기흥구,강남실버요양원,경기도 용인시 기흥구 보정동860-5
경기,경기도 용인시 기흥구,동백사랑마루,경기 용인시 기흥구 중동   846-1번지 지젤타워 5층
경기,경기도 용인시 기흥구,사단법인 굿네이버스 인터내셔날 경기1본부,경기 용인시 기흥구 구갈동   390-1 드림프라자 201호
경기,경기도 용인시 기흥구,구성노인전문요양원,경기도 용인시 기흥구 구성1로28 (청덕동) 구성노인전문요양원
경기,경기도 용인시 기흥구,용인시장애인부모회,경기 용인시 기흥구 구갈동   384번지 용인시다목적복지회관
경기,경기도 용인시 기흥구,한국청소년지원협회,경기도 용인시 기흥구 보정동  1261-4번지.장은프라자 702-4호
경기,경기도 용인시 기흥구,동수원노인전문요양원,경기도 용인시 기흥구 흥덕2로87번길 17 (영덕동)세림프라자 6층
경기,경기도 용인시 기흥구,해바라기 의료소비자 생활협동조합,경기 용인시 기흥구 신갈동   1-6번지 한솔프라자 201호
경기,경기도 용인시 기흥구,윈바신갈지역아동센터,경기 용인시 기흥구 신갈동52-19 2층
경기,경기도 용인시 기흥구,사랑나무 요양원,"경기 용인시 기흥구 청덕동용인구성지구 상업용지 1-1 주공프라자 3,4,5층"
경기,경기도 용인시 기흥구,삼성전자(주) 기술원자원봉사센터,경기도 수원시 영통구 매탄동560(신주소영통구 삼성로 130번지)
경기,경기도 용인시 기흥구,신갈푸른학교 지역아동센터,경기 용인시 기흥구 신정로33번길 3 (신갈동)420-8번지 2층
경기,경기도 용인시 기흥구,강남대학교,경기도 용인시 기흥구 구갈동 강남로 40강남대학교
경기,경기도 용인시 기흥구,루터대학교용인노인복지센터,경기 용인시 기흥구 금화로82번길 20 (상갈동)1층(상길동) 루터대학교용인노인복지센터
경기,경기도 용인시 기흥구,굿네이버스 경기용인지부,경기도 용인시 기흥구 구갈동  579번지 아카데미프라자 505호
경기,경기도 용인시 기흥구,향상행복한홈스쿨,경기 용인시 기흥구 상하동509
경기,경기도 용인시 기흥구,한국자원복지재단,"경기도 수원시 팔달구 중부대로 215 (우만동, 선경아파트)101동 207호 (선경아파트 상가)"
경기,경기도 용인시 기흥구,더사랑주간보호센터,경기 용인시 기흥구 신갈동388-199
경기,경기도 용인시 기흥구,용인재가노인지원서비스센터 효담채,경기 용인시 기흥구 보정동1261-3 한솔프라자 7층
경기,경기도 용인시 기흥구,사단법인 희망의 숲,경기 용인시 기흥구 신갈동1-6 한솔프라자 202호
