지역,시군구,기관,주소
경기,경기도 용인시 수지구,너싱홈한솔,경기 용인시 수지구 현암로 157 (죽전동)7층
경기,경기도 용인시 수지구,무럭무럭지역아동센터,경기 용인시 수지구 진산로11번길 6 (풍덕천동)다목적복지관 2층
경기,경기도 용인시 수지구,노인요양원 희망,경기 용인시 수지구 현암로 157 (죽전동)6층
경기,경기도 용인시 수지구,"용인시단기청소년쉼터(남자,푸른꿈)",경기 용인시 수지구 문인로39번길 7 (풍덕천동)용인시단기청소년쉼터
경기,경기도 용인시 수지구,의료법인수지의료재단 수지요양병원,경기 용인시 수지구 풍덕천로22번길 15 (풍덕천동)수지요양병원
경기,경기도 용인시 수지구,주식회사 명품우리들요양원,경기 용인시 수지구 현암로 95 (죽전동)7층
경기,경기도 용인시 수지구,수지지역아동센터,경기도 용인시 수지구 문인로31번길 17-26 (풍덕천동)수지지역아동센터
경기,경기도 용인시 수지구,수지열린요양원,경기도 용인시 수지구 심곡로27
경기,경기도 용인시 수지구,수지성모요양원,경기도 용인시 수지구 고기로163번길17
경기,경기도 용인시 수지구,광교마을지역아동센터,"경기도 용인시 수지구 상현동 광교마을로90 (상현동,휴먼시아아파트주민복지관1층)"
경기,경기도 용인시 수지구,성은실버케어스 2관,경기도 용인시 수지구 죽전동 현암로73
경기,경기도 용인시 수지구,(One+)용인동천노인복지센터,경기 용인시 수지구 동천로 375-10 (동천동)101호
경기,경기도 용인시 수지구,서수지요양원,경기도 용인시 수지구 성복동 도마치로89번길 4-18-
경기,경기도 용인시 수지구,시립수지어린이집,경기도 용인시 처인구 포은대로435 수지구청 문화복지센터1층
경기,경기도 용인시 수지구,아름다운노인요양센터,경기도 용인시 수지구 현암로160 (죽전동)
경기,경기도 용인시 수지구,용인시수지장애인복지관,경기 용인시 수지구 풍덕천동   포은대로435
경기,경기도 용인시 수지구,용인시수지노인복지관,경기 용인시 수지구 풍덕천동   포은대로 435
경기,경기도 용인시 수지구,용인시수지장애인복지관 부설 주간보호센터,"경기 용인시 수지구 풍덕천동   포은대로 435, 수지복지센터3층"
경기,경기도 용인시 수지구,"용인시중장기청소년쉼터(여자,푸른꿈)",경기도 용인시 수지구 풍덕천로189번길4-11
경기,경기도 용인시 수지구,지구촌보호작업장,경기 용인시 수지구 신봉동46-3 신봉프라자 2층
경기,경기도 용인시 수지구,무지개동산 해오름의집,경기 용인시 수지구 성복동510-5
경기,경기도 용인시 수지구,성은실버케어스,경기 용인시 수지구 죽전1동1249
경기,경기도 용인시 수지구,지구촌노인복지센터,경기 용인시 수지구 신봉동46-3 신봉프라자 208호
경기,경기도 용인시 수지구,지구촌사회복지재단,경기 용인시 수지구 신봉1로48번길 48 (신봉동)405
