지역,시군구,기관,주소
경기,경기도 의왕시,사랑채재가노인복지센터,경기 의왕시 내손로 88-6 (내손동)1호
경기,경기도 의왕시,해온,경기 의왕시 경수대로 257 (고천동)대영골든밸리 302호
경기,경기도 의왕시,더세움,"경기 의왕시 부곡시장3길 16 (삼동, 우성2차아파트)나동 2234호"
경기,경기도 의왕시,아가페의료재단 시티병원,경기도 의왕시 오전천로 29 (오전동)
경기,경기도 의왕시,의왕시장애인주간보호시설,경기도 의왕시 오전로 27 (고천동)2층
경기,경기도 의왕시,재활플러스요양원,경기도 의왕시 계원대학로 25 (내손동)503호
경기,경기도 의왕시,재활플러스요양원 2호점,경기도 의왕시 내손로 82 (내손동)신성프라자 7층
경기,경기도 의왕시,의왕시장애아재활치료교육센터,"경기도 의왕시 오전공업길13, 105호"
경기,경기도 의왕시,(사)대한노인복지진흥회,"경기도 의왕시 계원대학로40, 8층"
경기,경기도 의왕시,녹향원(대한불교조계종사회복지재단),경기도 의왕시 청계로376
경기,경기도 의왕시,에덴의집,경기도 의왕시 초평동265-2
경기,경기도 의왕시,의왕시수화통역센터,경기도 의왕시 고천동 경수대로236 402호
경기,경기도 의왕시,청계장애인주간보호시설,경기도 의왕시 청계동 덕장로19 2층 청계자애인주간보호시설
경기,경기도 의왕시,의왕시니어클럽,경기도 의왕시 청계동824-2
경기,경기도 의왕시,행복한지역아동센터,경기도 의왕시 오전동  323-1 202호
경기,경기도 의왕시,의왕시장애인자립생활센터,경기도 의왕시 삼동 부곡복지관길 53부곡복지회관 2층    (삼동 286-16)
경기,경기도 의왕시,의왕장애인성폭력상담센터,경기도 의왕시 삼동  꿈마을상가 202호
경기,경기도 의왕시,건강누리의왕시립노인요양원,경기 의왕시 왕곡동 590-1
경기,경기도 의왕시,희망나래장애인복지관,경기도 의왕시 오전로27
경기,경기도 의왕시,모락산아이들,경기 의왕시 내손순환로 117 (내손동)2층
경기,경기도 의왕시,의왕시다문화가족지원센터,경기도 의왕시 청계동983번지 청계종합사회복지관 4층 의왕시다문화가족지원센터
경기,경기도 의왕시,의왕시건강가정지원센터,경기도 의왕시 덕장로 19 (청계동)청계종합사회복지관 4층
경기,경기도 의왕시,청계꿈의학교,경기 의왕시 청계동 963
경기,경기도 의왕시,늘푸른 요양원 의왕점,"경기도 의왕시 왕곡로16 (의왕프라자 6,7,8층)"
경기,경기도 의왕시,의왕시청소년수련관,경기 의왕시 고천동100-1
경기,경기도 의왕시,삼성SDI(주),경기도 용인시 기흥구 공세동 삼성SDI중앙연구소인사팀
경기,경기도 의왕시,계요노인전문병원,경기 의왕시 왕곡동280-1 번지
경기,경기도 의왕시,명륜보육원,경기 의왕시 청계동286
경기,경기도 의왕시,의왕시아름채노인복지관,경기 의왕시 고천동100
경기,경기도 의왕시,글로벌인재스쿨 지역아동센터,경기 의왕시 삼동215-71 광명빌딩
경기,경기도 의왕시,계요병원,경기 의왕시 왕곡동 280-1
경기,경기도 의왕시,한국한센복지협회,경기 의왕시 오전동 산86
경기,경기도 의왕시,의왕시사랑채노인복지관,경기 의왕시 내손2동 644-1
