지역,시군구,기관,주소
경남,경상남도 산청군,산청한일노인복지센터,경남 산청군 산청읍 웅석봉로67번길 24.
경남,경상남도 산청군,한사랑 실버타운,경상남도 산청군 생비량면 비량로 411-7
경남,경상남도 산청군,산엔청복지관,경상남도 산청군 산청읍 중앙로 67
경남,경상남도 산청군,산청군공립지역아동센터,경상남도 산청군 신안면 원지강변로15번길 1715번길 17
경남,경상남도 산청군,참포도지역아동센터,경상남도 산청군 생비량면 비량로34번길17-2
경남,경상남도 산청군,황금수레지역아동센터,경상남도 산청군 차황면 친환경로3599-14
경남,경상남도 산청군,(주)누리 가현누리실버타운,경상남도 산청군 단성면 목화로474번길14-2
경남,경상남도 산청군,산청한방실버타운,경상남도 산청군 금서면 친환경로2016
경남,경상남도 산청군,산청선문노인요양원,경상남도 산청군 생비량면 비량로29
경남,경상남도 산청군,산청군다문화가족지원센터,경상남도 산청군 꽃봉산로79번길31-3 2층
경남,경상남도 산청군,산청성모노인복지센터,경남 산청군 금서면평촌리 289
경남,경상남도 산청군,한일노인요양원,경남 산청군 산청읍옥산리84
경남,경상남도 산청군,산청실버그룹홈,경남 산청군 단성면사월리1138-1
경남,경상남도 산청군,산청성모노인전문요양원,경남 산청군 금서면평촌리289
경남,경상남도 산청군,장애인거주시설 이레마을,경남 산청군 산청읍 동의보감로312번길 176-57장애인거주시설 이레마을
경남,경상남도 산청군,산청복음실버타운,경남 산청군 단성면 방목리268-1
경남,경상남도 산청군,산청복음노인복지센터,경남 산청군 단성면 목화로 991산청복음노인복지센터
경남,경상남도 산청군,산청인애노인통합지원센터,경상남도 산청군 산청읍 산청대로1381번길17
경남,경상남도 산청군,산청복음전문요양원,경남 산청군 단성면 방목리 268-1
경남,경상남도 산청군,(재)프란치스꼬회산청분소,경남 산청군 산청읍 산청대로1381번길 17 (성심원)산청 성심원
