지역,시군구,기관,주소
경남,경상남도 합천군,합천가정행복상담센터,경남 합천군 합천읍 동서로 39종합사회복지관 3층
경남,경상남도 합천군,합천노인복지센터,경상남도 합천군 삼가면 삼가로 10-13
경남,경상남도 합천군,가야지역아동센터,경상남도 합천군 가야면 가야시장로97-1
경남,경상남도 합천군,합천군립노인전문요양원,경남 합천군 초계면 우회로 72-14우회로 72-14
경남,경상남도 합천군,광명노인요양원,경남 합천군 가야면치인리 치인5길 118번지
경남,경상남도 합천군,평화마을사랑의집,경상남도 합천군 청덕면 덕진로 301-4평화마을사랑의집
경남,경상남도 합천군,사회복지법인 에벤에셀,경남 합천군 야로면월광리 245
경남,경상남도 합천군,사회복지법인 회암,경상남도 합천군 적중면 우회로1198
경남,경상남도 합천군,사)느티나무경상남도장애인부모회합천군지부,경남 합천군 합천읍 남정길 79종합사회복지관 별관 1층
경남,경상남도 합천군,노블하임노인전문요양원,경남 합천군 용주면월평리781
경남,경상남도 합천군,합천노인전문요양원,경상남도 합천군 삼가면  삼가로 10-13
