지역,시군구,기관,주소
경북,경상북도 구미시,샘터지역아동센터,경북 구미시 도봉로5안길 11-16 (도량동).
경북,경상북도 구미시,구미한겸재가노인복지센타,경북 구미시 선산대로 51 (지산동).
경북,경상북도 구미시,다봉주간보호센터,경북 구미시 봉곡북로13길 30 (봉곡동).
경북,경상북도 구미시,노인요양시설 영남힐실버타운,경북 구미시 무을면 무을들길 100.
경북,경상북도 구미시,장수노인복지마을 재가노인복지센터 선산점,경북 구미시 선산읍 선주로12길 6.
경북,경상북도 구미시,예은복지재단 은가람노인복지타운,경상북도 구미시 선산읍 유학길 467.
경북,경상북도 구미시,강동재가노인지원서비스센터,경상북도 구미시 인동가산로 473-38 (신동).
경북,경상북도 구미시,의료법인 서정의료재단,경상북도 구미시 인동20길 38-9 (진평동).
경북,경상북도 구미시,인동지역아동센터,경상북도 구미시 인동중앙로12길 5-4 (인의동)2층
경북,경상북도 구미시,경상북도다문화가족지원센터,경상북도 구미시 형곡동로2길 4 (형곡동)
경북,경상북도 구미시,노인요양시설길노인복지센터,경상북도 구미시 상사동로 201 (사곡동)길노인복지센터
경북,경상북도 구미시,화목재가노인복지센터,경상북도 구미시 야은로9길23-1
경북,경상북도 구미시,율곡지역아동센터,경상북도 구미시 비산로5안길10
경북,경상북도 구미시,강동주간보호센터,경상북도 구미시 검성로115-1
경북,경상북도 구미시,경희한방요양원,경상북도 구미시 인동26길6
경북,경상북도 구미시,태양의서쪽,경상북도 구미시 고아읍 선산대로974-4
경북,경상북도 구미시,점프지역아동센터,경상북도 구미시 검성로70-14
경북,경상북도 구미시,(사)한국척수장애인경북협회 구미시지회,경상북도 구미시 송정대로119(한우2차상가내)
경북,경상북도 구미시,장수노인복지마을,경상북도 구미시 고아읍 들성로15길22-23
경북,경상북도 구미시,노인요양공동생활가정 꽃마실,경상북도 구미시 선산읍 선상동로125-86
경북,경상북도 구미시,송정지역아동센터,경상북도 구미시 송정대로6길 73-1 (송정동)
경북,경상북도 구미시,한국교통장애인협회 구미지회,경상북도 구미시 원평동 산책길55-31
경북,경상북도 구미시,강동노인복지타운,경상북도 구미시 인동가산로 473-38 (신동)강동노인복지타운
경북,경상북도 구미시,성심셀린의 집,경상북도 구미시 선산읍 선주로11길14
경북,경상북도 구미시,사단법인 경북이주민센터,경북 구미시 송원동로 77 (원평동)3층
경북,경상북도 구미시,(사)경북장애인부모회 구미시지부,경상북도 구미시 봉곡로14길 23-7 (봉곡동)1층
경북,경상북도 구미시,노인요양시설구미간호사의집,경상북도 구미시 고아읍 들성로15길22-11
경북,경상북도 구미시,노인요양시설 구미탑,경상북도 구미시 광평동302-17 구미탑요양원
경북,경상북도 구미시,사단법인 낮은자리,경북 칠곡군 왜관읍 강변대로 1308 (왜관다채움)102동 501호
경북,경상북도 구미시,노인요양시설 행복요양원,경상북도 구미시 상모로55
경북,경상북도 구미시,양포지역아동센터,경상북도 구미시 옥계동 흥안로2길6-6(옥계동)
