지역,시군구,기관,주소
경북,경상북도 포항시 남구,실버천사요양원,경북 포항시 남구 문예로 75 (대도동).
경북,경상북도 포항시 남구,구룡포 꾸러기 마을돌봄터,경북 포항시 남구 구룡포읍 호미로 1932층
경북,경상북도 포항시 남구,선재장애인주간보호센터,경북 포항시 남구 오천읍 문덕로11번길 32-4.
경북,경상북도 포항시 남구,동해요양원,경상북도 포항시 남구 동해면 동해안로 5756동해요양원
경북,경상북도 포항시 남구,(사)경상북도장애인부모회 포항시지부,경상북도 포항시 남구 상대로 152 (대도동).
경북,경상북도 포항시 남구,다정다감지역아동센터,경상북도 포항시 남구 상공로56번길 34-1 (대도동).
경북,경상북도 포항시 남구,담쟁이주간보호센터,경상북도 포항시 남구 연일읍 중단길 50담쟁이주간보호센터
경북,경상북도 포항시 남구,상락원,경상북도 포항시 남구 장기면 산서길54
경북,경상북도 포항시 남구,경상북도여성장애인복지관,경상북도 포항시 남구 오천읍 냉천로252번길5-10
경북,경상북도 포항시 남구,경상북도시각장애인복지관 주간보호센터,경상북도 포항시 남구 섬안로175
경북,경상북도 포항시 남구,포항종합사회복지관,경상북도 포항시 남구 상공로46번길13(대도동)
경북,경상북도 포항시 남구,동호요양실버타운,경상북도 포항시 남구 호미곶면 해맞이로125번길287
경북,경상북도 포항시 남구,포항재가노인지원서비스센터,"경상북도 포항시 남구 중앙로 154 (해도동)해도동, 비즈타워"
경북,경상북도 포항시 남구,솔빛그룹홈공동생활가정,경상북도 포항시 남구 축항로 75-1 (송도동)4층
경북,경상북도 포항시 남구,보람의집,경상북도 포항시 남구 해도동 문예로82번길31 한일하이츠 502호
경북,경상북도 포항시 남구,하늘꿈터지역아동센터,경상북도 포항시 남구 연일읍 철강로25번길28-1
경북,경상북도 포항시 남구,한울지역아동센터,경상북도 포항시 남구 동해면 일월로41번길 5-1협성4동 3층 한울지역아동센터
경북,경상북도 포항시 남구,우리재가복지센터,경상북도 포항시 북구 중흥로225번길 3 3층
경북,경상북도 포항시 남구,경북점자도서관,경상북도 포항시 북구 장성동1510-10번지 경북점자도서관
경북,경상북도 포항시 남구,양포행복한홈스쿨지역아동센터,경상북도 포항시 남구 장기면 양포리 281
경북,경상북도 포항시 남구,경북동부아동보호전문기관(경북동부지부),경북 포항시 남구 대이로25번길 12 (대잠동)3층
경북,경상북도 포항시 남구,가온누리공동생활가정,경상북도 포항시 남구 대송면 제내리 868번지 3층
경북,경상북도 포항시 남구,선재재가노인지원서비스센터,경북 포항시 북구 칠성로47번길 4 (남빈동)선재빌딩 4층
경북,경상북도 포항시 남구,포항이주노동자센터,경상북도 포항시 남구 대송면 제내리 694-2 (2층)
경북,경상북도 포항시 남구,브솔시냇가,경북 포항시 남구 대도동 62-3 선교관
경북,경상북도 포항시 남구,석병요양원,경북 포항시 남구 구룡포읍 일출로 318 석병요양원
경북,경상북도 포항시 남구,해오름지역아동센터,경북 포항시 남구 동해면 466
경북,경상북도 포항시 남구,해도좋은이웃지역아동센터,경북 포항시 남구 해도동   123-1번지
경북,경상북도 포항시 남구,의료법인 한성재단 포항세명기독병원,경북 포항시 남구 대도동 94-5번지
경북,경상북도 포항시 남구,포항다솜지역아동센터,경북 포항시 남구 오천읍 정몽주로616번길 9-2포항다솜지역아동센터
경북,경상북도 포항시 남구,사랑어린이집,경북 포항시 남구 해도동   181-1번지
경북,경상북도 포항시 남구,사단법인 대한노년자원봉사회,경북 포항시 남구 해도동   16-13
경북,경상북도 포항시 남구,구룡포지역아동센터,경상북도 포항시 남구 구룡포읍 구룡포길65번길 8-2신화입시학원3층
경북,경상북도 포항시 남구,(주) 실버천사,경상북도 포항시 남구 문예로75
경북,경상북도 포항시 남구,예우리,경상북도 포항시 남구 동해면 금광로79
