지역,시군구,기관,주소
광주,광주광역시 동구,사무엘공동생활가정,광주 동구 필문대로171번길 27-7 (산수동)사무엘공동생활가정
광주,광주광역시 동구,동구청소년상담복지센터,광주 동구 금남로 246 (금남로1가)YMCA 3층
광주,광주광역시 동구,광주어울림장애인주간보호센터,광주 동구 백서로 116 (학동)4층
광주,광주광역시 동구,나눔주간보호센터,광주 동구 중흥로 230 (계림동)나눔주간보호센터
광주,광주광역시 동구,행복재활원,광주 동구 증심천로 53 (학동)행복재활원
광주,광주광역시 동구,광주광역시여자중장기청소년쉼터,광주 동구 지원로 34 (소태동)5층
광주,광주광역시 동구,사단법인 한올장애인자립복지회,광주 동구 천변우로 453 (금동)5층
광주,광주광역시 동구,꿈그린공동생활가정,광주 동구 소태길3번길 41-3 (소태동)꿈그린공동생활가정
광주,광주광역시 동구,행복나래요양원,광주 동구 밤실로30번길 21 (지산동).
광주,광주광역시 동구,행복재활원보호작업장,광주광역시 동구 증심천로 53 (학동)
광주,광주광역시 동구,광주광역정신건강복지센터,광주광역시 동구 제봉로 27 (학동)한일빌딩 5층
광주,광주광역시 동구,드림스쿨지역아동센터,광주광역시 동구 남문로 620 (소태동)2층(소태동)
광주,광주광역시 동구,행복요양원,광주광역시 동구 증심천로 53 (학동)
광주,광주광역시 동구,조선대학교치과병원,광주 동구 필문대로 303 (서석동)조선대학교 치과병원
광주,광주광역시 동구,사단법인 문화예술그룹 사람사는연구소,광주광역시 동구 동명로67번길 29 1층
광주,광주광역시 동구,파랑새지역아동센터,"광주광역시 동구 학소로138, 2층"
광주,광주광역시 동구,풍경장애인주간보호센터,광주광역시 동구 계림동 경양로259번길21
광주,광주광역시 동구,사단법인 한국건강복지진흥회,광주광역시 동구 계림동 무등로302
광주,광주광역시 동구,푸른들,광주광역시 북구 지야동 지산마을길46-39
광주,광주광역시 동구,광주스마일센터,광주광역시 동구 충장로5가 구성로163
광주,광주광역시 동구,행복나래요양원,광주광역시 동구 지산동 밤실로30번길 21지산동 309-16
광주,광주광역시 동구,빛고을지역아동센터,광주광역시 동구 용산동 천변좌로 6564층
