지역,시군구,기관,주소
대구,대구광역시 동구,한사랑장애인공동생활가정,대구 동구 반야월북로57길 37-3 (신서동)동해빌 C동 401호
대구,대구광역시 동구,에덴실버타운,대구 동구 공항로 251 (지저동)에덴실버타운
대구,대구광역시 동구,한사랑장애인공동생활가정2호,대구 동구 동호로2길 21-1 (동호동)미르빌 301호
대구,대구광역시 동구,여기서함께센터,대구 동구 동대구로83길 11-1 (신천동)보원덴탈빌딩 4층
대구,대구광역시 동구,연꽃마을덕산요양원,대구 동구 팔공산로2길 30 (덕곡동)연꽃마을덕산요양원
대구,대구광역시 동구,강동어르신행복센터,대구광역시 동구 안심로 190 (신기동)2층 사무실
대구,대구광역시 동구,행복나눔지역아동센터,대구광역시 동구 동북로 324 (신암동)3층
대구,대구광역시 동구,크로바중앙요양원,대구광역시 동구 반야월로26길 20 (신기동)크로바중앙요양원
대구,대구광역시 동구,동일재가노인지원센터,대구광역시 동구 장등로 8-11 (신천동)1층 동일재가노인지원센터
대구,대구광역시 동구,성덕기억학교,대구광역시 동구 반야월로 100 (율하동)2층 성덕기억학교
대구,대구광역시 동구,효청원노인복지센터,대구광역시 동구 송라로16길 81-13 (신천동)효청원노인복지센터
대구,대구광역시 동구,마을애아동가족센터,대구광역시 동구 신기동 율하동로28길30-1(1층)
대구,대구광역시 동구,즐거운지역아동센터,대구광역시 동구 각산동 반야월북로153 2층
대구,대구광역시 동구,진명다움,대구광역시 동구 신암동 아양로241 2층
대구,대구광역시 동구,진명해안실버타운,대구광역시 동구 신평동 신평로54
대구,대구광역시 동구,일심보호작업장,대구광역시 동구 각산동 반야월북로27길33
대구,대구광역시 동구,검사SOS자립생활관,대구광역시 동구 검사동 방촌로1길9
대구,대구광역시 동구,동행보호작업장,대구 동구 동촌로 54 (검사동)3층
대구,대구광역시 동구,대구동구지역자활센터,대구광역시 동구 검사동 해동로204 청곡빌딩 2층
대구,대구광역시 동구,동구소규모노인종합센터,대구광역시 동구 불로동 공항로31길9-6
대구,대구광역시 동구,대구결혼이주여성인권센터,대구 동구 아양로 18 (신암동)주암빌딩 5층
대구,대구광역시 동구,진명푸드뱅크,대구광역시 동구 신암동 아양로239 진명시니어카운티타운 B1
대구,대구광역시 동구,진명실버홈,대구광역시 동구 방촌동 동촌로 2853층
대구,대구광역시 동구,중독자재활시설세잎클로버,대구광역시 동구 지저동 해동로8길41
대구,대구광역시 동구,대구입석지역아동센터,대구광역시 동구 입석동 아양로 2913층
대구,대구광역시 동구,동화사자비원,대구광역시 동구 팔공산로254길 27(도학동)
대구,대구광역시 동구,대한사회복지회 잉아터,대구 동구 동촌로25길 30-9 (검사동)30-9
대구,대구광역시 동구,진명기억학교,대구 동구 아양로 241 (신암동)진명빌딩 4층
대구,대구광역시 동구,신안노인복지센터,대구광역시 동구 신무동  656-1번지
대구,대구광역시 동구,신안사랑마을,대구광역시 동구 용천로77길50
대구,대구광역시 동구,신나는효목지역아동센터,대구광역시 동구 효목1동  87-11번지
대구,대구광역시 동구,선우요양복지센터,대구광역시 동구 율하동  1432번지 동흥타워 204호
대구,대구광역시 동구,만승자립원,대구 동구 덕곡동 34번지
대구,대구광역시 동구,한사랑주간보호센터,대구 동구 율하동로28길 30-1 (신기동) 3층 한사랑주간보호센터
대구,대구광역시 동구,한국스카우트대구연맹,대구 동구 신천3동 79-2번지 스카우트대구연맹회관 4층
대구,대구광역시 동구,굿네이버스 대구경북본부,대구 동구 용계동 510-3번지 무진빌딩 3층
대구,대구광역시 동구,(사)대구농아인협회 동구지회,대구 동구 효목1동 175-11번지
대구,대구광역시 동구,동구다문화가족지원센터,"대구 동구 안심로 300 (동호동)5층, 동구다문화가족지원센터"
대구,대구광역시 동구,진명실버타운,대구 동구 효목로 13-1 (효목동)13-1
대구,대구광역시 동구,무지개지역아동센터,대구 동구 동촌로48길 32 (방촌동)무지개지역아동센터
대구,대구광역시 동구,더불어보호작업장,대구광역시 동구 팔공산로1675
대구,대구광역시 동구,(사)전국장애인야학협의회 대구질라라비지회,대구광역시 동구 신천동 동대구로83길13 보원빌딩 4층
대구,대구광역시 동구,애생보육원,대구 동구 방촌로 69 (검사동)750-1번지
대구,대구광역시 동구,동구드림스타트센터,대구 동구 동촌로14길 15-1 (검사동)1층
대구,대구광역시 동구,SOS프란치스카의집,대구 동구 검사동   913-1번지
대구,대구광역시 동구,제일장애인보호작업장,대구 동구 신천3동 171-6번지
대구,대구광역시 동구,사회복지법인 진명복지재단,대구광역시 동구 신암5동1545번지 진명시니어카운티 2층
대구,대구광역시 동구,대구광역시장애인복지시설협회,대구 동구 검사동   985-4번지 청곡빌딩 5층
대구,대구광역시 동구,요한의집,대구 동구 각산동   896번지
대구,대구광역시 동구,팔공노인복지관,대구 동구 동북로 393 (신암동)4층
대구,대구광역시 동구,사단법인 굿네이버스대구동부지부,대구 동구 아양로 251 (신암동)5층
대구,대구광역시 동구,성덕실버타운,대구광역시 동구 덕곡동 서촌로21길20-16
대구,대구광역시 동구,대구SOS어린이마을,대구 동구 해동로 219 (검사동)대구SOS어린이마을
대구,대구광역시 동구,대동병원,대구 동구 화랑로 169 (효목동)대동병원
대구,대구광역시 동구,SOS아동복지센터,대구 동구 검사동974-2번지 SOS아동복지센터
대구,대구광역시 동구,영남가족사랑센터 부설 영남가정폭력상담소,대구 동구 아양로49길 6 (신암동)2층
대구,대구광역시 동구,진명고향마을,대구광역시 동구 파계로629
대구,대구광역시 동구,신용보증기금,대구광역시 동구 신서동1157번지
대구,대구광역시 동구,정심수양원,대구 동구 미곡동  82-1
대구,대구광역시 동구,진명재가노인복지센터,대구광역시 동구 효목로13-1
대구,대구광역시 동구,진명해안노인복지센터,대구광역시 동구 신평동 신평로54
대구,대구광역시 동구,동구정신건강복지센터,대구 동구 동촌로 79 (검사동)4층 정신건강복지센터
대구,대구광역시 동구,(사)마이홈노인전문요양원,대구 동구 불로동955-2번지
대구,대구광역시 동구,동구원스탑지원센터,대구 동구 신암동1544-1번지
대구,대구광역시 동구,동촌장애인주간보호센터,대구광역시 동구 입석동 입석로5
대구,대구광역시 동구,달구벌정신건강센터,대구 동구 신성로 63 (신암동)3층 달구벌정신건강센터
대구,대구광역시 동구,일심재활원,대구광역시 동구 반야월북로27길 33일심재활원
대구,대구광역시 동구,자유보호작업장,대구광역시 동구 팔공산로 225-3434번지
대구,대구광역시 동구,선명요육원,대구광역시 동구 팔공산로 225 (덕곡동)선명요육원
대구,대구광역시 동구,감천재가노인지원센터,대구 동구 갓바위로 75 (진인동)감천재가노인지원센터
대구,대구광역시 동구,진명노인복지센터,대구광역시 동구 신암5동  1545번지 진명시니어카운티 5층
