지역,시군구,기관,주소
대구,대구광역시 북구,유니에즈,대구 북구 대학로23길 25-4 (산격동)유니에즈
대구,대구광역시 북구,연세숲속요양원,대구 북구 장태실길 13 (팔달동)연세숲속요양원
대구,대구광역시 북구,대구케어요양원,"대구 북구 침산남로 96 (침산동)포브스타워 7,8층"
대구,대구광역시 북구,대구농아인협회 북구지회,대구 북구 칠곡중앙대로 461 (관음동)이조빌딩 4층
대구,대구광역시 북구,행복요양원,대구 북구 팔달로 191 (노원동2가)원타워 5층
대구,대구광역시 북구,한가족노인복지센터,대구 북구 침산남로13길 24 (침산동)한가족노인복지센터
대구,대구광역시 북구,온누리어린이집,대구 북구 연암로4길 35 (산격동)온누리어린이집
대구,대구광역시 북구,강북재가노인지원센터,대구광역시 북구 팔거천동로 206 (동천동)장원빌딩 503호
대구,대구광역시 북구,원대주간보호센터,대구광역시 북구 팔달로 191 (노원동2가)4층
대구,대구광역시 북구,천유원실버타운,대구광역시 북구 칠성남로36길 6 (칠성동2가)천유원실버타운
대구,대구광역시 북구,보담장애인주간보호센터,"대구광역시 북구 연암로 183 (산격동, 산격주공아파트)보담장애인주간보호센터"
대구,대구광역시 북구,관음어린이집,대구광역시 북구 관음중앙로22길 3 (관음동)사회복지법인 관음어린이집
대구,대구광역시 북구,대구광역시 지정 행복누리기억학교,대구광역시 북구 노원동1가 오봉로6길12
대구,대구광역시 북구,좋은친구지역아동센터,대구광역시 북구 동천동 대천로17길27
대구,대구광역시 북구,드림지역아동센터,대구광역시 북구 학정동 학정로110길29
대구,대구광역시 북구,상록주간보호센터,대구광역시 북구 산격동 산격로31-1
대구,대구광역시 북구,대구북부아동보호전문기관,대구광역시 북구 산격동 연암로25길12-1 대구북부아동보호전문기관
대구,대구광역시 북구,글로리지역아동센터,대구광역시 북구 태전동 매전로50-39
대구,대구광역시 북구,누리노인복지센터,대구 북구 칠성로17길 2 (칠성동2가)2 2층
대구,대구광역시 북구,민들레지역아동센터,대구광역시 북구 태전동 칠곡중앙대로246 2층
대구,대구광역시 북구,파티마홈,대구광역시 북구 사수동 내곡로123
대구,대구광역시 북구,북구노인복지관,대구광역시 북구 침산동 성북로49
대구,대구광역시 북구,북구정신건강복지센터,대구 북구 성북로5길 43 (침산동)4층
대구,대구광역시 북구,희망장애인주간보호센터,대구광역시 북구 태전동 칠곡중앙대로254
대구,대구광역시 북구,그린지역아동센터,대구광역시 북구 국우동 구리로34길49-7 1층
대구,대구광역시 북구,함지노인복지관,대구광역시 북구 구암동 동암로180
대구,대구광역시 북구,강북노인복지관,대구광역시 북구 관음동 칠곡중앙대로91길21
대구,대구광역시 북구,대불노인복지관,대구 북구 검단로 8-14 (복현동)대불노인복지관
대구,대구광역시 북구,구세군대구칠곡지역아동센터,대구광역시 북구 관음동 관음동로9길15
대구,대구광역시 북구,행복나무지역아동센터,대구광역시 북구 구암동818-5
대구,대구광역시 북구,효성소규모노인종합센터,대구광역시 북구 도남동 도남길92-52
대구,대구광역시 북구,가정북구노인복지센터,대구 북구 오봉로6길 12 (노원동1가)2층
대구,대구광역시 북구,다사랑지역아동센터,대구광역시 북구 칠성동2가  139-9번지
대구,대구광역시 북구,큰소망지역아동센터,대구광역시 북구 구암동  688-12번지
대구,대구광역시 북구,해인장애인보호작업장,대구 북구 구암로60길 46-15 (구암동)해인장애인보호작업장
대구,대구광역시 북구,대구케어실버타운복지센터,대구광역시 북구 침산3동  430-1번지 포브스타워 7층
대구,대구광역시 북구,대구광역치매센터,대구광역시 북구 학정동  474번지 칠곡경북대학교병원2층
대구,대구광역시 북구,효성기억학교,대구광역시 북구 구암동 구암로60길38 3층
대구,대구광역시 북구,상록뇌성마비복지관,대구광역시 북구 산격2동  608-2번지
대구,대구광역시 북구,해인장애인단기보호센터,대구 북구 구암로60길 46-18 (구암동))
대구,대구광역시 북구,대구북구다문화가족지원센터,대구광역시 북구 관음동  1383-15번지 고려빌딩5층
대구,대구광역시 북구,대구북구건강가정지원센터,대구 북구 칠곡중앙대로 473 (관음동)조은빌딩 2층 대구북구건강가정지원센터
대구,대구광역시 북구,천광원,대구광역시 북구 동북로57
대구,대구광역시 북구,행복한백세요양원,대구 북구 칠성동2가 378-26번지 5층
대구,대구광역시 북구,솔로몬지역아동센터,대구 북구 관음동 1284번지
대구,대구광역시 북구,(사)한국스카우트경북연맹,대구 북구 산격1동 1111-4번지
대구,대구광역시 북구,근로복지공단 대구병원,대구 북구 학정동   533번지
대구,대구광역시 북구,굿네이버스 하늘지역아동센터,"대구광역시 북구 칠성로17길 4, 2층"
대구,대구광역시 북구,선유지역아동센터,대구 북구 동변동   352-2번지
대구,대구광역시 북구,성보재활원 성보보호작업장,대구광역시 북구 복현동 동북로71길9-29
대구,대구광역시 북구,복현지역아동센터,대구 북구 복현2동 375-1번지 3층
대구,대구광역시 북구,강북장애인주간보호센터,대구 북구 구암동 450-1번지
대구,대구광역시 북구,선린장애인주간보호센터,대구 북구 관음동 477-1번지 3층
대구,대구광역시 북구,선린장애인보호작업장,대구광역시 북구 관음동로9길 10-25 (관음동)B동
대구,대구광역시 북구,사회복지법인대양 강북어린이집,대구 북구 동호동 382번지
대구,대구광역시 북구,효성실버타운,대구광역시 북구 도남동 도남길92-52
대구,대구광역시 북구,한우리보호작업장,대구 북구 복현2동 45번지
대구,대구광역시 북구,새볕실버빌,대구 북구 태전동 370-1번지
대구,대구광역시 북구,첨단요양병원,대구광역시 북구 대현로 19첨단요양병원
대구,대구광역시 북구,의료법인 성동병원,대구 북구 관음동 1404-2번지
대구,대구광역시 북구,영진사이버대학교,대구 북구 복현동 218번지
대구,대구광역시 북구,미래지움 가정복지회,대구 북구 산격3동1416-6번지
대구,대구광역시 북구,배성병원,대구 북구 검단동986-2
대구,대구광역시 북구,대구북구지역자활센터,대구 북구 침산남로 49 (노원동1가)2층
대구,대구광역시 북구,효성노인복지센터,대구 북구 구암동820-14
대구,대구광역시 북구,사회복지법인 미생회 희망의집,대구 북구 산격2동489-1
대구,대구광역시 북구,참누리정신건강상담센터,대구 북구 산격3동 1291-22번 3층
대구,대구광역시 북구,가나안노인복지센터,대구광역시 북구 칠곡중앙대로77길14 복음재단
대구,대구광역시 북구,복음양로원,대구 북구 태전동 1064-2
대구,대구광역시 북구,복음실버타운,대구광역시 북구 칠곡중앙대로77길 14복음실버타운
대구,대구광역시 북구,대구안식원,대구광역시 북구 복현로20길52
대구,대구광역시 북구,산격종합사회복지관,대구 북구 산격1동주공아파트724-12
