지역,시군구,기관,주소
대구,대구광역시 중구,햇살의집,대구 중구 명륜로11길 41 (남산동)1층
대구,대구광역시 중구,카리타스시각장애인주간보호센터,대구 중구 재마루1길 9-16 (남산동)카리타스시각장애인주간보호센터
대구,대구광역시 중구,성프란치스코자활쉼터,대구 중구 중앙대로77길 40 (종로2가)성프란치스코자활쉼터
대구,대구광역시 중구,보람요양원,대구 중구 명덕로 125 (남산동)영광빌딩
대구,대구광역시 중구,문성요양복지센터,"대구광역시 중구 명덕로 217 (남산동)1, 2층"
대구,대구광역시 중구,대구가톨릭여성의집,대구 남구 중앙대로42길 6 (대명동).
대구,대구광역시 중구,미문의집,대구광역시 중구 명륜로11길 41 (남산동)2층
대구,대구광역시 중구,사단법인 장애인문화예술진흥회,대구광역시 중구 남성로 7-1 (남성로)사단법인 장애인문화예술진흥회
대구,대구광역시 중구,사)정신대할머니와함께하는시민모임,대구 중구 경상감영길 48 (서문로1가)2층
대구,대구광역시 중구,(사)한국백혈병소아암협회 대구경북지회,대구광역시 남구 대명로 65 (대명동)세아타워5층
대구,대구광역시 중구,에덴노인복지센터,대구광역시 중구 동인동2가 경상감영길298-48 지하1층
대구,대구광역시 중구,대구노인의전화재가노인지원센터,대구 중구 동덕로40길 71 (동인동3가)2층
대구,대구광역시 중구,삼덕SOS자립생활관,대구광역시 중구 삼덕동2가 공평로4길10
대구,대구광역시 중구,대구중구시니어클럽,대구광역시 중구 삼덕동2가 공평로4길24-7
대구,대구광역시 중구,남문행복한홈스쿨 지역아동센터,대구 중구 2.28길 32-19 (남산동)32-19 1층
대구,대구광역시 중구,중구정신건강증진센터,대구광역시 중구 태평로 45 (태평로3가)중구보건소 3층
대구,대구광역시 중구,대구시각장애인연합회,대구 중구 명덕로 165 (남산동)4층
대구,대구광역시 중구,에덴양로원,대구광역시 중구 동인동2가 경상감영길298-48
대구,대구광역시 중구,삼덕기억학교,대구 중구 공평로 22 (삼덕동2가)삼덕교회 60주년기념관 8층
대구,대구광역시 중구,대구중구드림스타트센터,대구광역시 중구 동인동3가 동덕로38길47
대구,대구광역시 중구,구세군대구지역아동센터,대구광역시 중구 종로1가41-33번지 2층
대구,대구광역시 중구,(사)달구벌복지회 효심노인복지센터,대구광역시 중구 서성로13길 17-22 (서문로2가)3층
대구,대구광역시 중구,사회복지법인 대구가톨릭사회복지회,대구광역시 중구 남산3동  225-1번지
대구,대구광역시 중구,사)한국신장장애인대구협회,대구광역시 중구 달성공원로8길10(달성빌딩) 308호
대구,대구광역시 중구,대구광역정신건강증진센터,대구광역시 남구 대명동 두류공원로17길대구가톨릭대학교병원 라파엘관 5층
대구,대구광역시 중구,(사)한국피해자지원협회 대구경북지부,대구광역시 중구 명륜로 28 (남산동)명륜빌딩 3층
대구,대구광역시 중구,지역아동센터 오뚝이교실,대구 중구 관덕정길 16 (남산동)남산기도교종합사회복지관 4층
대구,대구광역시 중구,이랜드리테일 동아백화점,대구 중구 동문동 20-11번지
대구,대구광역시 중구,대구사회복지공동모금회,대구 동구 장등로 36 (신천동)4층
대구,대구광역시 중구,대구서문복지재단,대구광역시 중구 대신동 달성공원로4길30
대구,대구광역시 중구,대구삼성어린이집,대구 중구 남산2동 153-4번지
대구,대구광역시 중구,경북대학교병원,대구광역시 중구 동덕로 130 (삼덕동2가)경북대학교병원
대구,대구광역시 중구,닥터김노인요양센터,대구 중구 동인동3가371-1
대구,대구광역시 중구,삼덕노인복지센터,대구 중구 삼덕동2가  149-12
대구,대구광역시 중구,대구지적발달장애인복지협회,대구광역시 중구 태평로 253(367-3번지) 인창빌딩2층
대구,대구광역시 중구,가톨릭근로자회관,대구 중구 종로2가35번지
대구,대구광역시 중구,사회복지법인 대구남산복지재단,대구 중구 남산2동941-22번지
대구,대구광역시 중구,대구광역시 아동보호전문기관,대구 중구 태평로 302 (동인동3가)2층 대구아동보호전문기관
대구,대구광역시 중구,해인정신건강상담센터,대구 중구 대봉동 156-1번지 진각문화회관2층
대구,대구광역시 중구,(사)대구지체장애인협회,대구 중구 대봉1동 44-30  선모빌딩 4층
대구,대구광역시 중구,대구가톨릭사회복지회부설성심복지의원,대구 중구 관덕정길 42 (남산동) 성심복지의원
대구,대구광역시 중구,대구시장애인재활협회,"대구 중구 남산로7길 80 (남산동, 까치아파트) 2482"
대구,대구광역시 중구,남산기독교종합사회복지관,대구 중구 관덕정길 16 (남산동)16
대구,대구광역시 중구,남산종합사회복지관,대구광역시 중구 남산로7길 80남산종합사회복지관 2층 사무실
대구,대구광역시 중구,어르신마을노인복지센터,대구 중구 대봉2동733-4
