지역,시군구,기관,주소
부산,부산광역시 기장군,모전지역아동센터,부산 기장군 정관읍 정관1로 18 (이지 더원  아파트)이지더원아파트 105동 101호
부산,부산광역시 기장군,정관노인복지관,부산 기장군 정관읍 정관중앙로 83-14정관노인복지관
부산,부산광역시 기장군,효산요양원,부산 기장군 철마면 철마삼동로 103효산요양원
부산,부산광역시 기장군,꿈나무지역아동센터,부산 기장군 기장읍 대청로36번길 11-12꿈나무지역아동센터
부산,부산광역시 기장군,수연어르신의집,부산 기장군 철마면 입석길 68수연어르신의 집
부산,부산광역시 기장군,사)발달장애인과세상걷기,부산광역시 기장군 기장읍 대청로 305층 발달장애인과 세상걷기
부산,부산광역시 기장군,다인요양원,부산광역시 기장군 장안읍 오리길376-37
부산,부산광역시 기장군,대성한울타리,부산광역시 기장군 일광면 장곡길23
부산,부산광역시 기장군,이레지역아동센터,부산광역시 기장군 정관면 정관2로40 센트럴파크 106-103
부산,부산광역시 기장군,기장군치매안심센터,부산 기장군 정관읍 용수로 11정관보건지소 내 4층 기장군치매안심센터
부산,부산광역시 기장군,(사)기장열린상담소,부산광역시 기장군 기장읍 차성로290 404호
부산,부산광역시 기장군,교리장애인주간보호센터,부산광역시 기장군 기장읍 교리 99번지 1층
부산,부산광역시 기장군,교리지역아동센터,"부산광역시 기장군 기장읍 차성로417번길25, 2층"
부산,부산광역시 기장군,한마음노인건강센터,부산광역시 기장군 차성남로91-2
부산,부산광역시 기장군,성우해피홈,부산 기장군 장안읍명례리 133-4번지
부산,부산광역시 기장군,반석복지재단 동행과나눔,부산광역시 기장군 정관읍 병산로 127-25동행과나눔
부산,부산광역시 기장군,정관노인복지센터,부산 기장군 정관읍 곰내길 574정관노인복지센터
부산,부산광역시 기장군,기장실버타운,부산 기장군 기장읍 죽성로 227번지
부산,부산광역시 기장군,부산기장시니어클럽,"부산 기장군 기장읍 차성로288번길 682층, 부산기장시니어클럽"
부산,부산광역시 기장군,선양시니어빌리지,부산 기장군 장안읍길천리 411-34
부산,부산광역시 기장군,구원의집,부산 기장군 철마면송정리 입석길 37
부산,부산광역시 기장군,효성제일노인건강센터,부산 기장군 장안읍오리 331-6
부산,부산광역시 기장군,복)한성복지재단 해피스쿨,부산 기장군 정관면용수리431-14
부산,부산광역시 기장군,기장노인의료센터,부산광역시 기장군 화전2길86-25
부산,부산광역시 기장군,기장장애인복지관,부산 기장군 정관면 용수리431-2
부산,부산광역시 기장군,효성노인건강센터,부산 기장군 장안읍 기룡리69-1
부산,부산광역시 기장군,기장종합사회복지관,부산 기장군 기장읍차성로 206
부산,부산광역시 기장군,기장실버홈,부산광역시 기장군 정관면 곰내길574
부산,부산광역시 기장군,부산기장지역자활센터,부산 기장군 기장읍 대라리 175-7 우원빌딩202
부산,부산광역시 기장군,부산광역시기장군노인복지관,부산광역시 기장군 기장읍 대청로22번길61 기장군노인복지관
