지역,시군구,기관,주소
부산,부산광역시 남구,사회복지법인 문수복지재단,부산 남구 홍곡로336번길 41 (용당동)문수복지재단
부산,부산광역시 남구,문수노인통합지원센터,부산 남구 용호로198번길 50 (용호동)문수노인통합지원센터
부산,부산광역시 남구,남구지역자활센터,부산 남구 수영로250번길 6 (대연동)남구지역자활센터
부산,부산광역시 남구,밝은누리지역아동센터,부산광역시 남구 장고개로16번길 17 (우암동)밝은누리지역아동센터
부산,부산광역시 남구,사)둥지복지마을,부산광역시 남구 진남로 152-1 (대연동)2층
부산,부산광역시 남구,재단법인 그린닥터스,부산광역시 부산진구 가야대로 719 (당감동)
부산,부산광역시 남구,온새미로 그룹홈,"부산 남구 유엔평화로 152-2 (용당동, 용당한신문화타운)152-2  , 103동 103호(용당동 한신문화타운)"
부산,부산광역시 남구,행복남구재가노인지원서비스센터,부산광역시 남구 수영로156
부산,부산광역시 남구,든솔직업재활센터,부산 남구 유엔로25번길 58 (우암동)든솔직업재활센터
부산,부산광역시 남구,부산중독관리통합지원센터,부산광역시 서구 구덕로179 융합의학연구동 2층
부산,부산광역시 남구,(사)부산광역시남구장애인협회,부산광역시 남구 대연동 유엔평화로111(대연동)
부산,부산광역시 남구,부산남구시니어클럽,부산광역시 남구 용당동 신선로동명대학교 내 17호관 1층
부산,부산광역시 남구,꿈샘지역아동센터,"부산 남구 유엔로 1-1 (우암동, 동일아파트) 동일상가 203호"
부산,부산광역시 남구,행복한집,부산광역시 남구 용소로64번길49-1 (1층)
부산,부산광역시 남구,남구정신건강증진센터,부산광역시 남구 유엔평화로 461 왕비빌딩 3층
부산,부산광역시 남구,비전청소년지역아동센터,부산광역시 남구 감만동  329-25번지 3층
부산,부산광역시 남구,새에덴지역아동센터,부산광역시 남구 용호1동  132-1
부산,부산광역시 남구,한솔보금자리실버홈,부산광역시 남구 동명로101번가길57-13(용호1동292-1)
부산,부산광역시 남구,용당요양병원,부산광역시 남구 신선로(용당동) 429
부산,부산광역시 남구,청전재가노인복지센터,"부산광역시 남구 유엔로124 (대연동, 2층)"
부산,부산광역시 남구,예꿈아홈,부산광역시 남구 감만동  29-119
부산,부산광역시 남구,성분도 비둘기 공부방,부산광역시 남구 문현1동  84~6번지
부산,부산광역시 남구,해피실버타운,부산 남구 용호1동 295번지
부산,부산광역시 남구,지게골지역아동센터,부산 남구 문현4동 217-16 지게골복지관 3층
부산,부산광역시 남구,(사)부산사람이태석기념사업회,부산 남구 문현동 640-1 3층
부산,부산광역시 남구,사회복지법인 유니어린이집,부산 남구 용호4동 482-3
부산,부산광역시 남구,하나장애인직업재활시설,부산 남구 감만1동 189-75번지 양지골로 171
부산,부산광역시 남구,사)대한사회복지회 희망샘,부산 남구 대연2동 1216-135
부산,부산광역시 남구,(사)한국자원봉사연합회,부산 남구 대연5동 1741-11번지 해암빌딩 7층
부산,부산광역시 남구,나사함발달장애인복지관,부산광역시 남구 못골번영로 70 (대연동)나사함발달장애인복지관
부산,부산광역시 남구,남구노인주간보호센터,부산 남구 대연동 1346번지
부산,부산광역시 남구,대연성모병원,부산 남구 대연3동 산29번지  (황령대로 353번길 66 대연성모병원)
부산,부산광역시 남구,평화장터,부산 남구 대연동 67-8
부산,부산광역시 남구,남구노인복지관,부산 남구 대연5동못골로 97-10 (1346번지)
부산,부산광역시 남구,남구열린지역아동센터,부산 남구 용호1동422-52
부산,부산광역시 남구,(사)아띠장애인주간보호센터,부산 남구 대연4동1136-13
부산,부산광역시 남구,아띠장애전담어린이집,부산 남구 대연4동1136-13
부산,부산광역시 남구,문현지역아동센터,부산 남구 문현2동776-22 리버빌 201
부산,부산광역시 남구,가나병원,부산 남구 용당동472-13
부산,부산광역시 남구,령강노인종합복지센터,부산광역시 남구 대연1동천제등로 56-4
부산,부산광역시 남구,용호지역아동센터,부산 남구 용호3동390-1번지
부산,부산광역시 남구,사단법인소망재활센터,부산광역시 남구 진남로 160-20 (대연동)1층 솔라피데주간보호센터
부산,부산광역시 남구,사단법인가족상담센터 희망의전화,부산 남구 대연3동원자빌딩 5층
부산,부산광역시 남구,남구장애인복지관,부산광역시 남구 조각공원로11번길 38
부산,부산광역시 남구,부산성모병원,부산 남구 용호4동부산성모병원 자원봉사자실(지하2층)
부산,부산광역시 남구,감만지역아동센터,부산광역시 남구 우암로 51-2 (감만동)감만지역아동센터
부산,부산광역시 남구,대한사회복지회사랑샘,부산 남구 유엔평화로10번길 62 (대연동)대한사회복지회 사랑샘
부산,부산광역시 남구,구세군부산요양원,부산광역시 남구 용소로7번길105
부산,부산광역시 남구,감만종합사회복지관,부산광역시 남구 우암로84번길-1(감만동 78번지)
부산,부산광역시 남구,성프란치스꼬의집,부산광역시 남구 용소로14번길 41 (대연동)성프란치스꼬의 집
부산,부산광역시 남구,부산밀알선교단,부산광역시 남구 문현4동294-15 부산밀알선교단
부산,부산광역시 남구,소화영아재활원,부산 남구 무민사로 19 (감만동)(491-1번지) 소화영아재활원
부산,부산광역시 남구,용호종합사회복지관,부산 남구 용호3동36-7
부산,부산광역시 남구,남구종합사회복지관,부산 남구 우암동129-339
