지역,시군구,기관,주소
부산,부산광역시 동구,우리들의집 그룹홈,부산 동구 범곡남로16번길 11 (범일동)우리들의집 그룹홈
부산,부산광역시 동구,사단법인 꿈꾸는 아이들,부산 동구 범곡로 9 (범일동)비전센터 3층
부산,부산광역시 동구,유앤미지역아동센터,부산 동구 초량중로 133 (수정동)유앤미지역아동센터
부산,부산광역시 동구,사단법인 창공우암,부산 동구 초량상로 142-1 (수정동)창공우암
부산,부산광역시 동구,사)부산장애인여가활동지원협회,부산 동구 중앙대로196번길 12-3 (초량동)부산장애인여가활동지원협회
부산,부산광역시 동구,자성대노인복지센터,부산 동구 자성로140번길 32 (범일동)자성대노인복지센터
부산,부산광역시 동구,부산광역시장애인일자리통합지원센터,부산 동구 중앙대로196번길 12-3 (초량동)장애인종합회관 3층
부산,부산광역시 동구,(재)한호기독교선교회 일신기독병원,부산광역시 동구 정공단로 27 (좌천동)일신기독병원 사회사업실
부산,부산광역시 동구,부산동구지역자활센터,부산광역시 동구 홍곡남로 54-1 (초량동)3층
부산,부산광역시 동구,부산남부아동보호전문기관,부산광역시 동구 자성로103번길 6-10 (범일동)삼환오피스텔1503호
부산,부산광역시 동구,동구노인복지관 분관,부산광역시 동구 초량남로11-2
부산,부산광역시 동구,인창대연요양병원,부산광역시 남구 대연동164
부산,부산광역시 동구,부산장애인직업적응훈련센터,부산 부산진구 동천로85번길 31-8 (부전동)부전동
부산,부산광역시 동구,모여라 지역아동센터,부산광역시 동구 구봉로부산광역시 동구 구봉로7-1
부산,부산광역시 동구,우리동네영어학교 지역아동센터,부산 동구 초량상로 53 (초량동)53
부산,부산광역시 동구,부산동구다문화가족지원센터,부산 동구 중앙대로 248 (초량동)엘림빌딩 3층 (초량동)
부산,부산광역시 동구,동구장애인주간보호센터,부산광역시 동구 안창로57
부산,부산광역시 동구,대열실버센터,"부산광역시 동래구 명륜로, (명륜동)동래타워 6~7층"
부산,부산광역시 동구,자성대노인복지관,부산광역시 동구 범일동 자성로140번길32
부산,부산광역시 동구,대한지역아동센터,부산광역시 동구 초량동 초량상로65번길36
부산,부산광역시 동구,의료법인 나라의료재단 제일나라요양병원,부산광역시 동구 좌천동 중앙대로421
부산,부산광역시 동구,(사)부산여성장애인연대부설 성가정통합상담소,부산광역시 동구 초량동 중앙대로196번길 12-13부산장애인종합회관 4층
부산,부산광역시 동구,수정삼성어린이집,부산광역시 동구 수정중로33 (수정동)
부산,부산광역시 동구,(사)한국지체장애인협회부산,부산광역시 동구 중앙대로196번길(초량동) 12-3 8층
부산,부산광역시 동구,사)장애인먼저실천부산광역시운동본부,부산광역시 동구 중앙대로180번길6-5 보은빌리지 201호
부산,부산광역시 동구,인창노인주간보호센터,부산광역시 동구 초량동  1146-9
부산,부산광역시 동구,부산광역정신건강복지센터,부산광역시 남구 수영로 299 (대연동)루미너스타워 12층 부산광역정신건강복지센터
부산,부산광역시 동구,부산국제장애인협의회,부산광역시 동구 중앙대로264 (초량동) 커피타운빌딩 601호
부산,부산광역시 동구,의료법인정화의료재단김원묵기념봉생병원,부산광역시 동구 중앙대로401 김원묵기념 봉생병원
부산,부산광역시 동구,무지개지역아동센터,부산광역시 동구 범일동  1438-292
부산,부산광역시 동구,부산광역시신체장애인복지회,부산광역시 동구 초량3동  1171-5
부산,부산광역시 동구,우리들의집지역아동센터,부산광역시 동구 범일4동  1436-7번지
부산,부산광역시 동구,동구종합사회복지관,부산광역시 동구 안창로 57 (범일동)동구종합사회복지관
부산,부산광역시 동구,행복한장애인주간보호센터,부산 동구 수정2동동구청망양로 748
부산,부산광역시 동구,생명나눔실천부산지역본부,"부산 동구 고관로63번길 1 (수정동)2층(수정동, 은정빌딩)"
부산,부산광역시 동구,인창동구노인요양원,부산 동구 고관로 34 (초량동)인창동구노인요양원
부산,부산광역시 동구,디지비생명보험(주),부산광역시 동구 수정동 중앙대로361번길14
