지역,시군구,기관,주소
부산,부산광역시 부산진구,애림요양원,부산 부산진구 안창로10번길 72-25 (범천동)애림요양원
부산,부산광역시 부산진구,가야지역아동센터,부산 부산진구 가야공원로38번길 74-9 (가야동)가야지역아동센터
부산,부산광역시 부산진구,퍼스트뉴스기자단,부산 부산진구 가야대로 734 (부전동)행정동 1층
부산,부산광역시 부산진구,개금재가노인지원서비스센터,부산 부산진구 백양관문로77번길 140 (개금동)개금재가노인지원서비스센터
부산,부산광역시 부산진구,청십자의료재단 행복한요양병원,부산 부산진구 봉수로 18 (전포동)행복한요양병원
부산,부산광역시 부산진구,가꿈복지직업재활시설,부산 부산진구 거제천로 56 (양정동)3층
부산,부산광역시 부산진구,온요양병원,부산 부산진구 가야대로 721 (당감동)7층
부산,부산광역시 부산진구,한국청소년부산광역시연맹,부산 부산진구 범일로131번길 82 (범천동)한국청소년부산광역시연맹
부산,부산광역시 부산진구,사)부산파라미타청소년협회,부산광역시 부산진구 서면문화로 27 (부전동)유원오피스텔 1206호
부산,부산광역시 부산진구,토리직업재활센터,부산광역시 부산진구 마철로 51 (당감동)토리직업재활센터
부산,부산광역시 부산진구,예은지역아동센터,부산광역시 부산진구 가야공원로38번길14-8
부산,부산광역시 부산진구,행복한공부방지역아동센터,부산광역시 부산진구 전포대로190번길19-1
부산,부산광역시 부산진구,향기어린이집,부산광역시 부산진구 백양대로136번길37-20(당감동)
부산,부산광역시 부산진구,부산진구종합재가노인복지센터,부산광역시 부산진구 가야동 엄광로292
부산,부산광역시 부산진구,부산광역시다사랑복합문화예술회관,부산광역시 부산진구 가야동 대학로60
부산,부산광역시 부산진구,의료법인 상봉의료재단 상봉요양병원,부산광역시 부산진구 범천동 황령대로8번길7 상봉요양병원
부산,부산광역시 부산진구,부산진구정신건강증진센터,부산광역시 부산진구 부암동 시민공원로30 부산진구청 별관 내 건강증진센터 2층
부산,부산광역시 부산진구,장애인참배움터,"부산광역시 금정구 식물원로59, 3층(장전동, 비케이오피스텔)"
부산,부산광역시 부산진구,(학)춘해병원,부산광역시 부산진구 범천동 중앙대로605번지
부산,부산광역시 부산진구,사회복지법인 밀알복지재단 부산지부,부산광역시 수영구 수영동503-17 한국방송광고진흥공사 5층 밀알복지재단
부산,부산광역시 부산진구,시민이 운영하는 복지법인 우리마을,부산광역시 부산진구 전포동 전포대로242  남경빌딩405호
부산,부산광역시 부산진구,부산진시니어클럽,부산광역시 부산진구 가야동 엄광로326번가길13 (3층)
부산,부산광역시 부산진구,신애지역아동센터,부산광역시 부산진구 부암동 백양순환로 137
부산,부산광역시 부산진구,영안행복한홈스쿨,부산 부산진구 가야공원로 16 (가야동)교육관2층 208호 영안행복한홈스쿨
부산,부산광역시 부산진구,사랑그루터기진료소,부산광역시 부산진구 전포2동  667-3번지 3층
부산,부산광역시 부산진구,푸른솔지역아동센터,부산광역시 부산진구 동평로39번길 21 (당감동)늘푸른어린이집 건물 내 3층
부산,부산광역시 부산진구,의료법인 청원의료재단,부산광역시 부산진구 양정동  320-3번지(동평로401) 수요양병원
부산,부산광역시 부산진구,(사)양지장애인기능협회,부산광역시 부산진구 진남로592번길(양정2동 5-15)
부산,부산광역시 부산진구,대한적십자사부산적십자혈액원,부산광역시 부산진구 전포3동  362-5
부산,부산광역시 부산진구,부산진구노인복지관 신암분관,부산 부산진구 신암로135번길 35 (범천동)1187-7번지
부산,부산광역시 부산진구,온누리재가노인복지센터,부산광역시 부산진구 동평로406번길 23 (양정동)2층
부산,부산광역시 부산진구,의료법인 제영의료재단 다나사요양병원,부산광역시 부산진구 백양산로53번길18 다나사 요양병원
부산,부산광역시 부산진구,신애직업재활원,부산광역시 부산진구 성지로62번길40 (초읍동)
부산,부산광역시 부산진구,남부산지역아동센터,부산 부산진구 전포3동 330-1
부산,부산광역시 부산진구,한국B.B.S부산광역시연맹,부산 부산진구 양정동 217번지 시청센트빌 530호
부산,부산광역시 부산진구,당평비전지역아동센터,부산 부산진구 당감3동 516-3번지
부산,부산광역시 부산진구,수지역아동센터,부산 부산진구 연지동 290-37번지
부산,부산광역시 부산진구,선재노인전문요양원,부산 부산진구 월드컵대로435번길 116 (초읍동)(초읍동)
부산,부산광역시 부산진구,해피지역아동센터,부산 부산진구 부암동 303-6 럭키무지개타운 나동 111호
부산,부산광역시 부산진구,한국자유총연맹부산광역시지부,부산 부산진구 초읍동 236번지
부산,부산광역시 부산진구,부산희망등대종합지원센터,부산광역시 부산진구 동천로108번길 14부산희망등대종합지원센터 3층
부산,부산광역시 부산진구,의료법인 정선의료재단 온종합병원,부산광역시 부산진구 당감동 가야대로 721(당감동) 온종합병원
부산,부산광역시 부산진구,청각장애인인권문제연구소,부산 부산진구 범천1동 870-24번지
부산,부산광역시 부산진구,한미래사회복귀센터,부산 부산진구 양정동 602-11번지 교양빌딩 4층
부산,부산광역시 부산진구,의료법인 영님의료재단,부산광역시 부산진구 개금온정로13번길성원상데뷰 3층
부산,부산광역시 부산진구,의료법인사랑나눔의료재단,부산 부산진구 부전동 112-7
부산,부산광역시 부산진구,축복지역아동센터,부산 부산진구 부암동 506-1
부산,부산광역시 부산진구,대한적십자사 부산지사,부산광역시 부산진구 전포동 동성로144  대한적십자사 부산지사
부산,부산광역시 부산진구,효림원,부산광역시 부산진구 진남로328번길52
부산,부산광역시 부산진구,부산진구장애인복지관,부산 부산진구 전포동 581
부산,부산광역시 부산진구,부산진구다문화가족지원센터,부산 부산진구 당감동 516-8번지 부산진구여성가족문화센터 2층
부산,부산광역시 부산진구,부산진구노인복지관,부산 부산진구 전포동 581
부산,부산광역시 부산진구,예향재활주간보호시설,"부산 부산진구 백양산로54번길 3 (부암동)골든박스 5층, 8층"
부산,부산광역시 부산진구,전포지역아동센터,부산 부산진구 전포1동207-75 2층
부산,부산광역시 부산진구,사랑빛지역아동센터,부산 부산진구 개금3동1-8
부산,부산광역시 부산진구,기아대책 부산지역본부,부산 부산진구 전포1동690-4 현대오피스텔 206호
부산,부산광역시 부산진구,한울타리지역아동센터,부산 부산진구 전포2동서전로 47 웅진빌딩 2층
부산,부산광역시 부산진구,헬렌의 집,부산 부산진구 양정동429 성모여고 내
부산,부산광역시 부산진구,농협중앙회부산지역본부,부산광역시 부산진구 중앙대로783번길14(부전동)
