지역,시군구,기관,주소
부산,부산광역시 북구,위즈맘그룹홈,"부산 북구 덕천로234번길 34 (만덕동, 럭키만덕아파트)207동 302호(만덕동, 럭키아파트)"
부산,부산광역시 북구,화명재활데이케어센터,부산 북구 금곡대로285번길 16 (화명동)7층
부산,부산광역시 북구,아하브요양병원,부산 북구 만덕고개길 84 (만덕동)아하브요양병원
부산,부산광역시 북구,부산보건복지사회적협동조합,부산 북구 화명신도시로 8 (화명동)부산보건복지사회적협동조합
부산,부산광역시 북구,반딧불이 지역아동센터,"부산 북구 금곡대로616번길 10-9 (금곡동, 금곡2단지주공아파트)반딧불이 지역아동센터"
부산,부산광역시 북구,라온지역아동센터,부산 북구 시랑로21번길 44 (구포동)라온지역아동센터
부산,부산광역시 북구,조은지역아동센터,부산 북구 시랑로 72 (구포동)3층 조은지역아동센터
부산,부산광역시 북구,의료법인 인당의료재단 구포부민병원,부산 북구 사상로 605 (구포동)구포부민병원
부산,부산광역시 북구,글로벌영재 지역아동센터,부산 북구 금곡대로550번길 30 (금곡동)202호니한
부산,부산광역시 북구,화정재가노인지원서비스센터,"부산 북구 효열로 76 (금곡동, 금곡4단지주공아파트)화정재가노인지원서비스센터"
부산,부산광역시 북구,장선실버벨재가노인지원서비스센터,부산 북구 시랑로114번길 45 (구포동)실버벨노인복지관 2층
부산,부산광역시 북구,청록행복재가센터,부산광역시 북구 중리로 32 (만덕동)376-35
부산,부산광역시 북구,해오름지역아동센터,부산광역시 북구 시랑로122
부산,부산광역시 북구,무지개공동생활가정,부산광역시 북구 덕천로381번길17-37
부산,부산광역시 북구,만덕노인요양원,부산광역시 북구 상학산복길145(만덕동)
부산,부산광역시 북구,동진노인복지센터,부산광역시 북구 덕천로101-7
부산,부산광역시 북구,의료법인 청송의료재단 해뜨락요양병원,부산광역시 북구 만덕동 덕천로381번길9-3
부산,부산광역시 북구,늘해랑지역아동센터,부산광역시 북구 구포동 시랑로163번길7
부산,부산광역시 북구,의)은성의료재단 좋은리버뷰요양병원,부산광역시 북구 금곡동 금곡대로 586좋은리버뷰요양병원
부산,부산광역시 북구,낙동지역아동센터,부산광역시 북구 구포동 백양대로1127 2층 낙동지역아동센터
부산,부산광역시 북구,연우어르신의 집,부산광역시 북구 만덕동 덕천로381번길17-27
부산,부산광역시 북구,의)허명의료재단 구포일심요양병원,부산광역시 북구 구포2동1060-260
부산,부산광역시 북구,미네르바의 집,부산광역시 북구 시랑로114번길 45미네르바의집
부산,부산광역시 북구,부산북구다문화가족지원센터,부산광역시 북구 금곡동 효열로76
부산,부산광역시 북구,덕천지역아동센터,부산광역시 북구 덕천로52번길30
부산,부산광역시 북구,로뎀직업재활센터,부산광역시 북구 의성로109번길8(덕천동)
부산,부산광역시 북구,평화직업재활원,부산광역시 북구 양달로65(화명2동 254)
부산,부산광역시 북구,북구시니어클럽,부산광역시 북구 덕천로83(덕천동241-66)
부산,부산광역시 북구,다사랑요양병원,부산광역시 북구 만덕2동  136-2
부산,부산광역시 북구,청록만덕실버센터,부산광역시 북구 만덕동 중리로32 [ 만덕2동 375-35 구 만덕2터널 요금소 굴다리 밑 ]
부산,부산광역시 북구,(사)한국뇌성마비복지회부산울산경남지회,부산광역시 동구 초량동 중앙대로196번길 12-3부산장애인종합회관 8층
부산,부산광역시 북구,부산장애인자립생활센터,부산광역시 북구 화명신도시로 117 (화명동)801호(부산장애인자립생활센터
부산,부산광역시 북구,사)여성문화인권센터 부설 가정폭력상담소,부산 북구 덕천1동 북구 만덕대로 90번길13 대방상가305호
부산,부산광역시 북구,실버벨노인복지관,부산광역시 북구 구포동 시랑로114번길 45실버벨노인복지관
부산,부산광역시 북구,해뜨락요양원,부산 북구 덕천로381번길 14 (만덕동)해뜨락요양원
부산,부산광역시 북구,사단법인 굿네이버스 인터내셔날 부산제주본부,"부산 북구 금곡대로 16 (덕천동)태림빌딩 10층, 굿네이버스"
부산,부산광역시 북구,샘터어린이집,부산 북구 구포3동 1255-2번지
부산,부산광역시 북구,장선종합사회복지관,부산 북구 구포3동 1255-2
부산,부산광역시 북구,부산광역시금곡청소년수련관,부산 북구 효열로 158 (금곡동)금곡청소년수련관
부산,부산광역시 북구,샘물지역아동센터,부산 북구 화명동 740-5 화명로교회 2층
부산,부산광역시 북구,부산노인전문제1병원,부산 북구 만덕3동 774-26
부산,부산광역시 북구,1318미래세대지역아동센터,"부산광역시 북구 만덕대로65번길 63 (덕천동)2층, 1318미래세대지역아동센터"
부산,부산광역시 북구,북구장애인종합복지관,부산 북구 금곡대로616번길 145 (금곡동)54-3
부산,부산광역시 북구,로뎀노인요양원,부산 북구 덕천2동452-3번지
부산,부산광역시 북구,온누리지역아동센터,부산 북구 덕천동336-1
부산,부산광역시 북구,남산정요양병원,부산 북구 덕천동393-1 대원빌딩 5층
부산,부산광역시 북구,무지개언덕노인전문요양센터,부산광역시 북구 구포동 시랑로114번길 45
부산,부산광역시 북구,부산북구정신건강증진센터,부산 북구 덕천1동 378-7 북구보건소 덕천지소 3층
부산,부산광역시 북구,만덕종합사회복지관,부산광역시 북구 함박봉로140번길 102(만덕2동 949-1번지)
부산,부산광역시 북구,부민병원,부산 북구 만덕대로 59 (덕천동)부민병원
부산,부산광역시 북구,로뎀복지재단,부산 북구 덕천동412-3
부산,부산광역시 북구,부산광역시시각장애인복지관,부산광역시 북구 구포3동1254-3번지 부산광역시시각장애인복지관
부산,부산광역시 북구,아하브병원,부산 북구 만덕1동 73-20
부산,부산광역시 북구,성문사회복지센터,부산 북구 금곡동 812-3
부산,부산광역시 북구,청록노인복지센터,부산광역시 북구 덕천1동 도시개발공사아파트 (109~116동)다상가 1층
부산,부산광역시 북구,화명종합사회복지관,부산 북구 금곡대로199번길 21 (화명동) 2310
부산,부산광역시 북구,부산뇌병변복지관,부산광역시 북구 금곡동 학사로246
부산,부산광역시 북구,남산정종합사회복지관,부산 북구 덕천1동 814-1 덕천 BMC아파트 내
부산,부산광역시 북구,금곡종합사회복지관,부산 북구 금곡동 810-1 금곡종합사회복지관
부산,부산광역시 북구,화정종합사회복지관,"부산광역시 북구 효열로 76 (금곡동, 금곡4단지주공아파트)화정종합사회복지관"
부산,부산광역시 북구,공창종합사회복지관,부산 북구 금곡동 53-1
부산,부산광역시 북구,정화양로원,부산 북구 화명동 298번지
부산,부산광역시 북구,정화노인요양원,부산광역시 북구 양달로55
부산,부산광역시 북구,삼동재가노인지원서비스센터,부산 북구 화명2동1410-10번지
부산,부산광역시 북구,덕천종합사회복지관,"부산 북구 덕천로 74 (덕천동, 주공아파트2단지)덕천종합사회복지관"
부산,부산광역시 북구,동원종합사회복지관,부산광역시 북구 금곡대로616번길10-9
부산,부산광역시 북구,평화의집,부산광역시 북구 양달로65 평화의집
