지역,시군구,기관,주소
부산,부산광역시 영도구,영도주간보호센터,"부산 영도구 중리로 35 (동삼동)영도빌딩 1,2층"
부산,부산광역시 영도구,영도구장애인복지관 장애인주간보호센터,부산 영도구 함지로79번길 6 (동삼동)영도구장애인복지관 장애인주간보호센터
부산,부산광역시 영도구,와치지역아동센터,부산 영도구 함지로79번길 76 (동삼동)지하1층 와치지역아동센터
부산,부산광역시 영도구,다정지역아동센터,부산 영도구 도래샘길 80 (신선동2가)다정지역아동센터
부산,부산광역시 영도구,영도구노인복지관 분관,부산 영도구 봉래길 372 (청학동)영도구노인복지관 분관
부산,부산광역시 영도구,영도구푸드마켓,부산광역시 영도구 태종로 514 (동삼동)
부산,부산광역시 영도구,임마누엘장애인주간보호센터,"부산광역시 영도구 동삼동  666-1번지 한창주택 106호,107호"
부산,부산광역시 영도구,의료법인성원의료재단 영도참편한요양병원,부산 영도구 동삼동 436
부산,부산광역시 영도구,영도구정신건강복지센터,"부산 영도구 동삼북로 2 (동삼동, 주공아파트)동삼1주공아파트 상가 2층 209호 영도구정신건강복지센터"
부산,부산광역시 영도구,와치노인복지센터,부산 영도구 동삼1동 510-9번지
부산,부산광역시 영도구,영도행복한홈스쿨,부산광역시 영도구 동삼북로 3 (동삼동)주공1상가 207호
부산,부산광역시 영도구,영도구장애인복지관,부산 영도구 동삼1동 516-1
부산,부산광역시 영도구,해동병원,부산 영도구 봉래동3가37번지
부산,부산광역시 영도구,기쁜우리사회복귀시설,부산 영도구 동삼1동 1124-6
부산,부산광역시 영도구,파랑새노인건강센터,부산 영도구 와치로 78 (청학동)파랑새노인건강센터
부산,부산광역시 영도구,상리종합사회복지관,부산 영도구 동삼3동 1123
부산,부산광역시 영도구,천성재활원,부산 영도구 일산봉로 95 (청학동)천성재활원
부산,부산광역시 영도구,파랑새아이들집,부산 영도구 청학2동 483-1 파랑새아이들집
부산,부산광역시 영도구,와치종합사회복지관,부산 영도구 동삼1동510-9
부산,부산광역시 영도구,영도구노인복지관,부산 영도구 대교동2가159-10
부산,부산광역시 영도구,절영종합사회복지관,부산광역시 영도구 동삼동 함지로 33-10(동삼1동) 절영종합사회복지관
부산,부산광역시 영도구,영도구종합사회복지관,부산광역시 영도구 산정길 138영도구종합사회복지관
부산,부산광역시 영도구,동삼사회복지관,부산광역시 영도구 상리로30 동삼사회복지관
