지역,시군구,기관,주소
부산,부산광역시 해운대구,사단법인 한국장애인연맹 부산DPI,"부산 해운대구 센텀북대로 60 (재송동)504호(재송동, 센텀IS타워)"
부산,부산광역시 해운대구,화인시니어데이케어센터,부산 해운대구 양운로 82 (좌동)8층
부산,부산광역시 해운대구,효원어린이집,"부산 해운대구 세실로 158 (좌동, 동부아파트)효원어린이집"
부산,부산광역시 해운대구,사단법인 비에스날빛자원봉사후원회,부산 해운대구 반송순환로 142 (반송동)해운대캠퍼스 M동 9907-1호
부산,부산광역시 해운대구,(주)양지복지센터,"부산 해운대구 송정중앙로 19 (송정동, 코스마아파트)201호"
부산,부산광역시 해운대구,해운대재활주간보호센터,부산 해운대구 양운로 98 (좌동)대하프라자
부산,부산광역시 해운대구,예선지역아동센터,부산 해운대구 우동1로 27-1 (우동)3층 예선지역아동센터
부산,부산광역시 해운대구,살루스실버케어센터,부산 해운대구 세실로27번길 23 (좌동)샤인빌딩 10층
부산,부산광역시 해운대구,부산시해운대구장애인협회,부산 해운대구 해운대로570번길 8 (우동)유성프라자 9층
부산,부산광역시 해운대구,부산해운대구육아종합지원센터,부산 해운대구 반송로513번길 66-11 (석대동)해운대구육아종합지원센터
부산,부산광역시 해운대구,한끼의식사기금,부산광역시 해운대구 우동1로20번가길 46 (우동)2층
부산,부산광역시 해운대구,해운대구청소년상담복지센터,부산광역시 해운대구 해운대로 575 (우동)국제빌딩 11층 1101호
부산,부산광역시 해운대구,자립형공동생활가정 자립주택 바람2,"부산광역시 해운대구 선수촌로 122 (반여동, 아시아선수촌아파트)102동 101호"
부산,부산광역시 해운대구,인혜재가노인복지센터,부산광역시 해운대구 재반로 13 (재송동)
부산,부산광역시 해운대구,의료법인 해올의료재단 힐마루요양병원,부산광역시 해운대구 달맞이길117번나길174
부산,부산광역시 해운대구,의료법인한세의료재단 효은요양병원,부산 해운대구 달맞이길117번나길 24 (중동)의료법인 한세의료재단 효은요양병원
부산,부산광역시 해운대구,부산센텀지역아동센터,부산광역시 해운대구 선수촌로205
부산,부산광역시 해운대구,해봄지역아동센터,"부산광역시 해운대구 신반송로 200 (반송동, 주공아파트)나상가 2층 201호"
부산,부산광역시 해운대구,장산재가노인지원서비스센터,"부산광역시 해운대구 세실로27번길19, 지오프라자 9층"
부산,부산광역시 해운대구,로뎀요양병원,부산광역시 해운대구 아랫반송로1번길27-3 로뎀요양병원
부산,부산광역시 해운대구,해운대부민병원,부산광역시 해운대구 해운대로584(우동)
부산,부산광역시 해운대구,재반지역아동센터,"부산광역시 해운대구 재송동 재송2로74번길36, 4층"
부산,부산광역시 해운대구,부산동부아동보호전문기관,부산광역시 해운대구 좌동순환로 506 (중동)903호 부산동부아동보호전문기관
부산,부산광역시 해운대구,파랑새지역아동센터,부산광역시 해운대구 신반송로 21 (반송동)파랑새지역아동센터
부산,부산광역시 해운대구,희망스쿨지역아동센터,부산광역시 해운대구 아랫반송로29번길25 (4층)
부산,부산광역시 해운대구,반여어깨동무지역아동센터,부산광역시 해운대구 반여동 재반로256번길15 효원약국 2F
부산,부산광역시 해운대구,의료법인화인의료재단,부산광역시 해운대구 재송동 해운대로76번길12
부산,부산광역시 해운대구,인덕원,부산광역시 해운대구 반송동 반송로877번길 122(반송동)
부산,부산광역시 해운대구,부산해운대시니어클럽,부산광역시 해운대구 반송순환로 158 (반송동)부산해운대시니어클럽
부산,부산광역시 해운대구,해운대구다문화가족지원센터,부산광역시 해운대구 양운로91(좌동) 2층 사무실
부산,부산광역시 해운대구,재단법인 한결재단,"부산광역시 해운대구 우동 센텀중앙로48,513호(우동, 에이스하이테크21)"
부산,부산광역시 해운대구,뉴라이프지역아동센터,부산광역시 해운대구 좌1동  대림2차상가 304호
부산,부산광역시 해운대구,가람뫼지역아동센터,부산광역시 해운대구 반여2동  현대일성2차아파트상가 3층
부산,부산광역시 해운대구,반여지역아동센터,부산 해운대구 선수촌로21번길 21 (반여동)그린종합상가 2층 52호
부산,부산광역시 해운대구,성현원,부산 해운대구 반송로 819 (반송동)683-14번지
부산,부산광역시 해운대구,성분도 빛둘레 지역아동센터,부산광역시 해운대구 아랫반송로 61-3 (반송동)성분도 빛둘레 지역아동센터
부산,부산광역시 해운대구,해운대실버홈,부산광역시 해운대구 송정1로7번길30-5(송정동)
부산,부산광역시 해운대구,반여장애인주간보호센터,부산광역시 해운대구 반여2동  1291-1360
부산,부산광역시 해운대구,장산직업재활시설,"부산광역시 해운대구 좌동  세실로 27번길 19,지오프라자 9층(좌동1481-4 지오프라자 9층)"
부산,부산광역시 해운대구,사랑의울타리장애인공동생활가정,"부산광역시 해운대구 신반송로96 (반송동, 삼한3차아파트) 301동 103호"
부산,부산광역시 해운대구,해운대청소년수련관,부산광역시 해운대구 재송동 재반로151-21
부산,부산광역시 해운대구,부산노인전문제3병원,부산 해운대구 해운대로469번가길 77 (우동)930-41
