지역,시군구,기관,주소
서울,서울특별시 강남구,강남장애인자립생활센터,서울 강남구 개포로 508 (개포동)4층 401호
서울,서울특별시 강남구,래그랜느보호작업장,서울 강남구 양재대로55길 13 (일원동)지하
서울,서울특별시 강남구,(사) 일과복지,서울 강남구 언주로 603 (논현동)303호
서울,서울특별시 강남구,강남구립논현노인종합복지관 노인요양센터,서울 강남구 강남대로128길 59 (논현동)-
서울,서울특별시 강남구,사회복지법인 대한불교조계종봉은,서울 강남구 봉은사로 531 (삼성동)1층
서울,서울특별시 강남구,사회복지법인이웃사랑실천회,서울 금천구 가산디지털1로 181 (가산동)1602호
서울,서울특별시 강남구,재단법인 베스티안재단 베스티안서울병원,서울특별시 강남구 도곡로 429 (대치동)베스티안병원
서울,서울특별시 강남구,피치마켓,서울특별시 강남구 도산대로 517 (청담동)401호
서울,서울특별시 강남구,강남단기보호센터,서울특별시 강남구 광평로60길 22 (수서동)2층
서울,서울특별시 강남구,강남구청소년쉼터,서울특별시 강남구 광평로 185 (수서동)6층
서울,서울특별시 강남구,성모자애단기거주시설 미리암의집,서울특별시 강남구 헌릉로757길 35 (율현동)
서울,서울특별시 강남구,강남실버센터,서울특별시 강남구 삼성로 628 (삼성동)6층
서울,서울특별시 강남구,사단법인 지니,서울 강남구 밤고개로24길 40-6 (율현동)101호
서울,서울특별시 강남구,역삼주간보호센터,"서울특별시 강남구 테헤란로8길36, 2층"
서울,서울특별시 강남구,성모자애주간보호시설,서울특별시 강남구 헌릉로757길35
서울,서울특별시 강남구,성모자애제2주간보호시설,서울특별시 강남구 헌릉로757길35
서울,서울특별시 강남구,재단법인 MG새마을금고 지역희망나눔 재단,서울특별시 강남구 봉은사로114길20 MG새마을금고지역희망나눔재단
서울,서울특별시 강남구,사단법인 한국미디어교육진흥원,"서울특별시 강남구 선릉로127길22, 우전빌딩 2층"
서울,서울특별시 강남구,삼성서울병원,서울특별시 강남구 일원로81
서울,서울특별시 강남구,재단법인 러브에프엔씨,서울특별시 강남구 도산대로85길 45 (청담동)
서울,서울특별시 강남구,구립 역삼데이케어센터,서울특별시 강남구 도곡로27길27
서울,서울특별시 강남구,구립 역삼노인요양센터,서울특별시 강남구 도곡로27길27
서울,서울특별시 강남구,재단법인 푸르덴셜사회공헌재단,서울특별시 강남구 강남대로298
서울,서울특별시 강남구,소망제이앤피(소망J&P),서울특별시 강남구 언주로159길 15 (신사동) 소망교회 제3교육관 나동 1층 소망제이앤피 보호작업장
