지역,시군구,기관,주소
서울,서울특별시 강동구,강동노인복지관 치매요양원,서울 강동구 동남로71길 32-5 (명일동)5층
서울,서울특별시 강동구,정원실버요양원,서울 강동구 양재대로124길 41 (길동)4층
서울,서울특별시 강동구,행복데이케어센터,서울 강동구 올림픽로98길 30 (암사동)3층
서울,서울특별시 강동구,홀트강동복지관,서울 강동구 아리수로93길 41 (강일동)1층
서울,서울특별시 강동구,강동천호실버센터2호,"서울 강동구 올림픽로 664 (천호동, 대우 한강 베네시티)332호"
서울,서울특별시 강동구,동안우리주간보호센터,서울 강동구 풍성로 146 (성내동)4층
서울,서울특별시 강동구,아이비장애인단기보호시설,서울 강동구 구천면로39길 12 (천호동)201호
서울,서울특별시 강동구,그랜드너싱홈,서울 강동구 양재대로 1465 (길동)301호
서울,서울특별시 강동구,성내데이케어센터,"서울특별시 강동구 풍성로 138 (성내동)4,5,6층"
서울,서울특별시 강동구,해피죤아동발달지원센터,서울특별시 강동구 상암로 195 (명일동)501-01호
서울,서울특별시 강동구,(사) 공감과소통 맑은샘,서울특별시 강동구 구천면로28길 21 (천호동)401호
서울,서울특별시 강동구,강동천호실버센터2호점,"서울특별시 강동구 올림픽로 664 (천호동, 대우한강베네시티)3층 332호"
서울,서울특별시 강동구,(주)KB골든라이프케어 강동케어센터,서울특별시 강동구 강동대로 143-52 (성내동)6층
서울,서울특별시 강동구,제일강동지역아동센터,"서울특별시 강동구 양재대로128길53, 301호(삼익파크맨션상가)"
서울,서울특별시 강동구,사단법인 해드림복지회,"서울특별시 강동구 상암로41, 220"
서울,서울특별시 강동구,사단법인프렌즈 오륜레인보우지역아동센터,서울특별시 강동구 강동대로53길73
서울,서울특별시 강동구,암사꿈나무지역아동센터,서울특별시 강동구 암사동490-39
서울,서울특별시 강동구,강동미르사랑데이케어센터,서울특별시 강동구 천호대로1210 은선빌딩 4층
서울,서울특별시 강동구,아우름강동장애인부모회,서울특별시 강동구 암사동501-4번지 동양덱스빌 209호
서울,서울특별시 강동구,한국지역아동센터연합회,서울특별시 강동구 상암로 10 (암사동)지선빌딩 202호
