지역,시군구,기관,주소
서울,서울특별시 강북구,강북희망데이케어센터,서울 강북구 삼양로 412 (수유동)2층
서울,서울특별시 강북구,효정,서울 강북구 삼양로77길 38 (수유동)-
서울,서울특별시 강북구,강북효심요양원1,서울 강북구 삼양로77가길 9 (수유동)4층
서울,서울특별시 강북구,강북지역아동센터,서울 강북구 삼양로118길 27 (수유동)-
서울,서울특별시 강북구,휴 인지재활 데이케어센터,서울 강북구 4.19로13길 3 (수유동)3층
서울,서울특별시 강북구,사랑나눔요양원3,서울 강북구 도봉로 243 (미아동)3층
서울,서울특별시 강북구,강북광산데이케어센터,서울 강북구 노해로 87 (수유동)501호
서울,서울특별시 강북구,사회복지법인운가자비원,서울 강북구 삼양로112길 5 (수유동)2층 사무국
서울,서울특별시 강북구,도밍고의집,서울특별시 강북구 솔매로41길 37-10 (미아동)(미아동)
서울,서울특별시 강북구,사단법인 한국가족보호협회,서울특별시 강북구 덕릉로 101 (번동)701호
서울,서울특별시 강북구,사단법인 e한우리봉사회,"서울특별시 강북구 한천로150길12, 2층"
서울,서울특별시 강북구,"행복한노인요양원1,2","서울특별시 강북구 덕릉로46, 2호건물 2층, 4층"
서울,서울특별시 강북구,돌산공부방 지역아동센터,서울특별시 강북구 미아동681-3 3층
서울,서울특별시 강북구,시립강북노인종합복지관병설 강북노인주간보호센터,"서울특별시 강북구 삼양로92길40, 강북노인주간보호센터"
서울,서울특별시 강북구,사랑의지역아동센터,"서울특별시 강북구 삼양로20길53(미아동, 2층)"
서울,서울특별시 강북구,송중동 지역아동센터,서울특별시 강북구 오패산로31길14
서울,서울특별시 강북구,강북장애인자립생활센터,서울특별시 강북구 도봉로328 가든타워 1119호
서울,서울특별시 강북구,강북실버데이케어센터,서울특별시 강북구 미아동 오패산로290
서울,서울특별시 강북구,(사) 우이데이케어센터,서울특별시 강북구 우이동 삼양로579 화성빌딩 2층
서울,서울특별시 강북구,예닮의 집,서울특별시 강북구 수유동 화계사길5-15
서울,서울특별시 강북구,e포근한 요양원,"서울특별시 강북구 미아동 도봉로266, 2층"
서울,서울특별시 강북구,수유데이케어센터,"서울특별시 강북구 수유동 덕릉로46, 3층"
서울,서울특별시 강북구,번동보호작업장,"서울 강북구 한천로115길 20 (번동, 번동주공5단지아파트)501동 지하(번동,주공)"
